seed,window,step,global_k,global_n_C,r0_k,r0_n_C,r0_none,r0_valid,r0_switch,r1_k,r1_n_C,r1_none,r1_valid,r1_switch,r2_k,r2_n_C,r2_none,r2_valid,r2_switch,r3_k,r3_n_C,r3_none,r3_valid,r3_switch,divergence_flag
456,1,500,0,2687,0,686,0.9971,True,0,0,688,0.9971,True,0,0,680,0.9985,True,0,0,633,1.0,True,0,0
456,2,700,0,542,0,138,0.9928,True,0,0,145,0.9931,True,0,1,130,1.0,True,1,4,129,1.0,True,1,1
456,3,900,4,95,1,25,1.0,True,1,1,22,1.0,True,1,4,26,1.0,True,1,4,22,1.0,True,0,1
456,4,1100,4,30,1,9,0.8889,True,0,1,5,0.8,True,0,4,11,1.0,True,0,4,5,0.8,True,0,1
456,5,1300,4,44,1,11,0.9091,True,0,2,9,0.7778,True,1,4,10,0.9,True,0,4,14,1.0,True,0,1
456,6,1500,4,40,3,7,0.8571,True,1,3,11,0.7273,True,1,4,11,0.8182,True,0,4,11,1.0,True,0,1
456,7,1700,4,28,3,5,1.0,True,0,3,11,0.8182,True,0,4,6,1.0,True,0,4,6,1.0,True,0,1
456,8,1900,4,39,3,12,1.0,True,0,3,10,1.0,True,0,4,6,1.0,True,0,4,11,1.0,True,0,1
456,9,2100,4,28,3,7,1.0,True,0,3,7,1.0,True,0,4,9,1.0,True,0,4,5,1.0,True,0,1
456,10,2300,0,39,3,8,1.0,True,0,3,12,0.9167,True,0,4,12,1.0,True,0,4,7,1.0,True,0,1
456,11,2500,1,21,3,3,1.0,False,0,3,6,1.0,True,0,4,6,1.0,True,0,4,6,1.0,True,0,1
456,12,2700,3,23,3,5,1.0,True,0,3,11,0.8182,True,0,4,4,1.0,False,0,4,3,1.0,False,0,1
456,13,2900,3,46,4,7,1.0,True,1,3,17,1.0,True,0,4,14,1.0,True,0,4,8,1.0,True,0,1
456,14,3100,4,47,4,13,0.9231,True,0,3,18,0.8889,True,0,4,9,0.7778,True,0,4,7,0.7143,True,0,1
456,15,3300,4,32,4,8,1.0,True,0,4,7,1.0,True,1,4,10,1.0,True,0,4,7,1.0,True,0,0
456,16,3500,4,34,4,4,0.75,False,0,4,9,0.8889,True,0,4,11,0.8182,True,0,4,10,1.0,True,0,0
456,17,3700,4,24,4,3,1.0,False,0,4,12,1.0,True,0,4,5,1.0,True,0,4,4,1.0,False,0,0
456,18,3900,4,19,4,1,1.0,False,0,4,10,1.0,True,0,4,3,1.0,False,0,4,5,1.0,True,0,0
456,19,4100,4,26,4,8,1.0,True,0,4,7,1.0,True,0,4,5,1.0,True,0,4,6,1.0,True,0,0
456,20,4300,4,34,4,8,1.0,True,0,4,12,1.0,True,0,4,9,1.0,True,0,4,5,1.0,True,0,0
456,21,4500,4,24,4,5,0.6,True,0,4,6,1.0,True,0,4,6,1.0,True,0,4,7,1.0,True,0,0
456,22,4700,4,25,4,3,1.0,False,0,4,7,1.0,True,0,4,6,1.0,True,0,4,9,0.7778,True,0,0
456,23,4900,4,16,4,2,1.0,False,0,4,6,1.0,True,0,4,1,1.0,False,0,4,7,1.0,True,0,0
456,24,5100,4,20,4,8,0.625,True,0,4,4,0.5,False,0,4,3,0.6667,False,0,4,5,0.6,True,0,0
456,25,5300,4,30,4,9,1.0,True,0,4,6,1.0,True,0,4,8,1.0,True,0,4,7,1.0,True,0,0
