cid,born,host_lost,reaped,ghost_duration,ttl_bonus,effective_ttl
0,0,1,11,10,0,10
3,0,1,11,10,0,10
1,0,2,12,10,0,10
10,1,2,12,10,0,10
11,1,2,12,10,0,10
6,0,3,13,10,0,10
7,0,3,13,10,0,10
9,1,3,13,10,0,10
5,0,4,14,10,0,10
18,3,4,14,10,0,10
19,3,4,14,10,0,10
20,3,4,14,10,0,10
21,3,4,14,10,0,10
22,3,4,14,10,0,10
15,3,5,15,10,0,10
16,3,5,15,10,0,10
23,3,5,15,10,0,10
26,4,5,15,10,0,10
27,4,5,15,10,0,10
28,4,5,15,10,0,10
14,1,6,16,10,0,10
31,5,6,16,10,0,10
34,5,6,16,10,0,10
29,4,7,17,10,0,10
33,5,7,17,10,0,10
13,1,8,18,10,0,10
37,7,8,18,10,0,10
39,7,8,18,10,0,10
32,5,9,19,10,0,10
45,8,9,19,10,0,10
2,0,10,20,10,0,10
12,1,10,20,10,0,10
30,4,10,20,10,0,10
38,7,10,20,10,0,10
43,8,10,20,10,0,10
46,9,10,20,10,0,10
49,9,10,20,10,0,10
50,9,10,20,10,0,10
51,9,10,20,10,0,10
40,7,11,21,10,0,10
42,8,11,21,10,0,10
44,8,11,21,10,0,10
52,9,11,21,10,0,10
24,4,13,23,10,0,10
55,12,13,23,10,0,10
57,12,13,23,10,0,10
59,13,14,24,10,0,10
61,13,14,24,10,0,10
62,13,14,24,10,0,10
41,8,15,25,10,0,10
63,13,15,25,10,0,10
67,14,15,25,10,0,10
68,14,15,25,10,0,10
48,9,16,26,10,0,10
60,13,16,26,10,0,10
64,14,16,26,10,0,10
65,14,16,26,10,0,10
71,14,16,26,10,0,10
17,3,17,27,10,0,10
66,14,17,27,10,0,10
76,16,17,27,10,0,10
77,16,17,27,10,0,10
78,16,17,27,10,0,10
79,16,17,27,10,0,10
80,16,17,27,10,0,10
81,16,17,27,10,0,10
25,4,19,29,10,0,10
73,15,19,29,10,0,10
84,18,19,29,10,0,10
56,12,20,30,10,0,10
74,16,20,30,10,0,10
85,18,20,30,10,0,10
72,15,21,31,10,0,10
82,18,21,31,10,0,10
83,18,21,31,10,0,10
4,0,22,32,10,0,10
53,10,22,32,10,0,10
75,16,23,33,10,0,10
90,24,27,37,10,0,10
