cid,born,host_lost,reaped,ghost_duration,ttl_bonus,effective_ttl
3,0,1,11,10,0,10
2,0,2,12,10,0,10
4,1,2,12,10,0,10
6,1,2,12,10,0,10
7,1,3,13,10,0,10
0,0,4,14,10,0,10
12,3,4,14,10,0,10
13,3,4,14,10,0,10
15,3,4,14,10,0,10
10,3,5,15,10,0,10
16,4,5,15,10,0,10
17,4,5,15,10,0,10
1,0,6,16,10,0,10
11,3,6,16,10,0,10
21,5,6,16,10,0,10
23,5,6,16,10,0,10
9,3,7,17,10,0,10
18,4,7,17,10,0,10
19,4,7,17,10,0,10
24,5,7,17,10,0,10
33,6,7,17,10,0,10
26,5,8,18,10,0,10
27,5,8,18,10,0,10
25,5,9,19,10,0,10
37,9,10,20,10,0,10
38,9,10,20,10,0,10
39,9,10,20,10,0,10
41,9,10,20,10,0,10
42,9,10,20,10,0,10
48,9,10,20,10,0,10
28,5,11,21,10,0,10
44,9,11,21,10,0,10
45,9,11,21,10,0,10
52,10,11,21,10,0,10
53,10,11,21,10,0,10
54,10,11,21,10,0,10
55,10,11,21,10,0,10
47,9,12,22,10,0,10
51,10,12,22,10,0,10
35,7,13,23,10,0,10
40,9,13,23,10,0,10
46,9,13,23,10,0,10
58,12,13,23,10,0,10
59,12,13,23,10,0,10
62,12,13,23,10,0,10
57,12,14,24,10,0,10
63,13,14,24,10,0,10
64,13,14,24,10,0,10
56,11,15,25,10,0,10
60,12,15,25,10,0,10
61,12,15,25,10,0,10
71,14,15,25,10,0,10
8,1,16,26,10,0,10
14,3,16,26,10,0,10
69,14,16,26,10,0,10
75,15,16,26,10,0,10
76,15,16,26,10,0,10
77,15,16,26,10,0,10
50,10,17,27,10,0,10
70,14,17,27,10,0,10
78,15,17,27,10,0,10
81,16,17,27,10,0,10
82,16,17,27,10,0,10
80,16,18,28,10,0,10
84,16,18,28,10,0,10
85,17,18,28,10,0,10
79,15,19,29,10,0,10
86,17,19,29,10,0,10
74,15,20,30,10,0,10
88,20,21,31,10,0,10
66,14,23,33,10,0,10
91,22,23,33,10,0,10
32,6,24,34,10,0,10
83,16,25,35,10,0,10
93,23,24,35,11,1,11
20,5,25,36,11,1,11
22,5,27,37,10,0,10
67,14,26,37,11,1,11
90,22,27,37,10,0,10
97,26,27,37,10,0,10
34,6,28,38,10,0,10
