cid,born,host_lost,reaped,ghost_duration,ttl_bonus,effective_ttl
3,3,4,14,10,0,10
6,3,4,14,10,0,10
7,3,5,15,10,0,10
10,4,5,15,10,0,10
14,5,6,16,10,0,10
15,5,6,16,10,0,10
16,5,6,16,10,0,10
18,5,6,16,10,0,10
4,3,7,17,10,0,10
9,4,7,17,10,0,10
17,5,7,17,10,0,10
19,6,7,17,10,0,10
20,6,7,17,10,0,10
5,3,9,19,10,0,10
23,6,9,19,10,0,10
30,8,9,19,10,0,10
31,8,9,19,10,0,10
32,8,9,19,10,0,10
33,8,9,19,10,0,10
12,4,10,20,10,0,10
22,6,10,20,10,0,10
36,9,10,20,10,0,10
27,8,11,21,10,0,10
13,5,12,22,10,0,10
25,7,12,22,10,0,10
38,10,12,22,10,0,10
43,11,12,22,10,0,10
24,7,13,23,10,0,10
37,9,13,23,10,0,10
39,10,13,23,10,0,10
47,12,13,23,10,0,10
48,12,13,23,10,0,10
49,12,13,23,10,0,10
50,12,13,23,10,0,10
29,8,14,24,10,0,10
44,11,14,24,10,0,10
52,13,14,24,10,0,10
53,13,14,24,10,0,10
54,13,14,24,10,0,10
55,13,14,24,10,0,10
58,13,15,25,10,0,10
60,14,15,25,10,0,10
40,10,16,26,10,0,10
46,12,16,26,10,0,10
51,12,16,26,10,0,10
56,13,16,26,10,0,10
57,13,16,26,10,0,10
62,14,16,26,10,0,10
63,14,16,26,10,0,10
2,3,17,27,10,0,10
8,3,17,27,10,0,10
11,4,17,27,10,0,10
42,11,17,27,10,0,10
59,14,17,27,10,0,10
28,8,18,28,10,0,10
61,14,18,28,10,0,10
41,11,19,29,10,0,10
64,19,20,30,10,0,10
65,19,20,30,10,0,10
67,19,20,30,10,0,10
68,19,20,30,10,0,10
72,19,20,30,10,0,10
69,19,21,31,10,0,10
66,19,22,32,10,0,10
70,19,23,33,10,0,10
21,6,24,36,12,2,12
71,19,23,36,13,3,13
75,26,28,38,10,0,10
