cid,born,host_lost,reaped,ghost_duration,ttl_bonus,effective_ttl
1,0,1,11,10,0,10
2,0,1,11,10,0,10
6,0,1,11,10,0,10
7,0,1,11,10,0,10
4,0,2,12,10,0,10
12,1,2,12,10,0,10
9,0,3,13,10,0,10
10,0,4,14,10,0,10
13,1,4,14,10,0,10
15,3,4,14,10,0,10
20,4,5,15,10,0,10
18,4,6,16,10,0,10
23,5,6,16,10,0,10
24,5,6,16,10,0,10
26,5,6,16,10,0,10
11,1,7,17,10,0,10
14,3,7,17,10,0,10
19,4,7,17,10,0,10
25,5,7,17,10,0,10
27,6,7,17,10,0,10
29,6,7,17,10,0,10
31,6,7,17,10,0,10
21,4,8,18,10,0,10
32,6,8,18,10,0,10
35,8,9,19,10,0,10
36,8,9,19,10,0,10
37,8,10,20,10,0,10
30,6,11,21,10,0,10
0,0,12,22,10,0,10
28,6,12,22,10,0,10
38,9,12,22,10,0,10
42,11,12,22,10,0,10
43,11,12,22,10,0,10
45,11,13,23,10,0,10
47,12,13,23,10,0,10
50,13,14,24,10,0,10
51,13,14,24,10,0,10
44,11,15,25,10,0,10
53,15,16,26,10,0,10
55,15,16,26,10,0,10
5,0,17,27,10,0,10
8,0,17,27,10,0,10
57,15,17,27,10,0,10
60,16,17,27,10,0,10
62,16,17,27,10,0,10
64,16,17,27,10,0,10
65,16,17,27,10,0,10
3,0,19,29,10,0,10
39,11,19,29,10,0,10
52,15,19,29,10,0,10
58,15,19,29,10,0,10
46,12,20,30,10,0,10
48,12,20,30,10,0,10
59,15,20,30,10,0,10
70,19,20,30,10,0,10
56,15,21,31,10,0,10
68,19,21,31,10,0,10
71,19,21,31,10,0,10
61,16,22,32,10,0,10
63,16,22,32,10,0,10
40,11,24,34,10,0,10
66,17,23,34,11,1,11
54,15,24,36,12,2,12
69,19,25,36,11,1,11
72,24,28,38,10,0,10
