cid,born,host_lost,reaped,ghost_duration,ttl_bonus,effective_ttl
0,0,1,11,10,0,10
2,0,1,11,10,0,10
4,0,1,11,10,0,10
7,0,1,11,10,0,10
8,0,1,11,10,0,10
1,0,2,12,10,0,10
10,0,2,12,10,0,10
11,1,2,12,10,0,10
12,1,2,12,10,0,10
15,2,3,13,10,0,10
17,5,6,16,10,0,10
18,5,6,16,10,0,10
3,0,7,17,10,0,10
19,5,7,17,10,0,10
9,0,8,18,10,0,10
29,7,8,18,10,0,10
5,0,9,19,10,0,10
6,0,9,19,10,0,10
13,1,9,19,10,0,10
26,7,9,19,10,0,10
31,8,9,19,10,0,10
22,7,10,20,10,0,10
25,7,11,21,10,0,10
28,7,11,21,10,0,10
32,10,11,21,10,0,10
33,10,12,22,10,0,10
36,10,12,22,10,0,10
21,6,13,23,10,0,10
27,7,13,23,10,0,10
37,10,13,23,10,0,10
39,11,13,23,10,0,10
41,11,13,23,10,0,10
42,11,13,23,10,0,10
45,12,13,23,10,0,10
16,2,14,24,10,0,10
23,7,14,24,10,0,10
44,12,14,24,10,0,10
47,13,14,24,10,0,10
50,13,14,24,10,0,10
38,10,15,25,10,0,10
40,11,15,25,10,0,10
51,13,15,25,10,0,10
54,14,15,25,10,0,10
56,14,15,25,10,0,10
46,13,17,27,10,0,10
48,13,17,27,10,0,10
49,13,17,27,10,0,10
53,14,17,27,10,0,10
55,14,17,27,10,0,10
60,16,17,27,10,0,10
62,16,17,27,10,0,10
61,16,18,28,10,0,10
64,17,18,28,10,0,10
65,17,18,28,10,0,10
67,17,18,28,10,0,10
57,14,19,29,10,0,10
63,16,19,29,10,0,10
66,17,19,29,10,0,10
70,18,19,29,10,0,10
73,18,19,29,10,0,10
74,18,19,29,10,0,10
75,18,19,29,10,0,10
72,18,20,30,10,0,10
78,19,20,30,10,0,10
34,10,21,31,10,0,10
35,10,21,31,10,0,10
77,19,21,31,10,0,10
79,21,22,32,10,0,10
30,8,28,38,10,0,10
71,18,27,38,11,1,11
82,26,28,38,10,0,10
