cid,born,host_lost,reaped,ghost_duration,ttl_bonus,effective_ttl
3,0,1,11,10,0,10
1,0,2,12,10,0,10
5,2,3,13,10,0,10
4,2,4,14,10,0,10
7,3,4,14,10,0,10
11,3,4,14,10,0,10
12,3,4,14,10,0,10
2,0,5,15,10,0,10
16,4,5,15,10,0,10
17,4,5,15,10,0,10
18,4,5,15,10,0,10
10,3,6,16,10,0,10
14,4,6,16,10,0,10
19,5,6,16,10,0,10
21,5,6,16,10,0,10
23,5,6,16,10,0,10
8,3,7,17,10,0,10
30,6,7,17,10,0,10
31,6,7,17,10,0,10
15,4,8,18,10,0,10
28,6,8,18,10,0,10
20,5,9,19,10,0,10
22,5,9,19,10,0,10
25,5,9,19,10,0,10
26,6,9,19,10,0,10
34,8,9,19,10,0,10
33,7,10,20,10,0,10
36,8,10,20,10,0,10
9,3,11,21,10,0,10
32,7,11,21,10,0,10
35,8,11,21,10,0,10
27,6,13,23,10,0,10
41,12,13,23,10,0,10
43,12,13,23,10,0,10
44,12,13,23,10,0,10
45,12,13,23,10,0,10
46,12,13,23,10,0,10
39,12,14,24,10,0,10
29,6,15,25,10,0,10
40,12,15,25,10,0,10
49,13,15,25,10,0,10
42,12,17,27,10,0,10
51,15,17,27,10,0,10
55,16,17,27,10,0,10
56,16,17,27,10,0,10
50,15,18,28,10,0,10
59,17,18,28,10,0,10
61,17,18,28,10,0,10
54,16,19,29,10,0,10
66,18,19,29,10,0,10
68,18,19,29,10,0,10
69,18,19,29,10,0,10
60,17,20,30,10,0,10
62,17,20,30,10,0,10
64,18,20,30,10,0,10
65,18,20,30,10,0,10
73,19,20,30,10,0,10
72,19,21,31,10,0,10
74,19,21,31,10,0,10
75,19,21,31,10,0,10
47,13,22,32,10,0,10
53,15,22,32,10,0,10
67,18,22,32,10,0,10
52,15,22,33,11,1,11
63,18,22,33,11,1,11
70,18,23,34,11,1,11
71,19,26,36,10,0,10
78,26,28,38,10,0,10
