cid,born,host_lost,reaped,ghost_duration,ttl_bonus,effective_ttl
0,0,1,11,10,0,10
1,0,1,11,10,0,10
3,1,2,12,10,0,10
7,1,2,12,10,0,10
4,1,3,13,10,0,10
8,1,3,13,10,0,10
9,1,3,13,10,0,10
11,2,3,13,10,0,10
12,2,3,13,10,0,10
14,2,3,13,10,0,10
5,1,4,14,10,0,10
13,2,4,14,10,0,10
16,2,4,14,10,0,10
19,3,4,14,10,0,10
20,3,4,14,10,0,10
22,4,5,15,10,0,10
24,4,5,15,10,0,10
23,4,6,16,10,0,10
32,5,6,16,10,0,10
34,5,6,16,10,0,10
18,3,7,17,10,0,10
21,4,7,17,10,0,10
29,5,7,17,10,0,10
31,5,7,17,10,0,10
33,5,7,17,10,0,10
36,6,7,17,10,0,10
6,1,8,18,10,0,10
28,5,8,18,10,0,10
37,6,8,18,10,0,10
42,7,8,18,10,0,10
43,7,8,18,10,0,10
30,5,9,19,10,0,10
27,5,10,20,10,0,10
40,7,10,20,10,0,10
44,7,10,20,10,0,10
48,9,10,20,10,0,10
26,5,11,21,10,0,10
38,6,11,21,10,0,10
49,9,11,21,10,0,10
52,9,11,21,10,0,10
57,10,11,21,10,0,10
59,10,11,21,10,0,10
60,10,11,21,10,0,10
41,7,12,22,10,0,10
46,8,12,22,10,0,10
47,9,12,22,10,0,10
50,9,12,22,10,0,10
51,9,12,22,10,0,10
56,10,12,22,10,0,10
61,10,12,22,10,0,10
62,10,12,22,10,0,10
54,10,13,23,10,0,10
55,10,13,23,10,0,10
58,10,13,23,10,0,10
64,12,13,23,10,0,10
71,13,14,24,10,0,10
72,13,14,24,10,0,10
73,13,14,24,10,0,10
74,13,14,24,10,0,10
78,13,14,24,10,0,10
70,13,15,25,10,0,10
77,13,15,25,10,0,10
80,13,15,25,10,0,10
81,14,15,25,10,0,10
82,14,15,25,10,0,10
83,14,15,25,10,0,10
35,5,16,26,10,0,10
65,12,16,26,10,0,10
84,15,16,26,10,0,10
85,15,16,26,10,0,10
88,15,16,26,10,0,10
89,15,16,26,10,0,10
91,15,16,26,10,0,10
66,12,17,27,10,0,10
69,13,17,27,10,0,10
75,13,17,27,10,0,10
86,15,17,27,10,0,10
93,16,17,27,10,0,10
67,12,18,28,10,0,10
87,15,18,28,10,0,10
92,15,19,29,10,0,10
97,18,19,29,10,0,10
99,18,19,29,10,0,10
100,18,19,29,10,0,10
95,16,20,30,10,0,10
103,19,20,30,10,0,10
105,19,20,30,10,0,10
106,19,20,30,10,0,10
98,18,21,31,10,0,10
15,2,21,32,11,1,11
94,16,22,32,10,0,10
76,13,22,33,11,1,11
104,19,22,33,11,1,11
68,13,24,34,10,0,10
110,23,24,34,10,0,10
45,8,25,35,10,0,10
79,13,23,35,12,2,12
109,21,25,35,10,0,10
17,3,25,36,11,1,11
25,4,26,36,10,0,10
108,20,28,39,11,1,11
