cid,born,host_lost,reaped,ghost_duration,ttl_bonus,effective_ttl
3,0,1,11,10,0,10
5,0,1,11,10,0,10
1,0,2,12,10,0,10
4,0,2,12,10,0,10
2,0,3,13,10,0,10
8,0,3,13,10,0,10
10,3,4,14,10,0,10
13,4,5,15,10,0,10
16,4,5,15,10,0,10
17,4,5,15,10,0,10
18,4,5,15,10,0,10
7,0,6,16,10,0,10
11,3,6,16,10,0,10
14,4,6,16,10,0,10
15,4,6,16,10,0,10
20,5,6,16,10,0,10
21,5,6,16,10,0,10
23,5,6,16,10,0,10
25,5,6,16,10,0,10
22,5,7,17,10,0,10
32,6,7,17,10,0,10
34,6,7,17,10,0,10
35,6,7,17,10,0,10
30,6,8,18,10,0,10
37,7,8,18,10,0,10
39,7,8,18,10,0,10
40,7,8,18,10,0,10
41,7,8,18,10,0,10
19,5,9,19,10,0,10
26,5,9,19,10,0,10
29,6,9,19,10,0,10
43,7,9,19,10,0,10
48,8,9,19,10,0,10
33,6,10,20,10,0,10
47,8,10,20,10,0,10
53,9,10,20,10,0,10
12,3,11,21,10,0,10
45,8,11,21,10,0,10
46,8,11,21,10,0,10
52,9,11,21,10,0,10
54,9,11,21,10,0,10
56,10,11,21,10,0,10
58,10,11,21,10,0,10
60,10,11,21,10,0,10
62,10,11,21,10,0,10
50,9,12,22,10,0,10
51,9,12,22,10,0,10
61,10,12,22,10,0,10
63,10,12,22,10,0,10
67,11,12,22,10,0,10
64,11,13,23,10,0,10
65,11,13,23,10,0,10
69,12,13,23,10,0,10
38,7,14,24,10,0,10
59,10,14,24,10,0,10
68,12,14,24,10,0,10
75,13,14,24,10,0,10
31,6,15,25,10,0,10
42,7,15,25,10,0,10
66,11,15,25,10,0,10
70,12,15,25,10,0,10
78,14,15,25,10,0,10
73,13,16,26,10,0,10
82,17,18,28,10,0,10
6,0,19,29,10,0,10
81,17,19,29,10,0,10
85,17,19,29,10,0,10
89,18,19,29,10,0,10
90,18,19,29,10,0,10
91,18,19,29,10,0,10
92,18,19,29,10,0,10
93,18,19,29,10,0,10
94,18,19,29,10,0,10
74,13,20,30,10,0,10
76,13,20,30,10,0,10
87,18,20,30,10,0,10
57,10,22,32,10,0,10
80,16,22,32,10,0,10
86,18,22,32,10,0,10
88,18,22,32,10,0,10
84,17,21,33,12,2,12
96,22,23,33,10,0,10
72,13,24,34,10,0,10
95,21,23,34,11,1,11
71,13,25,35,10,0,10
99,25,27,37,10,0,10
97,24,29,39,10,0,10
