seed,cognitive_id,birth_window,host_lost_window,reaped_window,final_state,ghost_duration,original_phase_sig,last_n_partners,last_familiarity_max,last_attention_size,last_tag_window,prev_social,prev_stability,prev_spread,prev_familiarity,current_social,current_stability,current_spread,current_familiarity,delta_social,delta_stability,delta_spread,delta_familiarity,generated_tags,state_at_window,ttl_bonus,n_pickups_won,n_pickups_lost,effective_ttl,v99_formation_status,v99_trace_len,v99_range_social_min,v99_range_social_max,v99_range_social_mean,v99_range_social_std,v99_range_stability_min,v99_range_stability_max,v99_range_stability_mean,v99_range_stability_std,v99_range_spread_min,v99_range_spread_max,v99_range_spread_mean,v99_range_spread_std,v99_range_familiarity_min,v99_range_familiarity_max,v99_range_familiarity_mean,v99_range_familiarity_std,v99_drift_social_positive,v99_drift_social_negative,v99_drift_social_neutral,v99_drift_stability_positive,v99_drift_stability_negative,v99_drift_stability_neutral,v99_drift_spread_positive,v99_drift_spread_negative,v99_drift_spread_neutral,v99_drift_familiarity_positive,v99_drift_familiarity_negative,v99_drift_familiarity_neutral,v99_lowest_std_axis,v99_dominant_positive_drift_axis,v99_dominant_negative_drift_axis,v10_pulse_count,v10_tag_trigger_last,v10_n_normal,v10_n_major,v10_theta_social_last,v10_theta_stability_last,v10_theta_spread_last,v10_theta_familiarity_last,v10_R_social_last,v10_R_stability_last,v10_R_spread_last,v10_R_familiarity_last,v10_R_max_social,v10_R_max_stability,v10_R_max_spread,v10_R_max_familiarity,v10_R_min_social,v10_R_min_stability,v10_R_min_spread,v10_R_min_familiarity,v11_b_gen,v11_m_c_n_core,v11_m_c_s_avg,v11_m_c_r_core,v11_m_c_phase_sig,v11_n_pulses_eval,v11_n_captured,v11_capture_rate,v11_mean_delta,v11_mean_d_n,v11_mean_d_s,v11_mean_d_r,v11_mean_d_phase,v913_tau,v913_birth_age_r_min,v913_birth_age_r_mean,v913_birth_max_age_r_mean,v913_n_member_edges
21,0,0,29,39,reaped,10,0.8922,17,36.3974,595,29,0.6957,0.7029,0.8287,7.1858,0.7391,0.6506,0.8074,7.5665,0.0435,-0.0524,-0.0212,0.3807,,hosted,0,0,1,10,unformed,0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,unformed,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,0,unformed,unformed,unformed,unformed,unformed,unformed,50,,,,
21,9,2,,,hosted,0,1.4122,19,58.0874,419,39,0.6429,0.6575,0.7129,6.0497,0.6786,0.6535,0.8464,15.1192,0.0357,-0.0039,0.1335,9.0696,gain_spread|gain_familiarity,hosted,2,2,1,12,formed,5,0.5555555555555556,0.6785714285714286,0.6018925518925519,0.049950889843828596,0.6535009706137905,0.7086774019074034,0.6768714351577011,0.019978069324638408,0.7128885220629445,0.8476712944666722,0.8031765444254338,0.05200465409145643,2.8393000267677,15.119236063831956,7.153691955399742,4.28261500147815,0,1,4,0,0,5,1,1,3,2,0,3,stability,familiarity,tie,200,none,146,70,0.015675,0.069838,0.017843,0.955525,0.0,-0.052842,0.776446,-0.047669,5.923559,4.027985,3.615058,3.513297,-2.684311,-4.564905,-2.630708,-1.33576,19.515039,3,0.29227,0.347414,1.412246,197,91,0.461929,0.258391,0.153288,0.265288,0.152463,0.462523,50,,,,
21,24,5,29,,ghost,10,-1.638,23,46.3011,1766,29,0.913,0.6856,0.8739,18.3986,1.0,0.6548,0.8211,15.2469,0.087,-0.0308,-0.0529,-3.1517,loss_familiarity,hosted,2,2,0,12,formed,5,0.88,1.0,0.918608695652174,0.043906069183577784,0.654847206939756,0.7066495949900197,0.6753644931223445,0.018602646911271836,0.8210828123593683,0.8739372097769703,0.8502681000244422,0.016935029578150223,8.921606394714276,18.398573884582046,13.249592072095018,3.5509683291421856,0,0,5,0,0,5,0,0,5,2,2,1,spread,familiarity,familiarity,100,none,72,38,0.016138,0.031481,0.005238,1.099688,0.0,-0.072694,0.765067,-0.017317,5.141185,5.77459,2.81624,4.334835,-4.367822,-4.326195,-4.344901,-1.549524,33.290005,5,0.322051,0.74555,-1.637994,97,33,0.340206,0.469737,0.515224,0.294011,0.553455,0.516258,50,,,,
21,27,6,,,hosted,0,-2.7136,26,496.6479,1791,39,0.9286,0.6846,0.8619,33.7007,0.9286,0.6899,0.8637,30.495,0.0,0.0053,0.0018,-3.2057,loss_familiarity,hosted,1,1,1,11,formed,5,0.9259259259259259,1.0,0.948921448921449,0.028723677069595797,0.6502520349739537,0.6899033661718719,0.6704237015937345,0.014750816371935005,0.8447691389395179,0.8702824989558766,0.857470397242445,0.009979501117695605,25.011365456519204,37.306557215885064,30.957174944261688,4.257141935341817,0,0,5,0,0,5,0,0,5,3,2,0,spread,familiarity,familiarity,200,none,157,63,0.01045,0.02166,0.006128,0.775698,0.0,-0.127523,0.136484,-0.489162,4.814484,3.353607,2.062543,1.648405,-2.749984,-2.627281,-1.775625,-1.633653,32.850024,5,0.477054,0.656944,-2.713645,197,41,0.208122,0.481553,0.538838,0.448769,0.456356,0.482248,50,,,,
21,28,6,,,hosted,0,1.687,27,54.5902,1881,39,0.8929,0.62,0.8491,15.8366,0.9643,0.5685,0.8824,19.0285,0.0714,-0.0515,0.0332,3.1919,gain_familiarity,hosted,2,2,3,12,formed,5,0.8928571428571429,1.0,0.9492063492063492,0.036643792921841147,0.5684683699070805,0.6694967612747762,0.6161896355126469,0.032205461755282876,0.8123497973315926,0.8823517153100208,0.8504661550917547,0.02296623463270368,9.895471770752291,19.02849593750118,14.892937070793218,3.6653176878826246,0,0,5,0,0,5,0,0,5,2,1,2,spread,familiarity,familiarity,200,MAD_DT_Normal,151,70,0.015807,0.026561,0.004893,1.2755,0.0,0.088885,0.305685,-1.162437,2.465583,2.720048,2.480969,3.664859,-5.41624,-3.334898,-2.818676,-1.696238,32.926766,5,0.354728,0.845307,1.686972,197,43,0.218274,0.505939,0.560442,0.326694,0.652118,0.484503,50,,,,
21,36,7,,,hosted,0,-0.8528,24,55.5178,1179,39,0.8571,0.6891,0.8296,12.6634,0.8571,0.6671,0.8429,15.2743,0.0,-0.022,0.0133,2.6109,gain_familiarity,hosted,3,3,1,13,formed,5,0.8461538461538461,0.8888888888888888,0.8602360602360601,0.014891098711962779,0.667068762828683,0.7207229988290508,0.691714725187005,0.022422227522880957,0.8275163384882119,0.8489991687971353,0.8378586592329456,0.008123788229131224,7.8565962518919354,15.274296702360687,11.249535726650352,2.525196112452732,0,0,5,0,0,5,0,0,5,2,1,2,spread,familiarity,familiarity,200,MAD_DT_Normal,154,63,0.010714,0.029676,0.006505,0.976029,0.0,0.139515,-1.58641,3.052947,4.613104,4.944771,3.721795,3.914589,-6.511908,-2.367679,-3.353854,-1.568915,25.65611,4,0.398224,0.856056,-0.852838,197,51,0.258883,0.448672,0.341577,0.370673,0.59447,0.487967,50,,,,
21,44,8,,,hosted,0,0.9429,22,51.2691,1672,39,0.8571,0.618,0.85,12.332,0.7857,0.6735,0.8756,16.0722,-0.0714,0.0555,0.0255,3.7401,gain_familiarity,hosted,2,2,2,12,formed,5,0.7857142857142857,1.0,0.9137566137566138,0.08321525185751324,0.5712896462605715,0.6997522362727481,0.6465294956273329,0.04601901031808306,0.828102842801886,0.8755719915580991,0.8576118040457308,0.017059885648816893,12.332013186603897,17.44242153964444,14.515965567171573,1.9552921427117265,0,0,5,0,1,4,0,0,5,2,1,2,spread,familiarity,tie,200,MAD_DT_Normal,159,67,0.007011,0.020555,0.009225,1.108538,0.0,-0.196074,-0.902942,-1.122681,0.0,1.695411,2.54017,1.937767,-10.187226,-2.068607,-2.813238,-1.594402,33.126103,5,0.406333,0.704964,0.94292,197,50,0.253807,0.486335,0.547338,0.378044,0.507139,0.51282,50,,,,
21,49,9,27,38,reaped,11,1.8251,7,2.9097,174,27,0.32,0.5671,0.8036,2.5187,0.28,0.7036,0.7805,1.0567,-0.04,0.1365,-0.0232,-1.462,gain_stability,hosted,1,1,0,11,unformed,0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,unformed,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,0,unformed,unformed,unformed,unformed,unformed,unformed,50,,,,
21,55,10,,,hosted,0,2.8588,28,96.8062,1951,39,0.9643,0.6555,0.852,17.3941,1.0,0.6723,0.8559,21.7975,0.0357,0.0168,0.004,4.4035,gain_familiarity,hosted,3,3,3,13,formed,5,0.9230769230769231,1.0,0.9626577126577127,0.024347164404058135,0.6555465841681998,0.6856855642857533,0.6685331975061407,0.010463785355184831,0.8297864120615236,0.8792302489370762,0.855367665714845,0.01585361487334729,10.6355300972434,21.797526288827495,15.980990122631477,4.0683067358156,0,0,5,0,0,5,0,0,5,2,1,2,stability,familiarity,familiarity,200,none,151,62,0.008862,0.04348,0.004797,0.949349,0.0,0.226955,0.435531,0.419745,2.858077,4.480874,1.850256,3.607224,-2.827001,-3.382434,-3.686468,-2.226477,34.581941,5,0.287357,0.426332,2.85877,197,60,0.304569,0.390492,0.559969,0.259499,0.238355,0.504144,50,,,,
21,57,10,27,37,reaped,10,-0.675,7,6.5052,127,27,0.28,0.6839,0.7873,5.3929,0.28,0.611,0.7943,1.9819,0.0,-0.0729,0.007,-3.4109,loss_familiarity,hosted,0,0,1,10,unformed,0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,unformed,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,0,unformed,unformed,unformed,unformed,unformed,unformed,50,,,,
