cid,born,host_lost,reaped,ghost_duration,ttl_bonus,effective_ttl
3,0,1,11,10,0,10
8,0,1,11,10,0,10
9,0,1,11,10,0,10
4,0,2,12,10,0,10
5,0,2,12,10,0,10
2,0,3,13,10,0,10
6,0,3,13,10,0,10
7,0,3,13,10,0,10
10,1,3,13,10,0,10
14,2,3,13,10,0,10
12,2,4,14,10,0,10
16,3,4,14,10,0,10
13,2,5,15,10,0,10
18,4,5,15,10,0,10
21,4,5,15,10,0,10
11,2,6,16,10,0,10
17,4,6,16,10,0,10
20,4,6,16,10,0,10
24,5,6,16,10,0,10
19,4,7,17,10,0,10
22,4,7,17,10,0,10
25,5,7,17,10,0,10
28,6,7,17,10,0,10
30,6,7,17,10,0,10
26,5,8,18,10,0,10
29,6,8,18,10,0,10
33,7,8,18,10,0,10
32,6,9,19,10,0,10
36,7,9,19,10,0,10
37,7,9,19,10,0,10
41,8,9,19,10,0,10
42,8,9,19,10,0,10
49,9,10,20,10,0,10
38,7,11,21,10,0,10
39,7,11,21,10,0,10
46,9,11,21,10,0,10
47,9,11,21,10,0,10
31,6,12,22,10,0,10
55,11,12,22,10,0,10
56,11,12,22,10,0,10
34,7,13,23,10,0,10
48,9,13,23,10,0,10
35,7,14,24,10,0,10
58,13,14,24,10,0,10
60,13,14,24,10,0,10
50,9,15,25,10,0,10
59,13,16,26,10,0,10
62,15,16,26,10,0,10
63,15,16,26,10,0,10
64,16,17,27,10,0,10
65,16,17,27,10,0,10
67,16,17,27,10,0,10
68,16,17,27,10,0,10
43,8,18,28,10,0,10
44,8,18,28,10,0,10
61,15,18,28,10,0,10
72,17,18,28,10,0,10
73,17,18,28,10,0,10
74,17,18,28,10,0,10
75,17,18,28,10,0,10
76,17,18,28,10,0,10
77,18,19,29,10,0,10
79,18,19,29,10,0,10
66,16,20,30,10,0,10
78,18,20,30,10,0,10
82,19,20,30,10,0,10
27,6,21,31,10,0,10
45,9,21,31,10,0,10
53,10,21,31,10,0,10
71,17,21,31,10,0,10
69,17,22,32,10,0,10
81,19,22,32,10,0,10
86,21,22,32,10,0,10
51,9,24,35,11,1,11
80,18,24,35,11,1,11
87,22,25,35,10,0,10
89,25,27,37,10,0,10
92,27,28,38,10,0,10
88,25,29,39,10,0,10
