cid,born,host_lost,reaped,ghost_duration,ttl_bonus,effective_ttl
0,1,2,12,10,0,10
2,1,2,12,10,0,10
5,1,2,12,10,0,10
7,1,2,12,10,0,10
4,1,3,13,10,0,10
6,1,3,13,10,0,10
9,2,3,13,10,0,10
11,2,3,13,10,0,10
14,3,4,14,10,0,10
15,3,4,14,10,0,10
16,3,4,14,10,0,10
17,3,4,14,10,0,10
20,3,4,14,10,0,10
10,2,6,16,10,0,10
22,5,6,16,10,0,10
24,5,6,16,10,0,10
25,5,6,16,10,0,10
27,6,7,17,10,0,10
28,6,7,17,10,0,10
29,6,7,17,10,0,10
30,6,7,17,10,0,10
23,5,8,18,10,0,10
35,7,8,18,10,0,10
37,7,8,18,10,0,10
38,7,8,18,10,0,10
13,3,9,19,10,0,10
36,7,9,19,10,0,10
26,5,10,20,10,0,10
31,6,10,20,10,0,10
40,9,10,20,10,0,10
8,1,11,21,10,0,10
1,1,12,22,10,0,10
33,7,12,22,10,0,10
43,9,12,22,10,0,10
45,11,13,23,10,0,10
49,12,13,23,10,0,10
50,12,13,23,10,0,10
47,12,14,24,10,0,10
52,13,14,24,10,0,10
54,14,15,25,10,0,10
56,14,15,25,10,0,10
57,14,15,25,10,0,10
18,3,16,26,10,0,10
58,14,16,26,10,0,10
44,11,17,27,10,0,10
48,12,17,27,10,0,10
55,14,17,27,10,0,10
59,14,17,27,10,0,10
61,16,17,27,10,0,10
63,16,17,27,10,0,10
3,1,18,28,10,0,10
51,13,18,28,10,0,10
62,16,18,28,10,0,10
64,17,18,28,10,0,10
65,17,18,28,10,0,10
68,17,18,28,10,0,10
71,17,18,28,10,0,10
34,7,19,29,10,0,10
39,8,19,29,10,0,10
69,17,19,29,10,0,10
72,17,19,29,10,0,10
74,17,19,29,10,0,10
75,17,19,29,10,0,10
76,18,19,29,10,0,10
77,18,19,29,10,0,10
73,17,20,30,10,0,10
81,19,20,30,10,0,10
85,19,20,30,10,0,10
86,19,20,30,10,0,10
87,19,20,30,10,0,10
41,9,21,31,10,0,10
67,17,21,31,10,0,10
70,17,21,31,10,0,10
53,13,21,32,11,1,11
80,19,24,34,10,0,10
84,19,23,34,11,1,11
19,3,24,35,11,1,11
46,12,25,35,10,0,10
88,22,26,36,10,0,10
82,19,27,37,10,0,10
91,24,27,37,10,0,10
78,19,29,39,10,0,10
83,19,27,39,12,2,12
