cid,born,host_lost,reaped,ghost_duration,ttl_bonus,effective_ttl
1,0,2,12,10,0,10
4,0,2,12,10,0,10
3,0,3,13,10,0,10
5,0,3,13,10,0,10
8,2,3,13,10,0,10
10,2,3,13,10,0,10
12,2,3,13,10,0,10
13,2,3,13,10,0,10
14,2,3,13,10,0,10
2,0,4,14,10,0,10
15,3,4,14,10,0,10
16,3,4,14,10,0,10
18,3,5,15,10,0,10
19,4,5,15,10,0,10
20,4,5,15,10,0,10
23,5,6,16,10,0,10
24,5,6,16,10,0,10
21,4,7,17,10,0,10
26,5,7,17,10,0,10
25,5,8,18,10,0,10
30,7,8,18,10,0,10
32,7,8,18,10,0,10
34,7,8,18,10,0,10
35,7,8,18,10,0,10
11,2,9,19,10,0,10
31,7,9,19,10,0,10
29,7,10,20,10,0,10
36,9,10,20,10,0,10
37,9,10,20,10,0,10
39,9,10,20,10,0,10
40,9,10,20,10,0,10
42,9,10,20,10,0,10
9,2,11,21,10,0,10
43,10,11,21,10,0,10
45,10,11,21,10,0,10
0,0,12,22,10,0,10
46,11,12,22,10,0,10
48,11,12,22,10,0,10
38,9,13,23,10,0,10
53,12,13,23,10,0,10
51,12,14,24,10,0,10
56,13,14,24,10,0,10
41,9,15,25,10,0,10
44,10,15,25,10,0,10
50,12,15,25,10,0,10
57,14,15,25,10,0,10
59,14,15,25,10,0,10
60,14,15,25,10,0,10
47,11,16,26,10,0,10
54,13,16,26,10,0,10
62,15,16,26,10,0,10
63,16,17,27,10,0,10
64,16,17,27,10,0,10
65,16,17,27,10,0,10
66,16,17,27,10,0,10
49,12,18,28,10,0,10
52,12,18,28,10,0,10
55,13,18,28,10,0,10
33,7,20,30,10,0,10
70,18,20,30,10,0,10
72,18,20,30,10,0,10
74,18,20,30,10,0,10
80,19,20,30,10,0,10
81,19,20,30,10,0,10
82,19,20,30,10,0,10
73,18,21,31,10,0,10
76,19,21,31,10,0,10
77,19,21,31,10,0,10
79,19,21,31,10,0,10
78,19,21,32,11,1,11
85,22,23,33,10,0,10
71,18,23,34,11,1,11
86,23,24,34,10,0,10
88,25,27,37,10,0,10
