window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed
1,5000,6001,19,5,0,1.9983,0,34.8,0,0,6.51,1.0,6001.0,648,1.0,403,612,209,2236,0.000916,0.0072,402.3632,0,0.0,0.0061,0.0011,3,0,0,0
2,5000,3799,4,5,0,1.9982,0,38.6,488,3296,5.34,0.8417,4557.7,503,1.0,335,19,87,2284,0.00105,0.0085,306.906,1,1.0,0.0065,0.0011,1,0,0,0
3,5000,3489,3,5,0,1.9982,0,45.1,258,3220,4.95,0.8699,4032.8,269,1.0,277,8,66,2116,0.001335,0.0151,257.1977,2,1.9,0.0091,0.0017,1,0,0,0
4,5000,3223,1,5,0,1.9982,0,52.4,100,3139,4.72,0.8756,3724.1,84,1.0,197,9,89,1961,0.001617,0.018,127.6923,3,2.8,0.0106,0.0026,1,1,0,0
5,5000,3135,0,0,1,1.9982,0,80.3,0,3122,4.51,0.8887,3527.7,13,1.0,136,3,64,1519,0.002194,0.0192,27.897,4,3.7,0.0119,0.0033,0,0,0,0
6,5000,3139,1,3,0,1.9982,0,94.5,0,3127,4.54,0.9187,3416.7,12,1.0,114,7,29,1242,0.002808,0.0194,32.2581,5,4.3,0.0131,0.0034,0,0,0,0
7,5000,3023,1,5,0,1.9985,1,106.0,1,3012,4.48,0.911,3318.2,11,1.0,80,2,36,1081,0.003571,0.0336,35.0877,6,5.1,0.0214,0.0056,1,0,0,0
8,5000,3101,0,0,1,1.998,2,117.9,4,3092,4.46,0.9483,3270.0,9,1.0,60,4,24,827,0.004647,0.0412,31.9635,7,5.9,0.0288,0.0076,0,1,0,0
9,5000,3116,0,0,0,1.9986,1,118.1,4,3112,4.5,0.962,3239.2,4,1.0,46,4,18,640,0.006445,0.0564,22.3464,8,6.3,0.0349,0.011,0,0,0,0
10,5000,3121,0,0,3,1.9964,1,131.1,4,3117,4.53,0.97,3217.7,4,1.0,37,0,9,522,0.008294,0.0769,27.2109,9,7.5,0.0526,0.0154,0,0,0,0
11,5000,3058,0,0,3,1.9926,1,147.6,0,3058,4.45,0.9583,3191.1,0,1.0,26,0,11,466,0.009018,0.06,0.0,10,7.9,0.04,0.0133,0,0,0,0
12,5000,3201,0,0,0,1.9741,1,149.8,3201,0,4.54,1.0026,3192.6,0,1.0,21,0,5,372,0.012382,0.092,0.0,11,8.9,0.0667,0.0187,0,0,0,0
13,5000,3107,0,0,3,1.997,1,161.1,1,3106,4.51,0.9769,3180.4,1,1.0,16,1,6,317,0.015672,0.0964,0.0,12,10.2,0.0771,0.0223,0,0,0,0
14,5000,3080,3,5,1,1.9964,1,167.2,2,3063,4.47,0.9725,3167.0,17,1.0,16,7,7,373,0.012498,0.0962,159.5745,13,8.1,0.0657,0.0177,2,1,0,0
15,5000,3091,0,0,3,1.8788,1,161.2,0,3086,4.52,0.9789,3157.5,5,1.0,15,0,1,285,0.016939,0.1412,61.7284,14,9.1,0.0765,0.0268,0,0,0,0
16,5000,3143,2,4,3,1.8755,1,173.9,11,3127,4.51,0.9959,3155.8,16,1.0,17,7,5,352,0.012125,0.098,166.6667,15,6.9,0.067,0.0191,0,0,0,0
17,5000,3060,2,4,3,1.8754,1,179.0,4,3056,4.48,0.9729,3145.1,4,1.0,18,2,1,345,0.014226,0.1038,38.4615,16,7.4,0.0566,0.0195,0,0,0,0
18,5000,3082,0,0,3,1.8735,2,169.9,0,3082,4.47,0.982,3138.5,0,1.0,15,0,3,337,0.014439,0.1,0.0,17,9.5,0.0593,0.0175,0,0,0,0
19,5000,3164,2,3,3,1.8428,1,175.7,3155,0,4.49,1.0073,3141.0,9,1.0,21,7,1,349,0.012728,0.0909,87.3786,18,7.4,0.0621,0.0196,0,0,0,0
20,5000,3030,2,3,1,1.7966,1,170.4,3,3022,4.45,0.9679,3130.5,8,1.0,16,2,7,358,0.012994,0.1146,94.1176,19,9.2,0.0542,0.0184,0,1,0,0
21,5000,3125,1,3,1,1.886,2,172.8,3,3118,4.5,0.9984,3130.0,7,1.0,15,1,2,302,0.014716,0.0933,100.0,20,9.5,0.0693,0.0131,0,0,0,0
22,5000,3118,1,4,3,1.886,2,190.8,9,3109,4.48,0.9965,3128.8,9,1.0,14,3,4,309,0.015446,0.1205,103.8961,21,9.4,0.0651,0.0315,0,0,0,0
23,4999,3043,0,0,1,1.871,2,200.6,7,3036,4.41,0.9751,3120.6,7,1.0,12,0,2,255,0.018406,0.1067,98.5915,22,11.8,0.0853,0.0214,0,0,0,0
24,4999,3058,0,0,3,1.8607,1,195.4,7,3051,4.47,0.9818,3114.7,7,1.0,12,0,0,237,0.022877,0.1429,111.1111,23,12.8,0.0857,0.0291,0,0,0,0
25,4998,2976,0,0,3,1.7775,1,204.0,10,2967,4.39,0.9598,3101.6,9,1.0,13,4,3,275,0.017682,0.1039,80.6667,24,12.7,0.0805,0.0231,0,0,0,0
26,4997,3089,0,0,3,1.8628,1,201.6,4,3085,4.47,0.9963,3100.4,4,1.0,14,4,3,267,0.018343,0.1111,59.7015,25,12.3,0.075,0.0216,0,0,0,0
27,4996,3161,1,5,3,1.8479,1,204.4,3152,0,4.56,1.0177,3106.1,9,1.0,11,1,4,270,0.017228,0.1351,136.3636,26,11.2,0.0923,0.0296,1,0,0,0
28,4995,3121,3,5,1,1.9386,1,203.0,3103,0,4.58,1.0043,3107.6,18,1.0,11,3,3,260,0.016803,0.1238,171.7172,27,9.5,0.0912,0.0265,2,1,0,0
29,4991,3114,0,0,3,1.9839,2,205.2,3104,0,4.45,1.0019,3108.2,10,1.0,14,5,2,245,0.020398,0.163,116.2791,28,7.4,0.087,0.0355,0,0,0,0
30,4991,2991,2,3,3,1.9758,1,204.4,1,2977,4.38,0.9658,3097.0,14,1.0,13,4,5,275,0.016247,0.175,155.2754,29,8.5,0.0839,0.0382,0,0,0,0
31,4991,3104,1,4,1,1.9852,1,204.6,3095,0,4.53,1.002,3097.7,9,1.0,13,2,2,264,0.017747,0.1136,95.2381,30,9.2,0.0739,0.0202,0,1,0,0
32,4987,3084,0,0,1,1.9855,2,207.0,0,3084,4.47,0.996,3096.4,0,1.0,11,0,2,241,0.019895,0.125,0.0,31,11.6,0.1023,0.027,0,0,0,0
33,4987,3192,2,5,0,1.9819,1,203.9,3191,0,4.59,1.0305,3106.3,10,1.0,11,2,2,270,0.020124,0.1628,123.4568,32,11.2,0.093,0.0319,2,0,0,0
34,4983,3037,1,4,3,1.9489,1,210.7,10,3022,4.43,0.9798,3099.7,15,1.0,13,8,6,300,0.015456,0.1494,166.6667,33,8.8,0.0887,0.034,0,1,0,0
35,4980,3128,0,0,3,1.9489,2,209.9,3115,0,4.51,1.0082,3102.4,13,1.0,13,3,3,274,0.017583,0.1125,133.3333,34,9.8,0.0732,0.0234,0,0,0,0
36,4977,2998,1,5,3,1.9351,1,210.5,0,2991,4.44,0.9694,3092.5,7,1.0,11,3,5,294,0.016728,0.1546,58.1395,35,11.5,0.0876,0.0328,1,0,0,0
37,4970,3107,1,5,3,1.9576,1,216.0,3097,0,4.45,1.0042,3093.9,10,1.0,11,1,1,256,0.021057,0.1556,114.9425,36,12.3,0.0951,0.0301,1,0,0,0
38,4960,3079,0,0,3,1.9351,2,214.6,0,3074,4.46,0.9957,3092.4,5,1.0,11,0,0,247,0.022156,0.1625,62.5,37,13.3,0.1,0.037,0,0,0,0
39,4952,3088,0,0,3,1.8796,1,211.5,0,3088,4.56,0.9987,3092.0,0,1.0,10,0,1,247,0.023233,0.1316,0.0,38,11.9,0.0987,0.0257,0,1,0,0
40,4947,2990,0,0,3,1.8843,1,211.1,0,2990,4.4,0.9701,3082.3,0,1.0,9,0,1,222,0.023282,0.1935,0.0,39,13.6,0.0922,0.0396,0,1,0,0
41,4944,2969,2,5,1,1.8796,1,216.3,0,2959,4.36,0.9666,3071.5,10,1.0,12,4,1,246,0.019188,0.1412,125.0,40,10.3,0.0912,0.0286,1,0,0,0
42,4936,3101,0,0,1,1.9172,1,210.1,3091,0,4.56,1.0087,3074.3,10,1.0,10,0,2,230,0.02292,0.1828,113.6364,41,13.4,0.0968,0.036,0,0,0,0
43,4933,2917,2,4,1,1.863,1,203.6,4,2900,4.33,0.9535,3059.3,17,1.0,11,3,2,265,0.016889,0.1235,210.5263,42,12.5,0.0776,0.0238,0,1,0,0
44,4931,3088,0,0,1,1.966,1,207.7,3088,0,4.5,1.0085,3062.1,0,1.0,11,0,0,232,0.022692,0.1429,0.0,43,13.5,0.102,0.0299,0,0,0,0
45,4928,3086,1,4,0,1.9787,1,216.0,3082,0,4.42,1.0071,3064.3,4,1.0,10,1,2,251,0.021116,0.1475,68.9655,44,13.8,0.0902,0.03,0,1,0,0
46,4928,3009,0,0,0,1.9699,1,200.1,0,3009,4.37,0.9836,3059.1,0,1.0,8,0,2,212,0.025173,0.2292,0.0,45,16.5,0.1208,0.0477,0,1,0,0
47,4926,3054,0,0,3,1.9457,1,200.4,4,3050,4.48,0.9985,3058.6,4,1.0,9,4,3,201,0.025591,0.1765,63.8298,46,15.6,0.1216,0.0343,0,0,0,0
48,4925,2968,0,0,3,1.9261,1,180.3,0,2968,4.5,0.9731,3050.0,0,1.0,9,0,0,181,0.028429,0.2292,0.0,47,16.6,0.1208,0.0564,0,0,0,0
