window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed
68,4965,3016,1,3,3,1.977,1,160.6,4,3004,4.39,0.9806,3075.6,12,1.0,14,2,7,317,0.015863,0.1111,130.9524,42,8.6,0.0758,0.0239,0,0,0,0
69,4965,3066,1,4,3,1.9344,1,165.7,6,3060,4.43,0.9972,3074.6,6,1.0,14,4,4,281,0.015997,0.1286,95.2381,43,8.6,0.081,0.0278,0,0,0,0
70,4962,2934,0,0,3,1.9291,2,164.3,1,2933,4.39,0.9584,3061.2,1,1.0,13,1,2,242,0.021086,0.1525,0.0,44,10.0,0.0904,0.0368,0,0,0,0
71,4957,2979,2,4,3,1.7812,1,162.5,0,2969,4.37,0.9756,3053.4,10,1.0,15,6,4,277,0.016075,0.1444,120.4819,45,8.8,0.0722,0.0314,0,0,0,0
72,4953,3040,0,0,3,1.7427,1,167.0,0,3030,4.42,0.996,3052.1,10,1.0,12,0,3,251,0.020519,0.1358,135.1351,46,11.6,0.0905,0.0259,0,0,0,0
73,4951,2987,1,3,3,1.8395,1,168.1,0,2983,4.39,0.9807,3045.9,4,1.0,11,1,2,249,0.02027,0.141,52.6316,47,13.2,0.0983,0.0326,0,0,0,0
74,4950,3097,0,0,3,1.9049,1,170.4,3097,0,4.51,1.0151,3050.8,0,1.0,10,0,1,240,0.022687,0.1507,0.0,48,13.7,0.1151,0.0327,0,1,0,0
75,4947,2875,0,0,3,1.7028,1,163.9,0,2875,4.33,0.9476,3034.1,0,1.0,8,0,2,215,0.025104,0.1364,0.0,49,17.6,0.1227,0.0227,0,0,0,0
76,4946,2994,0,0,3,1.8732,1,165.1,2,2992,4.45,0.988,3030.2,2,1.0,8,2,2,198,0.027046,0.2245,22.2222,50,17.8,0.1347,0.0508,0,0,0,0
77,4944,2972,2,5,1,1.9094,1,165.9,6,2961,4.39,0.9826,3024.7,11,1.0,14,6,0,230,0.018921,0.1636,211.5385,51,10.7,0.103,0.0347,1,0,0,0
78,4943,3048,1,5,1,1.9491,1,173.2,3038,0,4.49,1.007,3026.9,10,1.0,11,1,4,239,0.019972,0.1954,121.9512,52,14.5,0.0952,0.0423,1,0,0,0
79,4942,2962,0,0,0,1.9457,2,163.4,0,2957,4.44,0.9806,3020.7,5,1.0,9,0,2,227,0.026619,0.1406,81.9672,53,17.8,0.1071,0.0302,0,0,0,0
80,4942,3045,1,3,3,1.9853,1,164.4,3042,0,4.48,1.0073,3023.0,3,1.0,7,1,3,219,0.023988,0.1803,55.5556,54,19.1,0.1202,0.0389,0,1,0,0
81,4942,3009,0,0,3,1.9893,1,170.6,3,3006,4.48,0.9958,3021.7,3,1.0,5,0,2,161,0.034245,0.25,76.9231,55,23.4,0.1818,0.0564,0,2,0,0
82,4941,3021,0,0,3,1.9803,1,166.4,4,3015,4.37,0.9998,3021.6,6,1.0,5,3,3,141,0.036288,0.2564,82.9167,56,24.4,0.1987,0.0497,0,0,0,0
83,4941,2973,0,0,3,1.9713,1,165.2,5,2968,4.48,0.9854,3017.0,5,1.0,7,2,0,122,0.036056,0.2051,138.8889,57,18.1,0.1603,0.0563,0,0,0,0
84,4940,3126,1,5,3,1.9787,1,163.9,3132,0,4.52,1.0367,3028.7,8,1.0,8,1,0,146,0.036103,0.2222,133.3333,58,16.8,0.1397,0.0416,1,0,0,0
85,4939,3021,1,3,3,1.933,1,164.2,6,3015,4.42,0.9977,3028.0,6,1.0,9,1,0,160,0.032346,0.1628,150.0,59,15.8,0.1302,0.0285,0,0,0,0
86,4938,2998,0,0,3,1.9121,2,169.7,3,2990,4.44,0.991,3025.1,8,1.0,9,5,5,175,0.024321,0.1525,150.9434,60,15.4,0.1051,0.0226,0,0,0,0
87,4938,3090,1,5,3,1.898,1,161.6,3082,0,4.52,1.0194,3031.3,8,1.0,9,1,1,182,0.026516,0.1803,140.3509,61,13.8,0.1213,0.0363,1,1,0,0
88,4938,3053,2,5,3,1.9222,1,169.9,3036,0,4.48,1.0065,3033.4,17,1.0,14,10,5,221,0.020341,0.1408,257.5758,62,9.4,0.0939,0.0289,1,0,0,0
89,4937,3169,2,5,1,1.9337,2,167.5,3202,0,4.65,1.0568,3051.6,23,1.0,15,7,6,289,0.015755,0.1364,212.1212,63,9.2,0.0784,0.0325,2,0,0,0
90,4937,3108,0,0,3,1.9914,2,169.0,3092,0,4.5,1.0167,3057.0,16,1.0,13,0,2,241,0.01969,0.1566,200.0,64,11.5,0.0858,0.0288,0,0,0,0
91,4937,2955,1,5,1,1.9893,1,163.3,5,2945,4.41,0.9697,3047.3,10,1.0,12,1,2,257,0.020043,0.1463,126.5823,65,12.8,0.0991,0.0336,1,1,0,0
92,4937,3016,0,0,1,1.9772,1,171.6,3,3013,4.42,0.9907,3044.3,3,1.0,12,3,3,242,0.018979,0.1404,56.6038,66,13.2,0.0877,0.0332,0,0,0,0
