rank,count
1,104
2,110
3,93
4,104
5,109
6,121
7,115
8,97
9,99
10,98
11,92
12,91
13,102
14,119
15,97
16,105
17,104
18,86
19,74
20,84
21,96
22,110
23,106
24,80
25,93
26,95
27,87
28,104
29,78
30,84
31,92
32,77
33,73
34,74
35,82
36,87
37,97
38,97
39,92
40,94
41,84
42,86
43,72
44,84
45,77
46,91
47,87
48,84
49,69
50,79
51,81
52,72
53,75
54,89
55,67
56,67
57,76
58,71
59,85
60,100
61,91
62,82
63,78
64,80
65,79
66,78
67,87
68,63
69,81
70,81
71,85
72,76
73,83
74,76
75,83
76,77
77,87
78,74
79,104
80,74
81,63
82,88
83,53
84,83
85,79
86,86
87,93
88,70
89,68
90,63
91,83
92,91
93,66
94,79
95,78
96,72
97,79
98,68
99,66
100,80
101,81
102,86
103,52
104,68
105,80
106,78
107,73
108,69
109,81
110,69
111,83
112,73
113,76
114,75
115,77
116,91
117,82
118,62
119,70
120,77
121,61
122,76
123,68
124,78
125,68
126,70
127,74
128,80
129,81
130,55
131,80
132,74
133,63
134,80
135,59
136,79
137,73
138,66
139,71
140,74
141,71
142,70
143,67
144,67
145,71
146,63
147,73
148,71
149,69
150,63
151,77
152,59
153,71
154,50
155,57
156,67
157,79
158,69
159,62
160,72
161,75
162,52
163,64
164,69
165,66
166,62
167,78
168,57
169,62
170,57
171,72
172,75
173,56
174,50
175,60
176,75
177,64
178,62
179,67
180,54
181,61
182,67
183,61
184,69
185,64
186,61
187,64
188,58
189,56
190,55
191,53
192,69
193,59
194,59
195,67
196,60
197,66
198,59
199,56
200,64
201,66
202,62
203,61
204,52
205,41
206,49
207,53
208,52
209,59
210,58
211,44
212,57
213,55
214,64
215,56
216,48
217,50
218,56
219,73
220,50
221,38
222,47
223,61
224,61
225,62
226,57
227,51
228,61
229,57
230,51
231,55
232,52
233,65
234,60
235,57
236,51
237,50
238,46
239,59
240,56
241,40
242,48
243,58
244,44
245,43
246,59
247,38
248,43
249,42
250,43
251,34
252,64
253,52
254,44
255,49
256,36
257,57
258,51
259,46
260,41
261,51
262,47
263,57
264,54
265,38
266,45
267,64
268,30
269,52
270,40
271,47
272,48
273,46
274,50
275,40
276,46
277,44
278,51
279,38
280,39
281,40
282,49
283,46
284,48
285,39
286,36
287,20
288,33
289,45
290,47
291,41
292,38
293,29
294,38
295,35
296,33
297,20
298,36
299,26
300,30
301,35
302,28
303,39
304,30
305,29
306,29
307,23
308,24
309,21
310,17
311,20
312,12
313,23
314,16
315,19
316,23
317,17
318,17
319,18
320,11
321,12
322,13
323,9
324,9
325,6
