rank,count
1,99
2,106
3,90
4,101
5,101
6,111
7,112
8,93
9,99
10,94
11,88
12,87
13,99
14,113
15,94
16,103
17,101
18,82
19,71
20,80
21,94
22,106
23,104
24,77
25,91
26,91
27,86
28,96
29,77
30,79
31,88
32,74
33,71
34,69
35,78
36,85
37,92
38,93
39,89
40,92
41,82
42,83
43,67
44,80
45,75
46,84
47,84
48,82
49,66
50,70
51,79
52,71
53,73
54,88
55,66
56,64
57,73
58,66
59,83
60,99
61,87
62,80
63,74
64,76
65,77
66,72
67,83
68,60
69,78
70,77
71,81
72,75
73,80
74,65
75,81
76,75
77,84
78,72
79,96
80,71
81,60
82,84
83,50
84,79
85,76
86,81
87,90
88,64
89,67
90,58
91,81
92,85
93,63
94,77
95,76
96,70
97,75
98,66
99,65
100,76
101,78
102,85
103,50
104,63
105,77
106,73
107,69
108,65
109,77
110,66
111,83
112,72
113,75
114,72
115,73
116,86
117,80
118,60
119,66
120,74
121,61
122,70
123,66
124,76
125,65
126,64
127,68
128,74
129,77
130,51
131,78
132,72
133,62
134,78
135,57
136,77
137,71
138,62
139,68
140,74
141,69
142,67
143,62
144,64
145,67
146,60
147,70
148,71
149,66
150,62
151,72
152,57
153,63
154,48
155,53
156,66
157,74
158,64
159,59
160,70
161,71
162,51
163,61
164,65
165,63
166,56
167,72
168,56
169,61
170,53
171,67
172,70
173,55
174,50
175,58
176,72
177,63
178,61
179,62
180,49
181,60
182,65
183,59
184,68
185,61
186,57
187,63
188,53
189,53
190,54
191,51
192,66
193,57
194,58
195,64
196,58
197,61
198,55
199,56
200,58
201,63
202,58
203,57
204,50
205,37
206,49
207,52
208,51
209,56
210,55
211,41
212,55
213,52
214,60
215,55
216,47
217,48
218,56
219,66
220,48
221,36
222,44
223,60
224,56
225,59
226,57
227,49
228,60
229,55
230,48
231,53
232,50
233,64
234,57
235,54
236,49
237,47
238,44
239,56
240,51
241,40
242,44
243,53
244,43
245,42
246,58
247,37
248,43
249,39
250,39
251,33
252,61
253,50
254,42
255,48
256,35
257,53
258,50
259,45
260,40
261,45
262,46
263,56
264,54
265,37
266,42
267,60
268,28
269,47
270,40
271,45
272,46
273,44
274,47
275,39
276,42
277,43
278,45
279,38
280,36
281,40
282,48
283,44
284,47
285,39
286,34
287,19
288,31
289,42
290,47
291,40
292,33
293,27
294,37
295,32
296,32
297,20
298,34
299,26
300,29
301,34
302,24
303,38
304,28
305,29
306,28
307,20
308,23
309,21
310,17
311,20
312,12
313,23
314,16
315,17
316,21
317,17
318,17
319,17
320,11
321,12
322,13
323,9
324,9
325,6
