seed,win,tri,bnd_links,bnd_w,ent,n_br,persist_br,br_life,br_max,br_AC,br_BC,br_AB,gk,div,merge,split,A_isl,B_isl,C_isl,r0_c,r1_c,r2_c,r3_c
2,1,1,2129,59.9416,1.5845,5,0,1.0,1,4,0,1,0,0,0,0,0,0,0,A,B,A,B
2,2,0,2042,57.0045,1.5841,6,0,1.0,1,0,3,3,0,1,0,0,0,0,0,A,B,A,B
2,3,0,2012,54.3612,1.5813,1,0,1.0,1,0,0,1,3,1,0,0,0,0,0,A,B,A,B
2,4,0,2117,57.2601,1.5625,2,0,1.0,1,0,2,0,3,1,0,0,0,0,0,A,B,A,B
2,5,0,1927,56.2164,1.5578,7,0,1.0,1,0,4,3,1,1,0,0,0,1,0,A,B,A,B
2,6,0,1929,53.2452,1.4839,2,0,1.0,1,1,0,1,3,1,0,0,0,0,0,A,B,A,B
2,7,0,2078,55.4062,1.546,0,0,0,0,0,0,0,4,1,0,0,0,0,0,C,B,A,B
2,8,0,2080,57.5396,1.5632,0,0,0,0,0,0,0,4,1,0,0,0,0,0,C,B,A,C
2,9,0,2035,56.9541,1.5132,5,0,1.0,1,1,4,0,4,1,0,0,0,0,0,C,C,A,C
2,10,0,2054,56.646,1.4396,7,0,1.0,1,5,0,2,4,1,0,0,0,1,0,A,B,A,C
2,11,0,1997,58.4998,1.5448,10,0,1.0,1,3,3,4,4,1,0,0,0,0,0,C,B,A,C
2,12,0,2034,54.5901,1.5697,0,0,0,0,0,0,0,4,1,0,0,0,0,0,A,B,A,B
2,13,0,2074,57.8136,1.5837,2,0,1.0,1,2,0,0,4,1,0,0,0,0,0,A,B,A,C
2,14,0,2091,56.9491,1.5842,0,0,0,0,0,0,0,3,1,0,0,0,0,0,A,B,A,B
2,15,0,2045,57.1357,1.5219,3,0,1.0,1,0,1,2,4,0,0,0,0,0,0,C,B,A,B
2,16,0,2006,54.6221,1.4179,0,0,0,0,0,0,0,3,1,0,0,0,0,0,A,B,C,B
2,17,0,1913,51.9416,1.5726,2,0,1.0,1,1,1,0,1,1,0,0,0,0,0,A,B,C,B
2,18,1,2028,57.618,1.5656,9,0,1.0,1,1,6,2,4,0,0,0,0,0,0,A,B,C,B
2,19,0,2065,55.8982,1.5715,2,0,1.0,1,1,1,0,4,0,0,0,0,0,0,A,B,A,B
2,20,0,1974,55.9909,1.5504,7,0,1.0,1,2,4,1,4,0,0,0,0,0,0,A,B,A,C
2,21,0,2009,56.3811,1.5763,4,0,1.0,1,3,0,1,4,0,0,0,0,0,0,A,B,A,B
2,22,0,2108,58.794,1.5794,2,0,1.0,1,0,0,2,4,0,0,0,0,0,0,A,B,A,B
2,23,0,1995,54.7373,1.5656,2,0,1.0,1,0,0,2,4,0,0,0,0,0,0,A,B,A,B
2,24,0,2020,56.4406,1.4399,2,0,1.0,1,2,0,0,4,0,0,0,0,0,0,A,B,A,B
2,25,0,1998,53.8912,1.5,1,0,1.0,1,0,0,1,4,0,0,0,0,0,0,C,B,A,B
