seed,win,tri,bnd_links,bnd_w,ent,n_br,persist_br,br_life,br_max,br_AC,br_BC,br_AB,gk,div,merge,split,A_isl,B_isl,C_isl,r0_c,r1_c,r2_c,r3_c
3,1,0,2139,60.9252,1.5848,9,0,1.0,1,2,4,3,0,0,0,0,1,0,0,A,B,A,B
3,2,0,2057,56.2535,1.5844,3,0,1.0,1,1,1,1,0,1,0,0,0,0,0,A,B,A,B
3,3,0,2009,53.3673,1.5833,0,0,0,0,0,0,0,3,1,0,0,0,0,0,A,B,A,B
3,4,0,2049,55.6413,1.5823,0,0,0,0,0,0,0,4,1,0,0,0,0,0,A,B,A,B
3,5,0,2032,54.3133,1.541,1,0,1.0,1,1,0,0,4,1,0,0,0,0,0,C,C,A,B
3,6,1,2160,58.7744,1.5816,5,0,1.0,1,1,0,4,4,1,0,0,0,0,0,A,C,A,B
3,7,0,2072,58.8843,1.5789,5,0,1.0,1,2,1,2,4,1,0,0,1,0,0,A,B,A,B
3,8,0,2095,58.9254,1.5782,3,0,1.0,1,1,2,0,4,1,0,0,0,0,0,A,C,A,B
3,9,0,2039,57.7607,1.5575,8,0,1.0,1,2,3,3,4,0,0,0,0,0,0,A,B,C,B
3,10,0,2013,54.618,1.5653,1,0,1.0,1,0,0,1,4,0,0,0,0,0,0,C,B,C,B
3,11,0,2032,54.9044,1.569,1,0,1.0,1,0,0,1,4,0,0,0,0,0,0,C,B,A,C
3,12,0,2010,53.6868,1.5828,1,0,1.0,1,0,1,0,3,1,0,0,0,0,0,A,B,A,B
3,13,0,2104,56.9926,1.5557,0,0,0,0,0,0,0,4,0,0,0,0,0,0,A,B,A,C
3,14,0,2075,55.6228,1.5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,A,B,A,C
3,15,0,2027,55.185,1.3921,4,0,1.0,1,2,2,0,4,0,0,0,0,0,0,A,C,C,?
3,16,0,1988,54.8784,1.5644,5,0,1.0,1,0,1,4,4,0,0,0,0,0,0,A,B,A,B
3,17,0,2114,58.2344,1.5799,0,0,0,0,0,0,0,3,1,0,0,0,0,0,A,B,A,C
3,18,0,1980,54.7398,1.5839,3,0,1.0,1,0,1,2,3,1,0,0,0,0,0,A,B,C,B
3,19,0,2052,57.2606,1.5807,3,0,1.0,1,1,1,1,4,0,0,0,0,0,0,A,B,A,C
3,20,0,2009,55.5918,1.5206,3,0,1.0,1,0,2,1,4,0,0,0,0,0,0,A,B,C,B
3,21,1,2036,58.4671,1.5821,9,0,1.0,1,3,1,5,3,1,0,0,0,0,0,A,B,A,B
3,22,0,1983,54.7286,1.4496,3,0,1.0,1,1,1,1,4,0,0,0,0,0,1,A,B,A,C
3,23,0,2027,56.0943,1.5052,5,0,1.0,1,0,3,2,4,0,0,0,0,0,0,A,C,A,B
3,24,0,1972,52.9403,1.427,1,0,1.0,1,1,0,0,4,0,0,0,0,0,0,C,B,A,C
3,25,0,2088,57.8507,1.5651,3,0,1.0,1,0,1,2,4,0,0,0,0,1,0,C,B,A,B
