seed,win,tri,bnd_links,bnd_w,ent,n_br,persist_br,br_life,br_max,br_AC,br_BC,br_AB,gk,div,merge,split,A_isl,B_isl,C_isl,r0_c,r1_c,r2_c,r3_c
9,1,2,2112,60.0512,1.5829,6,0,1.0,1,3,1,2,0,0,0,0,0,0,0,A,B,A,B
9,2,0,2163,60.8206,1.579,10,0,1.0,1,4,5,1,0,1,0,0,0,0,0,A,B,A,B
9,3,0,2027,58.3026,1.5794,4,0,1.0,1,1,3,0,0,1,0,0,0,0,0,A,B,A,B
9,4,0,2079,60.1141,1.5626,10,0,1.0,1,3,4,3,3,1,0,0,0,0,1,A,B,A,B
9,5,0,2089,60.3198,1.5707,10,0,1.0,1,3,2,5,4,0,0,0,0,0,0,A,B,A,B
9,6,0,2062,56.1191,1.5779,3,0,1.0,1,1,1,1,3,1,0,0,0,0,0,A,B,A,C
9,7,0,2070,55.9744,1.5751,0,0,0,0,0,0,0,4,0,0,0,0,0,0,A,B,A,B
9,8,0,2082,59.867,1.5801,8,0,1.0,1,1,2,5,1,1,0,0,0,0,0,C,B,A,C
9,9,0,1994,54.2925,1.5682,2,0,1.0,1,0,0,2,1,1,0,0,0,0,0,C,B,A,B
9,10,0,2093,58.387,1.5838,4,0,1.0,1,2,2,0,4,0,0,0,0,0,0,A,B,A,C
9,11,0,2027,55.1658,1.4952,0,0,0,0,0,0,0,3,1,0,0,0,0,0,A,B,A,C
9,12,0,2083,56.8588,1.4773,2,0,1.0,1,2,0,0,4,0,0,0,0,0,0,A,B,A,C
9,13,0,2034,56.524,1.5844,10,0,1.0,1,4,4,2,4,0,0,0,1,0,0,A,B,A,C
9,14,0,2094,57.1988,1.5777,4,0,1.0,1,2,1,1,3,1,0,0,0,0,0,A,B,A,B
9,15,0,2112,59.0931,1.5828,7,0,1.0,1,1,6,0,4,0,0,0,0,0,1,A,B,A,B
9,16,0,2120,59.2198,1.5557,8,0,1.0,1,4,2,2,3,1,0,0,0,0,0,A,B,A,B
9,17,0,2106,59.0306,1.487,4,0,1.0,1,0,4,0,1,1,0,0,0,1,0,A,C,C,B
9,18,0,2068,56.8858,1.5218,3,0,1.0,1,1,0,2,3,1,0,0,0,0,0,A,B,A,B
9,19,0,1952,53.4423,1.5788,1,0,1.0,1,0,1,0,3,1,0,0,0,0,0,A,B,A,B
9,20,0,2063,57.8827,1.544,3,0,1.0,1,3,0,0,3,1,0,0,0,0,0,A,B,C,B
9,21,0,2037,56.4478,1.4692,7,0,1.0,1,4,0,3,4,1,0,0,1,0,0,A,B,A,B
9,22,0,1986,54.7117,1.5715,2,0,1.0,1,0,1,1,3,1,0,0,0,0,0,A,C,A,B
9,23,0,1987,55.5816,1.5653,7,0,1.0,1,3,1,3,4,0,0,0,0,0,0,A,B,A,B
9,24,0,2041,58.6544,1.5305,8,0,1.0,1,0,2,6,3,1,0,0,0,0,0,A,B,A,B
9,25,0,2047,54.3635,1.4052,0,0,0,0,0,0,0,4,0,0,0,0,0,0,A,B,A,B
