atom_id,category,core_count,dev_count,core_ratio_pct,zero_core,thin_core,pos_n_pct,pos_v_pct,pos_adj_pct,unique_keys,unique_ratio_pct,mean_atoms_per_word,p95_atoms_per_word,generic_at_5pct,generic_at_10pct,generic_at_20pct,top1_overlap_atom,top1_overlap_count,top1_jaccard,sym_pair,sym_core_overlap
PRP.shallow,PRP,80,243,24.8,False,False,40.0,22.5,37.5,45,56.2,2.02,5,0,0,0,ACT.move,6,0.004,PRP.deep,0
PRP.sharp,PRP,82,108,43.2,False,False,34.1,32.9,32.9,52,63.4,1.67,4,0,0,0,FND.information,4,0.016,PRP.blunt,0
PRP.short,PRP,9,206,4.2,False,True,77.8,22.2,0.0,6,66.7,1.67,4,0,0,0,ACT.make,2,0.003,PRP.long,0
PRP.single,PRP,29,86,25.2,False,False,31.0,0.0,69.0,15,51.7,1.52,2,0,0,0,ABS.self,7,0.152,PRP.multiple,1
PRP.slow,PRP,44,57,43.6,False,False,27.3,20.5,52.3,33,75.0,1.45,3,0,0,0,SOC.rest,2,0.022,PRP.fast,0
PRP.small,PRP,82,126,39.4,False,False,18.3,2.4,79.3,60,73.2,1.32,2,0,0,0,PRP.shallow,5,0.032,PRP.large,0
PRP.smooth,PRP,55,763,6.7,False,False,30.9,25.5,43.6,28,50.9,1.91,4,0,0,0,PRP.bright,7,0.056,PRP.rough,0
PRP.soft,PRP,78,28,73.6,False,False,15.4,21.8,62.8,46,59.0,1.68,4,0,0,0,ACT.calm,20,0.139,PRP.hard,0
PRP.strong,PRP,48,7,87.3,False,False,8.3,0.0,91.7,36,75.0,1.33,3,0,0,0,PRP.deep,3,0.032,PRP.weak,0
PRP.weak,PRP,39,23,62.9,False,False,17.9,0.0,82.1,30,76.9,1.38,5,0,0,0,STA.illness,3,0.011,PRP.strong,0
PRP.wet,PRP,59,52,53.2,False,False,16.9,16.9,66.1,15,25.4,2.03,4,0,0,0,ELM.water,40,0.208,PRP.dry,0
PRP.whole,PRP,151,1388,9.8,False,False,23.8,49.0,27.2,50,33.1,2.45,6,0,0,0,CHG.end,45,0.183,PRP.part,2
