seed,win,tri,bnd_links,bnd_w,ent,n_br,persist_br,br_life,br_max,br_AC,br_BC,br_AB,gk,div,merge,split,A_isl,B_isl,C_isl,r0_c,r1_c,r2_c,r3_c
7,1,0,2173,60.7388,1.5847,6,0,1.0,1,1,3,2,0,0,0,0,0,0,0,A,B,A,B
7,2,0,2040,56.9089,1.5845,3,0,1.0,1,1,1,1,0,1,0,0,0,0,0,A,B,A,B
7,3,0,2066,56.4333,1.5799,2,0,1.0,1,2,0,0,0,1,0,0,1,0,0,A,B,A,B
7,4,0,2001,54.8394,1.5766,3,0,1.0,1,2,1,0,3,1,0,0,0,0,0,A,B,A,C
7,5,0,2025,55.9156,1.5683,2,0,1.0,1,1,0,1,3,1,0,0,0,0,0,A,B,A,B
7,6,0,2022,55.4104,1.5284,0,0,0,0,0,0,0,1,1,0,0,0,0,0,A,B,A,B
7,7,0,2099,60.9157,1.5605,9,0,1.0,1,4,5,0,1,1,0,0,0,0,0,C,B,A,B
7,8,0,2020,53.6165,1.555,0,0,0,0,0,0,0,4,0,0,0,0,0,0,A,B,A,B
7,9,0,2046,54.188,1.5722,0,0,0,0,0,0,0,4,0,0,0,0,0,0,A,B,C,B
7,10,0,2075,59.6756,1.5522,6,0,1.0,1,0,3,3,1,1,0,0,0,0,0,A,B,A,B
7,11,0,2005,53.5402,1.5622,0,0,0,0,0,0,0,1,1,0,0,0,0,0,A,B,A,B
7,12,0,2084,56.4576,1.561,0,0,0,0,0,0,0,0,1,0,0,0,0,0,A,B,A,C
7,13,0,2054,56.4101,1.5147,6,0,1.0,1,3,0,3,4,0,0,0,0,0,0,A,C,A,B
7,14,0,1961,54.6248,1.5269,2,0,1.0,1,1,1,0,4,0,0,0,0,0,0,A,C,A,B
7,15,0,2145,59.5138,1.5567,4,0,1.0,1,2,2,0,4,0,0,0,0,0,0,A,B,A,B
7,16,0,2117,58.8306,1.51,0,0,0,0,0,0,0,4,0,0,0,0,0,0,A,C,A,B
7,17,0,2097,56.8392,1.5462,0,0,0,0,0,0,0,4,0,0,0,0,0,0,A,B,A,B
7,18,0,2127,60.6791,1.5787,7,0,1.0,1,5,1,1,4,0,0,0,0,0,0,A,B,A,B
7,19,0,2038,56.8627,1.5777,2,0,1.0,1,0,0,2,4,0,0,0,0,0,0,A,B,A,B
7,20,0,2045,54.8383,1.5448,0,0,0,0,0,0,0,4,0,0,0,0,0,0,A,B,A,B
7,21,0,2073,56.6509,1.5452,1,0,1.0,1,0,0,1,4,0,0,0,0,0,0,C,C,A,B
7,22,0,2042,55.4748,1.57,1,0,1.0,1,0,1,0,4,0,0,0,0,0,0,A,B,C,B
7,23,1,1957,53.4004,1.5726,4,0,1.0,1,0,1,3,4,0,0,0,0,0,0,A,B,A,B
7,24,0,2030,55.5104,1.5535,3,0,1.0,1,1,1,1,4,0,0,0,0,0,0,C,B,A,B
7,25,1,2040,56.3912,1.5204,8,0,1.0,1,3,4,1,4,0,0,0,0,0,0,C,B,A,B
