seed,win,tri,bnd_links,bnd_w,ent,n_br,persist_br,br_life,br_max,br_AC,br_BC,br_AB,gk,div,merge,split,A_isl,B_isl,C_isl,r0_c,r1_c,r2_c,r3_c
13,1,0,2118,60.7393,1.5846,9,0,1.0,1,3,4,2,0,0,0,0,0,0,1,A,B,A,B
13,2,0,2047,55.4731,1.5803,2,0,1.0,1,0,2,0,3,1,0,0,0,0,0,A,B,A,B
13,3,0,2038,58.0382,1.5801,8,0,1.0,1,3,3,2,0,1,0,0,0,0,0,A,B,A,B
13,4,0,1999,54.7929,1.5579,1,0,1.0,1,0,1,0,3,1,0,0,0,0,0,A,B,C,C
13,5,0,2031,55.3012,1.5201,2,0,1.0,1,1,1,0,4,0,0,0,0,0,0,A,B,C,C
13,6,0,2132,60.0381,1.5004,6,0,1.0,1,3,2,1,4,0,0,0,0,0,0,A,C,A,B
13,7,0,1995,54.8217,1.5486,2,0,1.0,1,0,1,1,4,0,0,0,0,0,0,A,C,A,B
13,8,0,1997,54.4242,1.5774,0,0,0,0,0,0,0,4,0,0,0,0,0,0,A,B,A,C
13,9,0,2075,56.2039,1.5502,0,0,0,0,0,0,0,4,0,0,0,0,0,0,A,B,A,B
13,10,0,2103,60.0204,1.544,10,0,1.0,1,3,4,3,1,1,0,0,0,0,0,A,C,A,B
13,11,0,2106,57.6428,1.5179,3,0,1.0,1,1,2,0,4,0,0,0,0,0,0,A,B,C,B
13,12,0,2045,56.9861,1.5822,3,0,1.0,1,1,1,1,4,0,0,0,0,0,0,A,B,C,B
13,13,0,2087,57.4663,1.5589,4,0,1.0,1,0,2,2,4,0,0,0,0,0,0,C,B,A,B
13,14,0,1980,52.4148,1.5,1,0,1.0,1,1,0,0,4,0,0,0,0,0,0,A,B,A,B
13,15,0,2096,58.1384,1.3646,1,0,1.0,1,0,1,0,4,0,0,0,0,0,0,A,B,A,B
13,16,0,2099,59.6413,1.4886,7,0,1.0,1,3,3,1,1,1,0,0,0,0,1,C,B,A,B
13,17,0,2072,55.7758,1.4153,4,0,1.0,1,1,0,3,3,1,0,0,0,0,0,C,C,A,B
13,18,0,2087,57.6614,1.5734,1,0,1.0,1,1,0,0,3,1,0,0,0,0,0,A,C,A,B
13,19,0,2082,58.8189,1.4613,7,0,1.0,1,0,5,2,4,0,0,0,0,0,0,C,C,C,B
13,20,0,2028,55.1394,1.5243,4,0,1.0,1,4,0,0,4,0,0,0,0,0,0,A,C,A,B
13,21,0,2032,54.4954,1.427,2,0,1.0,1,1,0,1,4,0,0,0,0,0,0,A,C,A,C
13,22,0,2044,58.6161,1.4407,8,0,1.0,1,5,1,2,4,0,0,0,0,0,0,A,C,C,C
13,23,0,2130,58.5784,1.5843,2,0,1.0,1,1,1,0,4,0,0,0,0,0,0,A,B,C,B
13,24,0,2027,58.1681,1.5426,8,0,1.0,1,2,3,3,4,0,0,0,0,0,0,A,B,A,B
13,25,0,1988,56.7014,1.509,7,0,1.0,1,0,5,2,4,0,0,0,0,0,0,A,B,A,B
