seed,win,tri,bnd_links,bnd_w,ent,n_br,persist_br,br_life,br_max,br_AC,br_BC,br_AB,gk,div,merge,split,A_isl,B_isl,C_isl,r0_c,r1_c,r2_c,r3_c
10,1,0,2046,58.5103,1.5843,8,0,1.0,1,3,0,5,0,0,0,0,0,0,0,A,B,A,B
10,2,0,2092,56.3434,1.581,0,0,0,0,0,0,0,3,1,0,0,0,0,0,A,B,A,B
10,3,0,1942,53.741,1.5816,5,0,1.0,1,2,0,3,0,1,0,0,0,0,0,A,B,A,B
10,4,0,1998,54.3762,1.5845,3,0,1.0,1,2,1,0,4,0,0,0,0,0,0,A,B,A,B
10,5,0,2032,56.2908,1.5801,2,0,1.0,1,0,2,0,4,0,0,0,0,0,0,A,B,A,B
10,6,0,2055,55.9395,1.582,1,0,1.0,1,0,0,1,4,0,0,0,0,0,0,A,B,A,B
10,7,0,2104,59.1004,1.5632,7,0,1.0,1,1,3,3,4,0,0,0,0,0,0,A,B,A,B
10,8,0,1998,55.4905,1.5621,1,0,1.0,1,1,0,0,4,0,0,0,0,0,0,A,B,A,B
10,9,0,2062,56.8922,1.544,3,0,1.0,1,0,2,1,4,0,0,0,0,0,0,C,B,A,B
10,10,0,2053,56.255,1.5752,0,0,0,0,0,0,0,3,1,0,0,0,0,0,A,B,A,B
10,11,0,1979,57.2187,1.5803,11,0,1.0,1,0,5,6,4,0,0,0,0,0,0,A,B,C,B
10,12,0,2064,56.9007,1.5201,2,0,1.0,1,1,0,1,4,0,0,0,0,0,0,A,B,C,C
10,13,0,2074,56.0216,1.5843,1,0,1.0,1,1,0,0,4,0,0,0,0,0,0,A,B,A,B
10,14,0,2116,60.1636,1.4926,4,0,1.0,1,4,0,0,4,0,0,0,0,0,0,A,B,A,B
10,15,1,2037,58.2942,1.5614,9,0,1.0,1,6,2,1,4,0,0,0,0,0,0,A,B,A,B
10,16,0,2081,57.0548,1.5146,2,0,1.0,1,1,0,1,1,1,0,0,0,0,0,C,B,A,C
10,17,0,2073,56.7346,1.5395,7,0,1.0,1,1,5,1,3,1,0,0,0,0,0,A,C,A,B
10,18,0,1992,54.7813,1.5782,3,0,1.0,1,1,1,1,4,0,0,0,0,0,0,A,C,A,B
10,19,0,2117,58.7599,1.581,4,0,1.0,1,0,2,2,4,0,0,0,0,0,0,C,C,A,B
10,20,0,2054,56.4082,1.5462,4,0,1.0,1,1,0,3,4,0,0,0,0,0,0,C,B,C,B
10,21,0,2140,59.9158,1.4839,5,0,1.0,1,2,3,0,1,1,0,0,0,0,0,A,C,C,C
10,22,0,2028,55.0449,1.5199,2,0,1.0,1,1,0,1,1,1,0,0,0,0,0,C,B,A,C
10,23,0,1971,56.0219,1.5477,3,0,1.0,1,3,0,0,4,0,0,0,0,0,1,A,B,C,B
10,24,0,1991,54.5462,1.5535,3,0,1.0,1,1,1,1,4,0,0,0,0,0,0,A,B,A,B
10,25,0,2039,55.7895,1.5722,2,0,1.0,1,1,1,0,4,0,0,0,0,0,0,A,B,A,B
