cid,window,prev_social,prev_stability,prev_spread,prev_familiarity,current_social,current_stability,current_spread,current_familiarity,delta_social,delta_stability,delta_spread,delta_familiarity,tags,n_tags,state
0,21,0.4211,0.6728,0.8728,7.9677,0.4348,0.6646,0.8275,7.4542,0.0137,-0.0082,-0.0453,-0.5136,,0,hosted
1,21,0.8421,0.652,0.8704,10.6025,0.8696,0.6962,0.879,20.6085,0.0275,0.0443,0.0086,10.006,gain_familiarity,1,hosted
27,21,0.8421,0.6593,0.8826,13.2748,0.9565,0.5845,0.8759,19.5735,0.1144,-0.0747,-0.0067,6.2988,gain_social|gain_familiarity,2,hosted
28,21,0.7368,0.6532,0.8842,10.5364,0.7826,0.6185,0.8724,12.6239,0.0458,-0.0347,-0.0118,2.0875,gain_familiarity,1,hosted
29,21,0.8947,0.6727,0.9,15.0002,0.8696,0.6784,0.8468,18.4217,-0.0252,0.0057,-0.0532,3.4215,gain_familiarity,1,hosted
55,21,0.0,0.7476,0.8295,0.0,0.0435,0.6444,0.788,28.024,0.0435,-0.1032,-0.0415,28.024,loss_stability|gain_familiarity,2,hosted
68,21,1.0,0.6392,0.8941,13.0432,1.0,0.6508,0.8667,15.892,0.0,0.0116,-0.0274,2.8489,gain_familiarity,1,hosted
69,21,0.9474,0.6813,0.8837,12.129,1.0,0.6903,0.8596,17.3052,0.0526,0.009,-0.0241,5.1762,gain_familiarity,1,hosted
72,21,0.6316,0.6601,0.8843,14.1138,0.8261,0.6428,0.876,15.5771,0.1945,-0.0173,-0.0083,1.4633,gain_social,1,hosted
73,21,0.1053,0.7357,0.8368,11.7908,0.1739,0.5802,0.7393,9.242,0.0686,-0.1555,-0.0975,-2.5489,loss_stability|loss_familiarity,2,hosted
79,21,0.1053,0.6861,0.8522,19.0806,0.1739,0.7078,0.7343,9.3448,0.0686,0.0218,-0.1179,-9.7358,loss_spread|loss_familiarity,2,hosted
80,21,0.0,0.6454,0.8593,0.0,0.0435,0.7013,0.797,12.3282,0.0435,0.0559,-0.0623,12.3282,gain_familiarity,1,hosted
84,21,0.4211,0.6992,0.8755,10.2141,0.6957,0.6521,0.8222,12.1842,0.2746,-0.0471,-0.0533,1.9701,gain_social,1,hosted
85,21,0.3158,0.6518,0.8646,64.7419,0.2609,0.6655,0.822,32.5251,-0.0549,0.0137,-0.0426,-32.2168,loss_familiarity,1,hosted
88,21,0.1053,0.637,0.8415,35.3457,0.1304,0.6879,0.7841,12.2902,0.0252,0.0509,-0.0575,-23.0556,loss_familiarity,1,hosted
90,21,0.1579,0.6946,0.8115,218.0964,0.1739,0.6723,0.7733,64.6761,0.016,-0.0222,-0.0382,-153.4203,loss_familiarity,1,hosted
91,21,0.2632,0.7385,0.8464,73.712,0.2609,0.6543,0.7658,75.8971,-0.0023,-0.0842,-0.0806,2.1851,gain_familiarity,1,hosted
92,21,0.1579,0.6891,0.8147,119.3648,0.1739,0.6305,0.806,34.3934,0.016,-0.0587,-0.0087,-84.9713,loss_familiarity,1,hosted
93,21,0.1579,0.6607,0.8308,21.8747,0.2174,0.6808,0.7881,10.683,0.0595,0.0202,-0.0426,-11.1917,loss_familiarity,1,hosted
97,21,0.1053,0.6986,0.8035,29.9559,0.087,0.6543,0.7578,19.3721,-0.0183,-0.0443,-0.0457,-10.5839,loss_familiarity,1,hosted
0,22,0.4348,0.6646,0.8275,7.4542,0.6538,0.7155,0.8401,12.0786,0.2191,0.0509,0.0126,4.6244,gain_social|gain_familiarity,2,hosted
1,22,0.8696,0.6962,0.879,20.6085,0.9615,0.6981,0.8495,13.1946,0.092,0.0018,-0.0295,-7.4139,loss_familiarity,1,hosted
27,22,0.9565,0.5845,0.8759,19.5735,0.9615,0.6759,0.8625,15.3789,0.005,0.0914,-0.0134,-4.1947,loss_familiarity,1,hosted
28,22,0.7826,0.6185,0.8724,12.6239,0.8077,0.6567,0.8588,11.2904,0.0251,0.0382,-0.0137,-1.3334,,0,hosted
29,22,0.8696,0.6784,0.8468,18.4217,0.9231,0.6582,0.8675,17.1111,0.0535,-0.0202,0.0207,-1.3106,,0,hosted
55,22,0.0435,0.6444,0.788,28.024,0.1154,0.7254,0.7551,23.4311,0.0719,0.081,-0.0329,-4.5929,loss_familiarity,1,hosted
68,22,1.0,0.6508,0.8667,15.892,0.9615,0.6415,0.8388,11.2412,-0.0385,-0.0093,-0.0279,-4.6508,loss_familiarity,1,hosted
69,22,1.0,0.6903,0.8596,17.3052,1.0,0.6396,0.8872,16.8133,0.0,-0.0507,0.0276,-0.4918,,0,hosted
72,22,0.8261,0.6428,0.876,15.5771,0.8846,0.7149,0.8569,14.2495,0.0585,0.0721,-0.0191,-1.3276,,0,hosted
73,22,0.1739,0.5802,0.7393,9.242,0.1923,0.6944,0.8013,8.1128,0.0184,0.1143,0.062,-1.1291,gain_stability,1,hosted
80,22,0.0435,0.7013,0.797,12.3282,0.0385,0.6322,0.7042,4.5308,-0.005,-0.0691,-0.0928,-7.7975,loss_familiarity,1,hosted
84,22,0.6957,0.6521,0.8222,12.1842,0.7308,0.7019,0.8402,10.0723,0.0351,0.0497,0.018,-2.1119,loss_familiarity,1,hosted
85,22,0.2609,0.6655,0.822,32.5251,0.5,0.6732,0.8365,14.9362,0.2391,0.0076,0.0145,-17.5889,gain_social|loss_familiarity,2,hosted
88,22,0.1304,0.6879,0.7841,12.2902,0.1923,0.6568,0.7597,13.6141,0.0619,-0.0312,-0.0244,1.3239,,0,hosted
92,22,0.1739,0.6305,0.806,34.3934,0.2308,0.7107,0.7748,17.3379,0.0569,0.0802,-0.0312,-17.0555,loss_familiarity,1,hosted
98,22,0.5652,0.6721,0.863,17.4647,0.6538,0.6364,0.8851,18.4951,0.0886,-0.0357,0.0221,1.0303,,0,hosted
0,23,0.6538,0.7155,0.8401,12.0786,0.6538,0.6745,0.833,8.798,0.0,-0.041,-0.007,-3.2806,loss_familiarity,1,hosted
1,23,0.9615,0.6981,0.8495,13.1946,0.9615,0.6884,0.8608,10.3899,0.0,-0.0097,0.0113,-2.8047,loss_familiarity,1,hosted
27,23,0.9615,0.6759,0.8625,15.3789,1.0,0.6555,0.8567,10.9095,0.0385,-0.0204,-0.0057,-4.4694,loss_familiarity,1,hosted
28,23,0.8077,0.6567,0.8588,11.2904,0.9231,0.6362,0.8582,9.2859,0.1154,-0.0205,-0.0006,-2.0045,gain_social|loss_familiarity,2,hosted
29,23,0.9231,0.6582,0.8675,17.1111,0.9231,0.7042,0.8713,11.672,0.0,0.046,0.0039,-5.4391,loss_familiarity,1,hosted
68,23,0.9615,0.6415,0.8388,11.2412,1.0,0.5787,0.871,10.2577,0.0385,-0.0628,0.0322,-0.9835,,0,hosted
69,23,1.0,0.6396,0.8872,16.8133,1.0,0.6743,0.815,11.2521,0.0,0.0347,-0.0722,-5.5613,loss_familiarity,1,hosted
72,23,0.8846,0.7149,0.8569,14.2495,0.8846,0.6468,0.8459,12.7828,0.0,-0.0681,-0.011,-1.4667,,0,hosted
73,23,0.1923,0.6944,0.8013,8.1128,0.1923,0.7296,0.7405,2.9816,0.0,0.0352,-0.0608,-5.1313,loss_familiarity,1,hosted
84,23,0.7308,0.7019,0.8402,10.0723,0.7308,0.6939,0.805,5.2777,0.0,-0.0079,-0.0351,-4.7946,loss_familiarity,1,hosted
88,23,0.1923,0.6568,0.7597,13.6141,0.2308,0.6797,0.7459,7.6228,0.0385,0.0229,-0.0138,-5.9913,loss_familiarity,1,hosted
98,23,0.6538,0.6364,0.8851,18.4951,0.7308,0.6443,0.8407,18.5282,0.0769,0.0079,-0.0445,0.0331,,0,hosted
99,23,0.1538,0.6849,0.8665,13.7546,0.3462,0.6819,0.7908,6.6829,0.1923,-0.003,-0.0757,-7.0717,gain_social|loss_familiarity,2,hosted
100,23,0.1923,0.6926,0.8823,4.5042,0.3077,0.7068,0.8376,12.2089,0.1154,0.0142,-0.0447,7.7048,gain_social|gain_familiarity,2,hosted
101,23,0.4231,0.6779,0.87,11.2078,0.5,0.6808,0.83,13.2672,0.0769,0.0029,-0.04,2.0594,gain_familiarity,1,hosted
0,24,0.6538,0.6745,0.833,8.798,0.6667,0.726,0.8441,10.5406,0.0128,0.0515,0.011,1.7426,,0,hosted
1,24,0.9615,0.6884,0.8608,10.3899,0.963,0.6976,0.8634,12.9016,0.0014,0.0092,0.0026,2.5117,gain_familiarity,1,hosted
27,24,1.0,0.6555,0.8567,10.9095,1.0,0.6711,0.8591,9.7388,0.0,0.0156,0.0024,-1.1706,,0,hosted
28,24,0.9231,0.6362,0.8582,9.2859,0.9259,0.6882,0.8648,7.243,0.0028,0.052,0.0066,-2.0429,loss_familiarity,1,hosted
29,24,0.9231,0.7042,0.8713,11.672,0.9259,0.6577,0.8544,10.4442,0.0028,-0.0465,-0.0169,-1.2278,,0,hosted
68,24,1.0,0.5787,0.871,10.2577,1.0,0.6741,0.8506,7.176,0.0,0.0953,-0.0204,-3.0818,loss_familiarity,1,hosted
