cid,window,prev_social,prev_stability,prev_spread,prev_familiarity,current_social,current_stability,current_spread,current_familiarity,delta_social,delta_stability,delta_spread,delta_familiarity,tags,n_tags,state
2,21,0.2941,0.6709,0.8565,21.1644,0.4286,0.6917,0.7902,11.0438,0.1345,0.0208,-0.0663,-10.1206,gain_social|loss_familiarity,2,hosted
10,21,0.3529,0.6653,0.8478,13.1177,0.619,0.6503,0.8485,8.9884,0.2661,-0.015,0.0007,-4.1294,gain_social|loss_familiarity,2,hosted
15,21,0.1765,0.6848,0.8628,9.3365,0.1429,0.6467,0.8044,3.4313,-0.0336,-0.0382,-0.0584,-5.9052,loss_familiarity,1,hosted
17,21,0.9412,0.6641,0.8786,13.9887,0.9048,0.6408,0.8611,15.72,-0.0364,-0.0233,-0.0175,1.7314,,0,hosted
25,21,0.2353,0.6295,0.8749,13.6149,0.381,0.6225,0.8145,15.8583,0.1457,-0.0069,-0.0604,2.2434,gain_social|gain_familiarity,2,hosted
39,21,0.5882,0.6596,0.8747,12.9298,0.8571,0.6865,0.8559,9.6394,0.2689,0.0269,-0.0189,-3.2904,gain_social|loss_familiarity,2,hosted
45,21,0.2353,0.64,0.8373,12.6953,0.4762,0.7311,0.8375,12.4628,0.2409,0.0911,0.0002,-0.2325,gain_social,1,hosted
53,21,0.9412,0.6086,0.8654,14.4852,0.9048,0.688,0.875,13.5716,-0.0364,0.0794,0.0096,-0.9137,,0,hosted
63,21,0.7647,0.6435,0.8619,18.051,0.9524,0.7229,0.8709,20.5923,0.1877,0.0794,0.009,2.5413,gain_social|gain_familiarity,2,hosted
68,21,0.4118,0.6136,0.82,11.2941,0.7619,0.6813,0.8599,11.2128,0.3501,0.0677,0.0399,-0.0813,gain_social,1,hosted
76,21,0.1765,0.6534,0.8056,18.5355,0.2857,0.6835,0.7805,9.652,0.1092,0.03,-0.0251,-8.8835,gain_social|loss_familiarity,2,hosted
79,21,0.1176,0.6489,0.8255,7.7316,0.2381,0.6838,0.8041,9.2501,0.1204,0.0349,-0.0214,1.5185,gain_social,1,hosted
90,21,0.4706,0.6773,0.8816,8.6498,0.6667,0.6402,0.8222,10.7688,0.1961,-0.0371,-0.0595,2.119,gain_social|gain_familiarity,2,hosted
94,21,0.0,0.7,0.847,0.0,0.0952,0.643,0.792,14.7365,0.0952,-0.057,-0.055,14.7365,gain_familiarity,1,hosted
96,21,0.8824,0.6672,0.894,16.3373,0.9524,0.641,0.8564,17.8981,0.07,-0.0262,-0.0376,1.5609,,0,hosted
98,21,0.1765,0.6537,0.8094,11.4674,0.2381,0.7145,0.772,13.3699,0.0616,0.0609,-0.0374,1.9025,,0,hosted
101,21,0.7059,0.6406,0.9057,12.9502,0.7619,0.6521,0.8538,17.484,0.056,0.0115,-0.0519,4.5339,gain_familiarity,1,hosted
