cid,window,prev_social,prev_stability,prev_spread,prev_familiarity,current_social,current_stability,current_spread,current_familiarity,delta_social,delta_stability,delta_spread,delta_familiarity,tags,n_tags,state
25,28,0.963,0.651,0.8657,19.2671,1.0,0.667,0.8228,13.9467,0.037,0.016,-0.0428,-5.3203,loss_familiarity,1,hosted
35,28,0.8519,0.6376,0.8423,9.0104,0.8519,0.66,0.8261,9.5171,0.0,0.0224,-0.0161,0.5067,,0,hosted
36,28,1.0,0.7117,0.8711,15.5904,0.963,0.6551,0.8365,10.1046,-0.037,-0.0566,-0.0346,-5.4857,loss_familiarity,1,hosted
40,28,0.8148,0.6555,0.8854,18.4141,0.8519,0.6412,0.8455,18.7355,0.037,-0.0143,-0.0399,0.3215,,0,hosted
67,28,0.963,0.6232,0.8259,12.6317,0.9259,0.6473,0.8457,11.9027,-0.037,0.0242,0.0197,-0.729,,0,hosted
76,28,0.963,0.6995,0.8693,11.6458,0.9259,0.6815,0.8389,10.9609,-0.037,-0.0179,-0.0304,-0.6849,,0,hosted
86,28,0.9259,0.6486,0.8672,15.8547,0.8889,0.5884,0.8065,15.3233,-0.037,-0.0601,-0.0607,-0.5314,,0,hosted
88,28,0.8148,0.6928,0.8745,23.7526,0.7778,0.7024,0.8249,14.2046,-0.037,0.0097,-0.0496,-9.5479,loss_familiarity,1,hosted
90,28,0.7407,0.6647,0.8689,20.4285,0.7778,0.655,0.8324,15.368,0.037,-0.0097,-0.0365,-5.0604,loss_familiarity,1,hosted
91,28,0.6296,0.6589,0.8712,24.967,0.7037,0.6942,0.8615,23.1741,0.0741,0.0353,-0.0098,-1.7929,,0,hosted
92,28,0.6296,0.6756,0.8379,16.1274,0.7037,0.6766,0.8368,13.5925,0.0741,0.001,-0.0011,-2.5349,loss_familiarity,1,hosted
93,28,0.5556,0.6788,0.8621,21.0839,0.6296,0.7051,0.8684,25.1939,0.0741,0.0263,0.0064,4.11,gain_familiarity,1,hosted
11,29,0.7778,0.6721,0.8511,17.9991,0.7826,0.6096,0.8706,33.4366,0.0048,-0.0624,0.0196,15.4376,gain_familiarity,1,hosted
21,29,0.7407,0.6243,0.8176,5.718,0.8261,0.6227,0.79,6.0476,0.0853,-0.0016,-0.0276,0.3296,,0,hosted
22,29,1.0,0.6812,0.8401,11.5859,1.0,0.6706,0.8471,16.8991,0.0,-0.0106,0.007,5.3132,gain_familiarity,1,hosted
25,29,1.0,0.667,0.8228,13.9467,1.0,0.6774,0.8627,17.7036,0.0,0.0104,0.0399,3.7569,gain_familiarity,1,hosted
35,29,0.8519,0.66,0.8261,9.5171,0.913,0.6294,0.8082,9.4001,0.0612,-0.0307,-0.018,-0.1171,,0,hosted
36,29,0.963,0.6551,0.8365,10.1046,0.9565,0.6667,0.8579,14.1878,-0.0064,0.0116,0.0214,4.0831,gain_familiarity,1,hosted
40,29,0.8519,0.6412,0.8455,18.7355,0.8696,0.6458,0.8262,15.771,0.0177,0.0046,-0.0193,-2.9645,loss_familiarity,1,hosted
67,29,0.9259,0.6473,0.8457,11.9027,0.9565,0.671,0.8636,14.9415,0.0306,0.0237,0.018,3.0389,gain_familiarity,1,hosted
76,29,0.9259,0.6815,0.8389,10.9609,1.0,0.6951,0.872,14.602,0.0741,0.0135,0.0331,3.641,gain_familiarity,1,hosted
86,29,0.8889,0.5884,0.8065,15.3233,0.9565,0.6187,0.8456,16.5569,0.0676,0.0302,0.0391,1.2335,,0,hosted
88,29,0.7778,0.7024,0.8249,14.2046,0.913,0.6378,0.8788,18.6449,0.1353,-0.0646,0.0539,4.4403,gain_social|gain_familiarity,2,hosted
90,29,0.7778,0.655,0.8324,15.368,1.0,0.6157,0.8709,16.8032,0.2222,-0.0393,0.0385,1.4352,gain_social,1,hosted
91,29,0.7037,0.6942,0.8615,23.1741,0.8696,0.6693,0.8456,18.4601,0.1659,-0.0249,-0.0158,-4.714,gain_social|loss_familiarity,2,hosted
92,29,0.7037,0.6766,0.8368,13.5925,0.7826,0.6955,0.8231,7.0885,0.0789,0.019,-0.0137,-6.504,loss_familiarity,1,hosted
94,29,0.2222,0.6911,0.8876,9.8166,0.3913,0.6777,0.7987,6.6255,0.1691,-0.0133,-0.0889,-3.1911,gain_social|loss_familiarity,2,hosted
95,29,0.4815,0.6302,0.8879,17.0947,0.7826,0.7001,0.8637,17.0736,0.3011,0.0699,-0.0242,-0.021,gain_social,1,hosted
11,30,0.7826,0.6096,0.8706,33.4366,0.8261,0.6759,0.8032,30.4594,0.0435,0.0662,-0.0674,-2.9772,loss_familiarity,1,hosted
21,30,0.8261,0.6227,0.79,6.0476,0.8261,0.6714,0.8272,5.1538,0.0,0.0487,0.0372,-0.8938,,0,hosted
22,30,1.0,0.6706,0.8471,16.8991,1.0,0.6763,0.8442,19.5216,0.0,0.0056,-0.0029,2.6226,gain_familiarity,1,hosted
25,30,1.0,0.6774,0.8627,17.7036,0.913,0.6603,0.83,16.4866,-0.087,-0.0172,-0.0327,-1.217,,0,hosted
35,30,0.913,0.6294,0.8082,9.4001,0.913,0.6446,0.8238,8.1599,0.0,0.0153,0.0156,-1.2402,,0,hosted
36,30,0.9565,0.6667,0.8579,14.1878,1.0,0.6794,0.8819,17.3537,0.0435,0.0127,0.0239,3.1659,gain_familiarity,1,hosted
40,30,0.8696,0.6458,0.8262,15.771,0.9565,0.6743,0.8547,17.9885,0.087,0.0285,0.0285,2.2175,gain_familiarity,1,hosted
67,30,0.9565,0.671,0.8636,14.9415,0.9565,0.665,0.8486,17.5892,0.0,-0.006,-0.015,2.6477,gain_familiarity,1,hosted
76,30,1.0,0.6951,0.872,14.602,1.0,0.6447,0.8665,21.4561,0.0,-0.0503,-0.0055,6.8542,gain_familiarity,1,hosted
86,30,0.9565,0.6187,0.8456,16.5569,0.9565,0.7053,0.8572,23.1679,0.0,0.0867,0.0116,6.611,gain_familiarity,1,hosted
88,30,0.913,0.6378,0.8788,18.6449,0.9565,0.6558,0.8313,20.1124,0.0435,0.018,-0.0476,1.4675,,0,hosted
90,30,1.0,0.6157,0.8709,16.8032,1.0,0.6375,0.8509,19.135,0.0,0.0218,-0.02,2.3318,gain_familiarity,1,hosted
91,30,0.8696,0.6693,0.8456,18.4601,0.913,0.6171,0.8133,15.8834,0.0435,-0.0522,-0.0324,-2.5767,loss_familiarity,1,hosted
94,30,0.3913,0.6777,0.7987,6.6255,0.3913,0.6686,0.8088,2.4349,0.0,-0.0092,0.0101,-4.1905,loss_familiarity,1,hosted
95,30,0.7826,0.7001,0.8637,17.0736,0.8696,0.6971,0.8746,16.5073,0.087,-0.003,0.0109,-0.5663,,0,hosted
11,31,0.8261,0.6759,0.8032,30.4594,0.8696,0.6876,0.8525,30.7503,0.0435,0.0117,0.0493,0.2909,,0,hosted
