seed,window,A_islands,A_nodes_in_isl,A_c_nodes,B_islands,B_nodes_in_isl,B_c_nodes,boundary_links,boundary_weight,concept_entropy,r0_entropy,r1_entropy,r2_entropy,r3_entropy,total_c_nodes,r0_concept,r1_concept,r2_concept,r3_concept,global_k,div_flag,merge_count,split_count
17,1,0,0,885,1,2,865,706,20.9475,1.5848,0.9499,0.9044,0.9133,0.9188,2644,A,B,A,B,0,0,0,0
17,2,0,0,253,0,0,246,703,20.0933,1.5848,0.8876,0.9256,0.9396,0.8994,744,A,B,A,B,1,1,0,0
17,3,0,0,31,0,0,55,650,18.7361,1.5417,0.9852,0.8691,0.9321,0.7121,123,A,B,A,B,3,1,0,0
17,4,0,0,18,0,0,21,648,18.6384,1.5486,0.896,0.6194,0.8813,0.65,51,A,B,A,B,3,1,0,0
17,5,0,0,10,0,0,11,679,20.6341,1.5835,0.9183,0.9852,0.9183,0.8813,32,A,B,A,B,3,1,0,0
17,6,0,0,9,0,0,9,722,20.1399,1.5828,0.9852,1.0,0.0,0.65,26,A,B,A,B,4,0,0,0
17,7,0,0,9,0,0,16,686,18.5068,1.5461,0.9183,0.971,0.5917,0.7793,39,A,B,A,B,4,0,0,0
17,8,0,0,10,0,0,20,660,18.9561,1.5219,0.971,0.8905,0.971,0.9367,50,A,B,A,B,4,0,0,0
17,9,0,0,11,0,0,15,694,19.4819,1.5671,0.9457,0.65,0.9957,0.65,42,A,B,A,B,1,1,0,0
17,10,0,0,9,0,0,9,745,19.838,1.5618,1.0,0.65,1.0,0.9852,31,A,B,A,B,4,0,0,0
17,11,0,0,15,0,0,15,684,17.9847,1.5756,0.9887,0.9612,0.8113,0.9799,49,A,B,A,B,3,1,0,0
17,12,0,0,11,0,0,9,654,17.7551,1.5801,0.7642,0.7642,0.9183,0.9183,30,A,B,A,B,4,0,0,0
17,13,0,0,5,0,0,10,689,18.9202,1.4883,0.9183,0.9457,1.0,0.9183,28,A,B,A,B,4,0,0,0
17,14,0,0,13,0,0,12,665,18.9483,1.5557,0.9457,0.8631,0.0,0.7642,33,A,B,A,B,4,0,0,0
17,15,0,0,12,0,0,8,689,19.6225,1.4987,0.8113,0.8113,0.5917,0.65,25,A,B,A,B,4,0,0,0
17,16,0,0,9,0,0,13,687,18.9098,1.5618,0.971,0.5917,0.971,0.7642,31,A,B,A,B,4,0,0,0
17,17,0,0,4,0,0,12,661,19.0246,1.4591,0.0,0.8813,0.7219,0.65,24,A,B,neutral,B,4,0,0,0
17,18,0,0,7,0,0,12,677,18.3691,1.5206,0.9911,0.9457,0.9852,0.8631,34,A,B,A,B,4,0,0,0
17,19,0,0,4,0,0,8,626,16.889,1.4949,0.9852,0.7219,1.0,1.0,22,A,B,A,B,0,1,0,0
17,20,1,2,21,0,0,13,681,19.1844,1.5546,0.7871,0.8813,0.8454,0.994,49,A,B,A,B,4,0,0,0
17,21,0,0,19,0,0,13,658,20.0508,1.5343,0.65,0.9544,0.469,0.65,42,A,B,A,B,4,0,0,0
17,22,0,0,26,0,0,13,645,17.302,1.4609,0.8113,0.9183,0.5436,0.5436,49,A,B,A,B,3,1,0,0
17,23,0,0,12,0,0,12,652,18.213,1.5838,0.994,0.5436,0.0,1.0,35,A,B,A,B,4,0,0,0
17,24,0,0,13,0,0,15,695,20.7697,1.5656,0.7642,0.9183,0.5917,0.8905,38,A,B,A,B,4,0,0,0
17,25,0,0,12,0,0,11,717,18.9279,1.4972,0.0,0.8631,0.5917,0.8113,28,A,B,A,B,1,1,0,0
