seed,intrusion_rate,cycles,cycles_per_1k,cycle_type_count,cycle_type_entropy,top1_share,mean_island_strong,mean_island_mid,coexistence_strong,coexistence_mid,island_births_1k,island_deaths_1k,turnover_strong,turnover_mid,boundary_crossing_strong_1k,boundary_crossing_all_1k,rigidity_index,intrusion_attempts,intrusion_success,intrusion_fail_intra,intrusion_fail_outside,mean_boundary_nodes,swap_events,spr,X,min_links,runaway,elapsed
7,0.002,248,49.6,2,0.9629,0.6129,2.0,3.96,0.64,0.8,9.8,9.0,0.8182,0.7843,0.0,58.0,0.55,60,60,0,0,1294.0,60,0.1266,0.5029,176,False,28.4
789,0.002,347,69.4,2,0.9563,0.6225,2.56,4.24,0.84,0.96,12.8,12.4,0,0.798,0.0,76.8,1.0,65,65,0,0,1340.5,65,0.1314,0.4716,169,False,29.2
999,0.002,229,45.8,2,0.9335,0.6507,2.04,3.44,0.64,0.84,10.2,9.4,0,0.7222,0.0,48.8,1.0,49,49,0,0,1273.8,49,0.1165,0.4926,171,False,29.0
123,0.005,225,45.0,2,0.9389,0.6444,1.84,3.64,0.6,0.84,9.2,8.6,0,0,0.0,53.4,1.0,158,158,0,0,1308.3,158,0.1197,0.4836,176,False,26.7
1337,0.005,268,53.6,2,0.9502,0.6306,1.72,3.8,0.6,0.84,8.6,8.2,0,0,0.0,50.4,1.0,142,142,0,0,1258.5,142,0.1231,0.4863,172,False,26.9
2024,0.005,247,49.4,2,0.9737,0.5951,1.92,3.64,0.68,0.92,9.6,9.2,0,0,0.0,57.4,1.0,176,176,0,0,1331.7,176,0.1219,0.4776,179,False,26.7
314,0.005,213,42.6,2,0.9477,0.6338,2.28,4.16,0.76,1.0,11.2,10.8,0.6,0.746,0.0,64.8,0.625,182,182,0,0,1408.9,182,0.1334,0.4726,177,False,27.0
42,0.005,275,55.0,2,0.9593,0.6182,2.04,3.88,0.64,0.88,10.2,9.8,0,0.7222,0.0,52.0,1.0,182,182,0,0,1281.4,182,0.1135,0.4731,174,False,27.2
456,0.005,246,49.2,2,0.9768,0.5894,1.84,3.64,0.52,0.88,9.2,9.0,0,0,0.0,57.0,1.0,159,159,0,0,1331.3,159,0.1169,0.4757,171,False,26.9
55,0.005,305,61.0,2,0.9583,0.6197,1.64,3.8,0.52,0.96,8.2,7.6,0,0,0.0,51.0,1.0,170,170,0,0,1351.9,170,0.1257,0.4804,174,False,26.9
7,0.005,257,51.4,2,0.9442,0.6381,2.16,3.76,0.52,0.84,10.8,10.2,0,0,0.0,57.8,1.0,154,154,0,0,1271.4,154,0.1027,0.466,171,False,27.2
789,0.005,300,60.0,2,0.9626,0.6133,1.88,4.08,0.56,0.8,9.4,8.6,0,0,0.0,51.6,1.0,170,170,0,0,1427.7,170,0.1298,0.4715,179,False,27.5
999,0.005,246,49.2,2,0.9408,0.6423,1.6,4.0,0.4,0.92,8.0,7.6,0,0.75,0.0,49.8,1.0,176,176,0,0,1312.9,176,0.1185,0.467,149,False,26.9
