seed,window,rate,n_C,r_000,r_001,r_010,r_011,r_100,r_101,r_110,r_111,bd_0,bd_1,sz_0,sz_1,f_0,f_1,intr_0,intr_1,intr_2p,cp_full_types,cp_full_entropy
7,1,0.002,112,106,5,0,1,0,0,0,0,111,1,112,0,63,49,109,1,2,8,1.4595
7,2,0.002,71,66,5,0,0,0,0,0,0,71,0,71,0,35,36,66,4,1,8,1.7258
7,3,0.002,24,16,5,0,0,0,0,0,3,22,2,24,0,11,13,21,1,2,8,2.614
7,4,0.002,12,11,1,0,0,0,0,0,0,12,0,12,0,7,5,12,0,0,3,1.325
7,5,0.002,7,5,2,0,0,0,0,0,0,7,0,7,0,1,6,7,0,0,3,1.1488
7,6,0.002,11,8,3,0,0,0,0,0,0,11,0,11,0,5,6,10,0,1,5,2.0049
7,7,0.002,15,8,3,0,2,0,0,0,2,12,3,15,0,6,9,11,2,2,10,3.1899
7,8,0.002,14,13,0,0,1,0,0,0,0,13,1,14,0,7,7,12,1,1,4,1.5917
7,9,0.002,12,10,0,0,2,0,0,0,0,10,2,12,0,7,5,11,1,0,5,1.9508
7,10,0.002,16,13,2,0,1,0,0,0,0,15,1,16,0,8,8,15,0,1,4,1.6494
7,11,0.002,19,10,3,0,1,0,0,0,5,16,3,19,0,10,9,16,1,2,11,3.1106
7,12,0.002,24,16,2,0,4,0,0,0,2,21,3,24,0,13,11,24,0,0,9,2.5016
7,13,0.002,11,6,0,0,1,0,0,0,4,6,5,8,3,4,7,10,0,1,6,2.4131
7,14,0.002,29,20,2,0,2,0,0,0,5,22,7,24,5,14,15,28,1,0,8,2.4163
7,15,0.002,15,12,0,0,2,0,0,0,1,13,2,13,2,7,8,15,0,0,5,1.8228
7,16,0.002,15,14,1,0,0,0,0,0,0,15,0,15,0,9,6,15,0,0,3,1.231
7,17,0.002,21,15,6,0,0,0,0,0,0,21,0,21,0,9,12,21,0,0,4,1.8424
7,18,0.002,18,12,0,0,2,0,0,0,4,15,3,14,4,11,7,18,0,0,6,2.211
7,19,0.002,21,18,0,0,1,0,0,0,2,20,1,20,1,12,9,16,2,3,9,2.6227
7,20,0.002,15,15,0,0,0,0,0,0,0,15,0,15,0,6,9,15,0,0,2,0.971
7,21,0.002,10,9,1,0,0,0,0,0,0,10,0,10,0,3,7,10,0,0,3,1.2955
7,22,0.002,5,5,0,0,0,0,0,0,0,5,0,5,0,3,2,4,1,0,3,1.5219
7,23,0.002,5,4,0,0,0,0,0,0,1,4,1,4,1,0,5,5,0,0,2,0.7219
7,24,0.002,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,-0.0
7,25,0.002,11,10,0,0,0,0,0,0,1,10,1,11,0,4,7,11,0,0,3,1.3222
