seed,window,rate,n_C,r_000,r_001,r_010,r_011,r_100,r_101,r_110,r_111,bd_0,bd_1,sz_0,sz_1,f_0,f_1,intr_0,intr_1,intr_2p,cp_full_types,cp_full_entropy
999,1,0.002,106,96,7,0,0,0,0,0,3,103,3,106,0,57,49,104,2,0,7,1.5542
999,2,0.002,68,54,3,0,4,0,0,0,7,61,7,68,0,35,33,66,1,1,11,2.2131
999,3,0.002,23,18,0,0,1,0,0,0,4,20,3,20,3,12,11,23,0,0,7,2.0428
999,4,0.002,19,17,1,0,0,0,0,0,1,18,1,19,0,9,10,19,0,0,4,1.4832
999,5,0.002,11,9,2,0,0,0,0,0,0,11,0,11,0,4,7,10,0,1,5,1.9717
999,6,0.002,18,15,1,0,2,0,0,0,0,17,1,18,0,9,9,17,1,0,6,1.9749
999,7,0.002,14,14,0,0,0,0,0,0,0,14,0,14,0,7,7,14,0,0,2,1.0
999,8,0.002,8,7,1,0,0,0,0,0,0,8,0,8,0,4,4,8,0,0,3,1.4056
999,9,0.002,19,12,4,0,3,0,0,0,0,16,3,19,0,9,10,16,2,1,9,2.7153
999,10,0.002,19,17,2,0,0,0,0,0,0,19,0,19,0,8,11,19,0,0,3,1.378
999,11,0.002,15,9,2,0,1,0,0,0,3,14,1,15,0,4,11,14,0,1,7,2.4226
999,12,0.002,13,11,2,0,0,0,0,0,0,13,0,13,0,4,9,12,0,1,4,1.6692
999,13,0.002,12,8,0,0,1,0,0,0,3,10,2,12,0,6,6,11,1,0,6,2.3554
999,14,0.002,16,12,1,0,0,0,0,0,3,14,2,16,0,4,12,13,2,1,8,2.6085
999,15,0.002,18,15,0,0,0,0,0,0,3,16,2,18,0,3,15,18,0,0,4,1.4047
999,16,0.002,19,16,1,0,1,0,0,0,1,17,2,18,1,8,11,19,0,0,5,1.6832
999,17,0.002,18,16,0,0,2,0,0,0,0,17,1,18,0,9,9,16,2,0,5,1.8638
999,18,0.002,12,8,2,0,1,0,0,0,1,10,2,12,0,6,6,12,0,0,6,2.2516
999,19,0.002,12,11,0,0,1,0,0,0,0,11,1,12,0,6,6,12,0,0,3,1.325
999,20,0.002,7,5,2,0,0,0,0,0,0,7,0,7,0,5,2,6,1,0,5,2.1281
999,21,0.002,9,9,0,0,0,0,0,0,0,9,0,9,0,8,1,9,0,0,2,0.5033
999,22,0.002,9,8,0,0,1,0,0,0,0,8,1,9,0,5,4,8,1,0,4,1.7527
999,23,0.002,15,15,0,0,0,0,0,0,0,15,0,15,0,11,4,15,0,0,2,0.8366
999,24,0.002,7,7,0,0,0,0,0,0,0,7,0,7,0,0,7,7,0,0,1,-0.0
999,25,0.002,10,7,3,0,0,0,0,0,0,10,0,10,0,4,6,9,1,0,5,2.0464
