seed,win,tri,ent,gk,div,nC,A_erosion_d,A_core_pres,A_core_k_var,A_sub_clust,A_core_size,A_core_mk,B_erosion_d,B_core_pres,B_core_k_var,B_sub_clust,B_core_size,B_core_mk,C_erosion_d,C_core_pres,C_core_k_var,C_sub_clust,C_core_size,C_core_mk
7,1,0,1.5846,0,0,2641,4,0.0,0.0,6,6,0.0,4,0.0,0,0,2,0,6,0.0,0.0,6,6,0.0
7,2,0,1.5848,1,1,982,4,0.0,0.0,6,6,0.0,4,0.0,0,0,2,0,6,0.1667,0.0,6,6,0.0
7,3,0,1.5447,0,1,180,4,0.0,0.0,6,6,0.0,4,0.0,0,0,2,0,6,0.0,0.0,6,6,0.0
7,4,0,1.5617,0,1,62,4,0.0,0.0,6,6,0.0,4,0.0,0,0,2,0,6,0.0,0.0,6,6,0.0
7,5,0,1.5622,4,0,36,3,0.0,0.0,3,3,0.0,3,0.0,0,0,2,0,5,0.0,0.0,10,10,0.0
7,6,1,1.4591,1,1,36,3,0.0,0.0,3,3,0.0,3,0.0,0,0,2,0,5,0.0,0.0,10,10,0.0
7,7,0,1.5415,3,1,45,3,0.0,0.0,3,3,0.0,3,0.0,0,0,2,0,5,0.0,0.0,10,10,0.0
7,8,0,1.4481,4,0,43,3,0.0,0.0,3,3,0.0,3,0.0,0,0,2,0,5,0.0,0.0,10,10,0.0
7,9,0,1.5661,3,1,69,3,0.3333,0.0,3,3,0.0,3,0.0,0,0,2,0,5,0.0,0.0,10,10,0.0
7,10,0,1.5656,4,0,39,3,0.0,0,0,2,0,3,0.0,0.0,10,10,0.0,3,0.0,0,0,2,0
7,11,0,1.5613,4,0,32,3,0.0,0,0,2,0,3,0.0,0.0,10,10,0.0,3,0.0,0,0,2,0
7,12,0,1.5784,3,1,45,3,0.0,0,0,2,0,3,0.0,0.0,10,10,0.0,3,0.0,0,0,2,0
7,13,1,1.5796,4,0,43,3,0.0,0,0,2,0,3,0.0,0.0,10,10,0.0,3,0.0,0,0,2,0
7,14,0,1.5839,4,0,37,3,0.0,0,0,2,0,3,0.0,0.0,10,10,0.0,3,0.0,0,0,2,0
7,15,0,1.5534,3,1,37,2,1.0,0,0,0,0,3,0.0,0.0,4,4,0.0,3,0.2,0.0,5,5,0.0
7,16,0,1.5787,4,0,40,2,1.0,0,0,0,0,3,0.0,0.0,4,4,0.0,3,0.0,0.0,5,5,0.0
7,17,0,1.5669,1,1,44,2,1.0,0,0,0,0,3,0.0,0.0,4,4,0.0,3,0.0,0.0,5,5,0.0
7,18,0,1.5774,4,0,48,2,1.0,0,0,0,0,3,0.0,0.0,4,4,0.0,3,0.0,0.0,5,5,0.0
7,19,0,1.5695,4,0,45,2,1.0,0,0,0,0,3,0.0,0.0,4,4,0.0,3,0.0,0.0,5,5,0.0
7,20,0,1.5831,4,0,48,3,0.0,0.0,4,4,0.0,3,0.0,0.0,3,3,0.0,2,1.0,0,0,0,0
7,21,2,1.5784,4,0,45,3,0.0,0.0,4,4,0.0,3,0.0,0.0,3,3,0.0,3,0.0,0,0,2,0
7,22,0,1.5656,4,0,45,3,0.0,0.0,4,4,0.0,4,0.0,0.0,7,7,0.0,3,0.0,0.0,6,6,0.0
7,23,0,1.5223,4,0,40,3,0.0,0.0,3,3,0.0,3,0.0,0.0,3,3,0.0,4,0.0,0.0,6,6,0.0
7,24,0,1.5292,1,1,31,4,0.0,0.0,7,7,0.0,3,0.0,0,0,1,0,3,0.0,0,0,1,0
7,25,0,1.5828,4,0,26,3,0.0,0,0,2,0,2,1.0,0,0,0,0,4,0.0,0.0,4,4,0.0
