window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini
1,5000,6290,14,5,0,1.9983,0,34.1,0,0,6.71,1.0,6290.0,705,1.0,450,685,235,2351,0.000815,0.0051,391.015,0,0.0,0.0038,0.0009,1,0,0,0,0.031928,0.015625,64,0.5106,0.0319,0.2264
2,5000,3777,2,4,0,1.9983,0,36.2,542,3236,5.31,0.8226,4642.7,541,1.0,357,13,106,2375,0.001037,0.0075,184.721,1,1.0,0.0075,0.0009,0,0,0,0,0.032103,0.015625,64,0.5133,0.0611,0.2161
3,5000,3444,2,4,0,1.9982,0,45.5,272,3176,4.94,0.8555,4056.3,268,1.0,291,4,70,2097,0.001335,0.011,253.8023,2,1.9,0.011,0.0015,0,0,0,0,0.034564,0.015625,64,0.5479,0.0956,0.2119
4,5000,3112,2,5,0,1.9982,0,68.4,75,3072,4.53,0.854,3696.6,40,1.0,193,2,100,1763,0.00171,0.0238,63.7959,3,2.9,0.0105,0.0027,1,0,0,0,0.041958,0.015625,63,0.6276,0.1376,0.2273
5,5000,3022,1,4,0,1.9981,0,81.7,0,3022,4.4,0.8705,3471.7,0,1.0,133,1,61,1457,0.002245,0.021,0.0,4,3.8,0.0168,0.0029,0,0,0,0,0.037736,0.015625,58,0.5859,0.1753,0.235
6,5000,3146,2,5,0,1.9982,0,94.8,9,3137,4.53,0.9311,3378.7,9,1.0,97,2,38,1088,0.003409,0.0389,25.2101,5,4.7,0.0285,0.0059,1,0,0,0,0.07513,0.015625,52,0.792,0.2504,0.2527
7,5000,3080,0,0,1,1.9951,2,105.0,0,3080,4.44,0.9322,3304.0,0,1.0,63,0,34,887,0.004208,0.038,0.0,6,5.6,0.0285,0.0069,0,1,0,0,0.091255,0.015625,43,0.8288,0.3417,0.2832
8,5000,3113,0,0,0,1.9936,1,119.3,0,3113,4.51,0.9545,3261.6,0,1.0,54,0,9,639,0.005972,0.0357,0.0,7,6.5,0.0255,0.0062,0,0,0,0,0.071429,0.015625,36,0.7812,0.4131,0.3126
9,5000,2991,1,5,0,1.9953,1,131.6,8,2983,4.37,0.9325,3207.4,8,1.0,43,4,15,557,0.007088,0.0588,55.9441,8,6.8,0.0327,0.0102,1,0,0,0,0.078431,0.015625,29,0.8008,0.4719,0.341
10,5000,3152,1,5,0,1.9919,1,134.1,3,3144,4.53,0.9858,3197.4,8,1.0,34,1,10,468,0.0089,0.0576,61.0687,9,7.3,0.045,0.0121,1,0,0,0,0.136691,0.015625,26,0.8857,0.6086,0.3719
11,5000,3046,0,0,1,1.9904,2,130.5,3,3043,4.47,0.9602,3172.1,3,1.0,29,0,5,419,0.010708,0.0696,27.7778,10,8.0,0.0413,0.0135,0,0,0,0,0.113043,0.015625,23,0.8618,0.7217,0.3985
12,5000,3060,2,5,0,1.9919,1,134.9,6,3049,4.49,0.9699,3154.9,11,1.0,26,2,5,397,0.011516,0.113,100.0,11,8.0,0.0678,0.021,1,0,0,0,0.173913,0.015625,22,0.9102,0.8086,0.4197
13,5000,3149,0,0,3,1.9867,1,144.0,7,3137,4.48,0.9984,3154.0,12,1.0,20,2,8,389,0.011986,0.084,87.7193,12,8.4,0.055,0.0202,0,0,0,0,0.137405,0.015625,22,0.8863,0.9384,0.4408
14,5000,2963,1,5,3,1.9902,1,159.8,8,2950,4.45,0.9471,3128.6,13,1.0,16,2,6,363,0.013387,0.113,113.2075,13,8.4,0.0768,0.0232,1,0,0,0,0.173913,0.015625,18,0.9102,1.0862,0.4576
15,5000,3196,1,5,3,1.9919,1,166.7,3182,0,4.48,1.0191,3137.1,15,1.0,14,3,5,341,0.015386,0.1346,154.6392,14,7.2,0.0769,0.0245,1,0,0,0,0.192308,0.015625,15,0.9187,1.1824,0.4765
16,5000,3129,0,0,3,1.9853,2,168.7,5,3124,4.48,0.9977,3136.2,5,1.0,12,2,4,278,0.018488,0.1429,56.338,15,6.2,0.0946,0.0283,0,0,0,0,0.181818,0.015625,14,0.9141,1.2733,0.493
17,5000,2950,0,0,3,1.99,1,170.8,3,2948,4.43,0.9472,3115.6,2,1.0,9,0,3,231,0.023175,0.1406,32.7869,14,7.2,0.1068,0.0218,0,1,0,0,0.140625,0.015625,11,0.8889,1.3358,0.5086
18,5000,3058,2,5,3,1.9749,1,179.8,5,3049,4.43,0.9834,3109.5,9,1.0,12,4,1,238,0.021287,0.137,125.0,15,6.2,0.09,0.0259,1,0,0,0,0.136986,0.015625,12,0.8859,1.4317,0.517
19,5000,3007,0,0,3,1.9149,1,181.1,8,2999,4.35,0.9702,3099.3,8,1.0,12,3,3,253,0.019103,0.1316,112.6761,16,6.8,0.0877,0.0309,0,1,0,0,0.131579,0.015625,14,0.8812,1.5501,0.5232
20,5000,3124,1,5,3,1.8194,1,187.3,3111,0,4.5,1.0072,3101.6,13,1.0,11,1,2,250,0.019683,0.1522,149.4253,17,7.4,0.1009,0.0329,1,0,0,0,0.152174,0.015625,13,0.8973,1.6262,0.5267
21,5000,3094,0,0,3,1.839,1,176.1,0,3089,4.5,0.9978,3100.9,5,1.0,9,0,2,203,0.026583,0.1846,80.6452,18,8.6,0.1308,0.0435,0,1,0,0,0.184615,0.015625,10,0.9154,1.78,0.5344
22,5000,3049,0,0,3,1.962,1,173.0,0,3039,4.47,0.9848,3096.0,10,1.0,11,5,3,217,0.023573,0.1475,175.4386,19,7.5,0.1066,0.0308,0,0,0,0,0.147541,0.015625,11,0.8941,1.862,0.5362
23,5000,2995,2,4,3,1.9822,1,176.6,8,2982,4.45,0.9704,3086.3,13,1.0,10,2,3,222,0.023163,0.1493,213.1148,20,8.3,0.0896,0.0241,0,1,0,0,0.149254,0.015625,11,0.8953,1.9516,0.5391
24,5000,3148,1,5,3,1.9904,1,178.0,3137,0,4.5,1.018,3092.2,11,1.0,11,3,2,228,0.023586,0.2118,137.5,21,8.3,0.1,0.0502,1,0,0,0,0.211765,0.015625,12,0.9262,2.0574,0.5418
25,5000,3080,1,4,3,1.9926,2,181.1,7,3073,4.51,0.9964,3091.1,7,1.0,10,1,2,222,0.022482,0.1667,114.7541,21,7.7,0.1136,0.0312,0,0,0,0,0.166667,0.015625,11,0.9062,2.2241,0.5506
