window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini
48,4961,3101,0,0,3,1.8628,2,212.2,3094,0,4.52,1.0101,3070.1,7,1.0,9,2,2,226,0.024732,0.2073,63.2911,40,10.2,0.1128,0.0466,0,0,0,0,0.207317,0.015625,11,0.9246,3.6794,0.5466
49,4961,3019,0,0,3,1.8512,1,172.4,0,3019,4.51,0.9849,3065.2,0,1.0,9,0,0,208,0.027844,0.2167,0.0,41,11.2,0.1167,0.0458,0,0,0,0,0.216667,0.015625,9,0.9279,3.8294,0.5494
50,4959,3111,4,5,3,1.8727,1,193.2,3092,0,4.49,1.0135,3069.6,19,1.0,13,7,3,251,0.018111,0.1373,204.3011,85,11.1,0.0794,0.033,3,0,2,0,0.137255,0.015625,15,0.8862,3.8686,0.5444
51,4956,3104,3,5,3,1.9173,1,170.8,3087,0,4.53,1.0101,3072.8,17,1.0,14,5,4,330,0.014724,0.1161,145.6311,86,10.4,0.0685,0.0265,3,1,2,0,0.205357,0.015625,16,0.9239,3.9132,0.5411
52,4955,3007,0,0,3,1.9332,2,159.7,5,3002,4.48,0.9806,3066.6,5,1.0,11,0,3,273,0.019751,0.1546,55.5556,87,11.6,0.0876,0.0282,0,1,1,0,0.319588,0.015625,12,0.9511,3.9648,0.5397
53,4953,3040,2,5,3,1.8977,1,163.5,10,3025,4.52,0.9922,3064.0,15,1.0,13,5,3,280,0.018245,0.1111,161.2903,88,10.5,0.0771,0.022,1,0,1,0,0.363636,0.015625,12,0.957,4.0456,0.5378
54,4952,3118,3,5,1,1.919,1,161.8,3104,0,4.56,1.0159,3069.2,14,1.0,14,4,3,326,0.013897,0.1333,123.8938,13,4.2,0.0705,0.0247,1,0,0,0,0.325,0.015625,13,0.9519,4.1039,0.5357
55,4951,3150,0,0,3,1.9225,2,164.5,3150,0,4.54,1.0238,3076.9,0,1.0,12,0,2,301,0.01951,0.1222,0.0,14,5.8,0.0811,0.0198,0,1,0,0,0.333333,0.015625,9,0.9531,4.1595,0.5344
56,4949,3072,1,5,3,1.9331,1,160.7,0,3067,4.45,0.9986,3076.4,5,1.0,11,1,2,298,0.018559,0.1884,76.9231,15,5.6,0.0902,0.0476,1,2,0,0,0.188406,0.015625,10,0.9171,4.2464,0.5318
57,4948,3109,2,5,3,1.9562,1,161.8,3094,0,4.49,1.0096,3079.5,15,1.0,15,5,1,297,0.01627,0.1636,140.1869,16,4.9,0.0782,0.0318,1,0,0,0,0.163636,0.015625,12,0.9045,4.2919,0.5271
58,4947,3073,0,0,1,1.9732,2,162.5,11,3057,4.53,0.9981,3078.9,16,1.0,15,1,1,307,0.017419,0.1209,172.4138,17,5.9,0.0725,0.0223,0,0,0,0,0.142857,0.015625,13,0.8906,4.3249,0.5233
59,4946,3008,1,3,3,1.9133,1,171.6,14,2994,4.41,0.9791,3072.1,14,1.0,16,3,2,314,0.014618,0.1262,145.8333,18,6.0,0.0709,0.0239,0,0,0,0,0.126214,0.015625,14,0.8762,4.4122,0.5191
60,4943,3069,0,0,3,1.906,1,165.7,4,3065,4.47,0.9991,3071.8,4,1.0,14,0,2,294,0.01873,0.1184,55.5556,19,7.7,0.0711,0.0251,0,0,0,0,0.223684,0.015625,12,0.9301,4.478,0.5165
61,4943,2958,1,4,3,1.9313,1,164.4,8,2950,4.41,0.9663,3061.0,8,1.0,14,1,1,303,0.01616,0.1341,101.2658,20,8.0,0.0759,0.0296,0,1,0,0,0.170732,0.015625,12,0.9085,4.5634,0.5131
62,4942,3042,1,4,3,1.9698,1,172.8,8,3034,4.41,0.9944,3059.2,8,1.0,13,1,2,297,0.017242,0.117,91.954,21,8.4,0.0758,0.0246,0,1,0,0,0.12766,0.015625,12,0.8776,4.606,0.5116
63,4941,3021,1,5,1,1.9652,2,164.8,8,3013,4.47,0.9887,3055.6,8,1.0,14,5,4,320,0.01516,0.1341,90.9091,22,8.1,0.0772,0.0301,1,0,0,0,0.195122,0.015625,14,0.9199,4.6669,0.5108
64,4938,3084,1,5,1,1.9742,2,171.2,3079,0,4.51,1.0084,3058.3,5,1.0,13,1,2,300,0.017763,0.1538,56.8182,23,9.5,0.0791,0.0304,1,0,0,0,0.153846,0.015625,12,0.8984,4.7439,0.5101
65,4936,3038,0,0,3,1.9875,2,159.4,2,3031,4.44,0.994,3056.3,7,1.0,16,5,2,305,0.014214,0.0909,75.0,24,8.4,0.067,0.0174,0,0,0,0,0.125,0.015625,14,0.875,4.8348,0.5095
66,4933,3047,0,0,3,1.9852,1,164.7,0,3042,4.42,0.9972,3055.4,5,1.0,14,0,2,288,0.016828,0.1277,54.9451,25,10.6,0.0819,0.0256,0,0,0,0,0.12766,0.015625,13,0.8776,4.8986,0.5089
67,4932,3016,0,0,3,1.9713,1,166.8,0,3012,4.47,0.9883,3051.7,4,1.0,13,0,1,288,0.018166,0.1111,51.2821,26,12.4,0.0716,0.0236,0,0,0,0,0.185185,0.015625,13,0.9156,4.9603,0.5095
68,4931,3041,1,5,3,1.9797,1,171.4,0,3036,4.46,0.9968,3050.7,5,1.0,14,1,0,303,0.016969,0.1139,63.2911,27,12.4,0.0759,0.0195,1,0,0,0,0.177215,0.015625,13,0.9118,5.0363,0.5099
69,4930,3028,1,4,3,1.9338,1,164.8,5,3023,4.43,0.9933,3048.5,5,1.0,14,3,3,307,0.017521,0.1413,56.8182,28,12.1,0.0741,0.029,0,0,0,0,0.141304,0.015625,14,0.8894,5.0906,0.5094
