seed,window,A_islands,A_nodes_in_isl,A_c_nodes,B_islands,B_nodes_in_isl,B_c_nodes,boundary_links,boundary_weight,concept_entropy,r0_entropy,r0_concept,r1_entropy,r1_concept,r2_entropy,r2_concept,r3_entropy,r3_concept,global_k,div_flag,merge_count,split_count,n_bridges,persistent_bridges,bridge_weight,bridge_mean_life,bridge_max_life
20,1,2,3,915,0,0,861,692,19.6778,1.5845,0.9271,A,0.925,B,0.892,A,0.9399,B,0,0,0,0,3,0,1.5102,1.0,1
20,2,0,0,292,0,0,228,701,19.0805,1.5776,0.9309,A,0.9624,B,0.8622,A,0.9288,B,0,1,0,0,0,0,0,0,0
20,3,0,0,50,0,0,30,656,18.0635,1.5505,0.7838,A,0.9986,B,0.6253,A,0.971,B,1,1,0,0,0,0,0,0,0
20,4,0,0,20,0,0,15,695,19.7651,1.571,0.7496,A,0.8454,B,0.9887,A,0.7642,B,4,0,0,0,3,0,1.0858,1.0,1
20,5,0,0,6,0,0,8,699,19.0793,1.5751,0.971,A,0.7642,B,0.971,A,1.0,B,4,0,0,0,0,0,0,0,0
20,6,0,0,12,0,0,4,634,17.3483,1.41,0.5436,A,1.0,B,0.8631,A,0.8113,B,1,1,0,0,2,0,0.6277,1.0,1
20,7,0,0,13,0,0,11,705,20.0024,1.4866,0.7642,A,0.0,B,0.8113,A,0.5033,B,3,1,0,0,0,0,0,0,0
20,8,0,0,11,0,0,19,646,18.6543,1.5086,0.8631,A,0.7219,B,0.5917,A,0.8813,B,4,0,0,0,2,0,0.6584,1.0,1
20,9,0,0,9,1,3,22,653,17.8688,1.4969,0.971,A,0.6723,B,0.9911,A,0.9852,B,1,1,0,0,2,0,0.3974,1.0,1
20,10,1,2,16,0,0,13,684,19.6606,1.5628,1.0,A,1.0,B,0.7219,A,0.9457,B,1,1,0,0,3,0,1.0268,1.0,1
20,11,1,1,15,0,0,8,658,18.1327,1.5387,0.7219,A,0.9911,B,0.8113,A,0.9183,B,1,1,0,0,1,0,0.5267,1.0,1
20,12,0,0,23,0,0,3,689,18.878,1.152,0.7642,A,1.0,B,0.469,A,0.9183,B,1,1,0,0,0,0,0,0,0
20,13,0,0,10,0,0,13,665,18.7899,1.5766,0.7642,A,0.8113,B,0.9544,A,0.8631,B,3,1,0,0,3,0,1.3049,1.0,1
20,14,0,0,13,0,0,17,697,18.4393,1.5759,0.971,A,0.5436,B,0.9799,A,0.9544,B,3,1,0,0,0,0,0,0,0
20,15,0,0,9,0,0,8,643,17.4271,1.5828,0.8631,A,0.971,B,0.9183,A,0.8113,B,3,1,0,0,0,0,0,0,0
20,16,0,0,4,0,0,5,676,20.0227,1.5774,0.0,A,0.9183,B,1.0,A,0.7219,B,4,1,0,0,5,0,2.2838,1.0,1
20,17,0,0,10,0,0,8,686,18.7527,1.5774,0.9852,A,1.0,B,0.0,A,0.9852,B,4,1,0,0,0,0,0,0,0
20,18,1,2,13,0,0,9,667,21.275,1.5682,0.8631,A,0.8813,B,0.971,A,0.971,B,4,1,0,0,5,0,2.4322,1.0,1
20,19,0,0,11,0,0,9,673,18.3754,1.5525,0.9183,A,0.9799,B,0.9544,A,0.9183,B,4,0,0,0,1,0,0.3282,1.0,1
20,20,0,0,11,0,0,12,698,20.795,1.5205,0.9183,A,0.971,B,0.9799,A,0.9544,B,4,0,0,0,3,0,1.2507,1.0,1
20,21,0,0,9,0,0,7,650,18.2544,1.5241,0.8813,A,0.9852,B,0.971,A,1.0,B,4,0,0,0,2,0,0.7962,1.0,1
20,22,0,0,14,0,0,7,672,18.7077,1.5269,0.7219,A,1.0,B,0.971,A,1.0,B,4,0,0,0,2,0,0.4608,1.0,1
20,23,0,0,12,0,0,7,687,18.2299,1.5514,0.65,A,1.0,B,0.9457,A,0.9183,B,4,0,0,0,0,0,0,0,0
20,24,0,0,6,0,0,11,687,19.2291,1.4607,0.971,A,0.0,B,0.0,A,0.8113,B,4,0,0,0,0,0,0,0,0
20,25,0,0,8,0,0,6,674,18.8806,1.5726,1.0,A,0.0,B,0.971,A,0.8113,B,4,0,0,0,3,0,0.8675,1.0,1
