seed,window,A_islands,A_nodes_in_isl,A_c_nodes,B_islands,B_nodes_in_isl,B_c_nodes,boundary_links,boundary_weight,concept_entropy,r0_entropy,r0_concept,r1_entropy,r1_concept,r2_entropy,r2_concept,r3_entropy,r3_concept,global_k,div_flag,merge_count,split_count,n_bridges,persistent_bridges,bridge_weight,bridge_mean_life,bridge_max_life
8,1,0,0,913,1,2,893,664,19.4623,1.5846,0.9138,A,0.882,B,0.9072,A,0.9278,B,0,0,0,0,2,0,0.9232,1.0,1
8,2,0,0,218,0,0,192,691,19.4117,1.5824,0.9364,A,0.9324,B,0.9301,A,0.9301,B,0,1,0,0,1,0,0.288,1.0,1
8,3,0,0,25,0,0,32,657,17.5414,1.556,0.9986,A,0.9341,B,0.9988,A,0.9481,B,1,1,0,0,0,0,0,0,0
8,4,0,0,4,0,0,13,691,18.5254,1.3182,0.8631,neutral,0.9957,B,0.684,neutral,0.9183,B,4,0,0,0,2,0,0.5201,1.0,1
8,5,0,0,12,0,0,14,700,19.7604,1.5702,0.971,A,0.874,B,0.8113,A,0.8113,neutral,4,0,0,0,1,0,0.6967,1.0,1
8,6,0,0,16,0,0,5,639,17.1613,1.4496,0.4395,A,0.994,B,0.8113,A,0.0,neutral,4,0,0,0,0,0,0,0,0
8,7,0,0,13,0,0,10,632,17.9419,1.5566,0.4395,A,0.5436,B,0.971,A,0.9852,B,4,0,0,0,0,0,0,0,0
8,8,0,0,11,0,0,12,726,20.5392,1.5749,0.7219,A,0.7642,B,0.9852,A,0.65,B,4,0,0,0,2,0,1.1177,1.0,1
8,9,0,0,13,0,0,9,640,17.5351,1.5524,0.5033,A,0.971,B,0.9544,A,0.8113,B,3,1,0,0,1,0,0.342,1.0,1
8,10,0,0,13,0,0,12,690,19.945,1.5682,0.9911,A,0.9911,B,0.9968,A,0.7642,B,3,1,0,0,2,0,0.4472,1.0,1
8,11,0,0,8,0,0,12,674,17.3102,1.5262,0.9544,A,0.0,B,0.971,A,0.5033,B,4,0,0,0,0,0,0,0,0
8,12,0,0,8,0,0,10,663,18.0352,1.5546,0.9544,A,0.65,B,0.8113,A,0.65,B,4,0,0,0,0,0,0,0,0
8,13,0,0,14,0,0,8,703,19.1711,1.4926,0.7642,A,0.0,B,0.9457,A,0.0,B,4,0,0,0,3,0,0.828,1.0,1
8,14,0,0,16,0,0,14,687,18.9733,1.5589,0.7642,A,0.5917,B,0.971,A,0.5033,B,4,0,0,0,2,0,0.4269,1.0,1
8,15,0,0,11,0,0,14,646,17.2227,1.5614,0.8631,A,0.5917,B,0.9183,A,0.8454,B,4,0,0,0,0,0,0,0,0
8,16,0,0,9,0,0,10,708,19.4254,1.579,1.0,A,0.0,B,0.65,A,0.9544,B,3,1,0,0,1,0,0.1825,1.0,1
8,17,0,0,14,1,2,15,660,17.655,1.5842,0.65,A,1.0,B,0.9852,A,0.9183,B,4,0,0,0,1,0,0.6068,1.0,1
8,18,0,0,11,0,0,8,653,17.6897,1.5727,0.994,A,1.0,B,0.8631,A,0.0,B,4,0,0,0,0,0,0,0,0
8,19,0,0,7,0,0,10,605,17.0236,1.5285,0.0,A,0.8813,B,0.7219,A,0.8113,B,4,0,0,0,0,0,0,0,0
8,20,0,0,18,0,0,11,684,18.0342,1.5205,0.7219,A,0.7642,B,0.8113,A,0.9183,B,0,1,0,0,1,0,0.1502,1.0,1
8,21,0,0,5,0,0,10,649,17.4301,1.5219,0.9183,A,0.8113,B,1.0,A,0.0,B,4,0,0,0,0,0,0,0,0
8,22,0,0,4,0,0,15,680,19.3635,1.3992,0.971,A,0.6194,B,0.9183,A,0.9183,B,4,0,0,0,1,0,0.4723,1.0,1
8,23,0,0,8,0,0,6,671,18.9607,1.5726,0.9544,A,0.9183,B,0.971,A,0.9183,B,4,0,0,0,1,0,0.1826,1.0,1
8,24,0,0,10,0,0,5,654,17.782,1.5285,0.8631,A,0.0,B,0.9544,A,0.971,B,1,1,0,0,2,0,0.5586,1.0,1
8,25,0,0,10,0,0,9,678,18.7165,1.5365,0.9911,A,0.8113,B,0.9799,A,1.0,B,4,0,0,0,0,0,0,0,0
