seed,window,A_islands,A_nodes_in_isl,A_c_nodes,B_islands,B_nodes_in_isl,B_c_nodes,boundary_links,boundary_weight,concept_entropy,r0_entropy,r0_concept,r1_entropy,r1_concept,r2_entropy,r2_concept,r3_entropy,r3_concept,global_k,div_flag,merge_count,split_count,n_bridges,persistent_bridges,bridge_weight,bridge_mean_life,bridge_max_life
11,1,0,0,934,0,0,847,710,20.5029,1.5838,0.915,A,0.9312,B,0.8954,A,0.9404,B,0,0,0,0,4,0,1.0262,1.0,1
11,2,1,2,261,0,0,215,707,19.6999,1.5804,0.8957,A,0.9641,B,0.8806,A,0.9357,B,0,1,0,0,1,0,0.1905,1.0,1
11,3,0,0,41,0,0,42,705,19.3285,1.5722,0.9569,A,0.8281,B,0.8113,A,0.65,B,1,1,0,0,0,0,0,0,0
11,4,0,0,11,0,0,8,653,17.6406,1.57,0.8113,A,0.0,B,0.8454,A,0.9457,B,4,1,0,0,3,0,1.0195,1.0,1
11,5,0,0,6,0,0,5,653,17.961,1.5395,0.971,A,0.9183,B,0.9852,A,0.7219,B,4,1,0,0,1,0,0.2677,1.0,1
11,6,0,0,12,0,0,9,712,19.0532,1.5546,0.9612,A,0.9544,B,0.9911,A,0.9183,B,4,0,0,0,0,0,0,0,0
11,7,0,0,13,0,0,16,676,18.9497,1.5778,0.8113,A,0.971,B,0.7219,A,0.9183,B,4,0,0,0,1,0,0.2299,1.0,1
11,8,0,0,11,1,3,17,668,18.2367,1.5437,0.5033,A,0.9911,B,0.0,A,0.7871,B,1,1,0,0,0,0,0,0,0
11,9,1,2,10,0,0,7,721,19.9788,1.5601,0.9403,A,0.8113,neutral,0.9183,A,0.5917,B,1,1,0,0,2,0,0.7856,1.0,1
11,10,0,0,20,0,0,11,672,18.4437,1.5367,0.9183,A,0.9852,B,0.65,A,0.7219,B,3,1,0,0,0,0,0,0,0
11,11,0,0,11,0,0,8,719,19.5218,1.57,0.0,A,0.9852,B,0.9183,A,1.0,B,3,1,0,0,0,0,0,0,0
11,12,0,0,8,0,0,8,703,20.0135,1.585,0.65,A,0.65,B,0.9852,A,0.971,B,3,1,0,0,3,0,1.8306,1.0,1
11,13,0,0,13,0,0,7,658,19.7559,1.4284,0.5917,A,0.65,B,0.5436,A,0.9183,B,3,1,0,0,3,0,0.7853,1.0,1
11,14,0,0,10,0,0,5,688,19.7496,1.4675,0.65,A,0.971,B,0.0,A,0.0,B,3,1,0,0,3,0,1.0234,1.0,1
11,15,0,0,11,0,0,9,651,18.1764,1.5801,0.8631,A,0.9183,B,0.0,A,0.8113,B,4,1,0,0,0,0,0,0,0
11,16,0,0,6,0,0,8,705,19.2328,1.5653,0.971,A,0.7219,B,0.8113,A,0.9911,B,4,1,0,0,0,0,0,0,0
11,17,0,0,8,0,0,17,647,18.588,1.5201,1.0,A,0.0,B,1.0,A,0.8905,B,1,1,0,0,1,0,0.3493,1.0,1
11,18,0,0,13,0,0,20,663,19.1045,1.5609,0.9612,A,0.9968,B,0.9911,A,0.7219,B,4,0,0,0,2,0,0.9975,1.0,1
11,19,0,0,8,0,0,15,684,19.1671,1.4241,0.9544,A,0.9852,B,0.8454,neutral,0.9975,B,4,0,0,0,1,0,0.1887,1.0,1
11,20,0,0,13,0,0,11,667,18.352,1.5807,0.8813,A,0.9612,B,0.9183,A,0.971,B,4,0,0,0,0,0,0,0,0
11,21,0,0,22,0,0,9,689,19.4757,1.4586,0.4138,A,0.9183,B,0.4138,A,0.9544,B,1,1,0,0,1,0,0.6068,1.0,1
11,22,0,0,29,0,0,11,702,19.6474,1.4542,0.3712,A,0.994,B,0.5033,A,0.994,B,4,0,0,0,2,0,0.8843,1.0,1
11,23,0,0,8,0,0,10,667,18.9282,1.579,0.971,A,0.9183,B,0.65,A,0.971,B,4,0,0,0,1,0,0.554,1.0,1
11,24,1,1,9,0,0,12,639,16.8748,1.5621,0.8113,neutral,0.9457,B,0.5033,A,0.994,B,4,0,0,0,0,0,0,0,0
11,25,0,0,13,0,0,8,679,19.276,1.5309,0.971,A,0.9183,B,0.7642,A,0.9911,B,4,0,0,0,1,0,0.262,1.0,1
