seed,window,A_islands,A_nodes_in_isl,A_c_nodes,B_islands,B_nodes_in_isl,B_c_nodes,boundary_links,boundary_weight,concept_entropy,r0_entropy,r0_concept,r1_entropy,r1_concept,r2_entropy,r2_concept,r3_entropy,r3_concept,global_k,div_flag,merge_count,split_count,n_bridges,persistent_bridges,bridge_weight,bridge_mean_life,bridge_max_life
5,1,1,3,855,1,1,849,686,19.2432,1.5843,0.9226,A,0.9126,B,0.9534,A,0.9363,B,0,0,0,0,3,0,0.9766,1.0,1
5,2,0,0,270,0,0,249,692,19.1126,1.5837,0.8581,A,0.946,B,0.9759,A,0.9268,B,0,1,0,0,1,0,0.2812,1.0,1
5,3,0,0,46,0,0,39,693,18.9632,1.5817,0.9294,A,0.9403,B,0.9097,A,0.8813,B,1,1,0,0,0,0,0,0,0
5,4,0,0,14,0,0,11,662,19.5555,1.5752,0.7219,A,0.7219,B,0.9183,A,0.9799,B,4,0,0,0,3,0,1.6651,1.0,1
5,5,0,0,11,0,0,14,670,18.036,1.5627,0.9544,A,0.994,B,0.994,A,0.9183,B,1,1,0,0,1,0,0.3776,1.0,1
5,6,0,0,4,0,0,7,688,18.8001,1.4937,0.971,A,1.0,B,0.9183,A,0.971,B,2,1,0,0,1,0,0.2431,1.0,1
5,7,0,0,7,0,0,5,662,18.0822,1.5683,0.0,A,0.9183,B,1.0,A,0.971,B,1,1,0,0,2,0,0.5102,1.0,1
5,8,0,0,9,0,0,16,673,20.6817,1.4807,0.9852,A,0.8113,B,0.9852,A,0.9887,B,3,1,0,0,4,0,1.5462,1.0,1
5,9,0,0,14,1,2,12,676,19.6092,1.5644,0.971,A,0.469,B,0.9911,A,1.0,B,3,1,0,0,4,0,1.148,1.0,1
5,10,0,0,13,0,0,9,655,17.4916,1.5544,0.9544,A,0.8813,B,0.9852,A,0.971,B,3,1,0,0,0,0,0,0,0
5,11,0,0,13,0,0,9,681,19.0964,1.5671,0.4395,A,0.9852,B,0.971,A,0.9183,B,4,0,0,0,3,0,0.9537,1.0,1
5,12,0,0,7,0,0,7,670,18.3956,1.5632,0.9544,A,0.8113,B,0.7219,A,0.9852,B,4,0,0,0,0,0,0,0,0
5,13,0,0,8,0,0,9,701,19.78,1.579,0.994,A,1.0,B,1.0,A,0.5436,B,4,0,0,0,0,0,0,0,0
5,14,0,0,8,0,0,15,637,17.2524,1.532,1.0,A,0.5033,B,0.9544,A,0.9457,B,4,0,0,0,1,0,0.1542,1.0,1
5,15,0,0,7,0,0,8,660,17.5829,1.569,0.9183,A,0.971,B,1.0,A,0.9544,B,4,0,0,0,0,0,0,0,0
5,16,0,0,10,0,0,15,640,17.8653,1.5642,1.0,A,0.7219,B,0.9957,A,0.5436,B,4,0,0,0,1,0,0.6924,1.0,1
5,17,0,0,13,0,0,10,687,19.8787,1.4883,0.5917,A,0.8113,B,0.5436,A,0.7219,B,4,0,0,0,2,0,0.5691,1.0,1
5,18,0,0,6,0,0,4,694,18.8786,1.5262,0.0,A,0.8113,B,0.8113,A,1.0,B,4,0,0,0,0,0,0,0,0
5,19,0,0,14,0,0,9,653,17.2576,1.5523,0.9852,A,1.0,B,0.8631,A,0.971,B,4,0,0,0,0,0,0,0,0
5,20,2,3,16,1,1,9,665,18.2957,1.4897,0.9852,A,0.971,B,0.8454,A,0.9544,B,3,1,0,0,0,0,0,0,0
5,21,0,0,17,0,0,5,667,18.227,1.4366,0.8366,A,1.0,B,0.9183,A,0.8113,neutral,4,0,0,0,1,0,0.2956,1.0,1
5,22,0,0,5,0,0,8,662,19.2676,1.5574,0.0,A,0.5436,B,0.971,A,0.9183,B,4,0,0,0,1,0,0.6241,1.0,1
5,23,0,0,11,0,0,15,676,18.9226,1.5671,0.9544,A,0.6194,B,0.971,A,0.9457,B,4,0,0,0,3,0,0.6894,1.0,1
5,24,0,0,7,0,0,10,702,18.8403,1.569,0.9183,A,0.8813,B,0.8631,A,0.971,B,3,1,0,0,0,0,0,0,0
5,25,0,0,4,0,0,6,705,19.0498,1.5486,0.0,A,0.9911,B,1.0,A,0.9183,B,4,0,0,0,0,0,0,0,0
