seed,window,rate,pct_none,pct_small,pct_large,H2,H3,dH,J2,J3
55,22,0.0,83.3,16.7,0.0,1.2075,1.2075,0.0,0.4179,0.4179
55,23,0.0,93.3,6.7,0.0,0.6998,0.6998,0.0,-0.0856,-0.0856
55,24,0.0,85.7,14.3,7.1,1.2917,1.2917,0.0,0.3572,0.3572
55,25,0.0,75.9,24.1,0.0,1.6764,1.6764,0.0,0.6626,0.6626
123,1,0.0,92.3,7.7,4.3,0.6997,0.6997,0.0,-0.4613,-0.4613
123,2,0.0,87.2,12.8,0.0,1.1059,1.1059,0.0,0.0788,0.0788
123,3,0.0,95.0,5.0,0.0,0.569,0.569,0.0,-0.2237,-0.2237
123,4,0.0,83.3,16.7,0.0,1.1221,1.1221,0.0,0.3209,0.3209
123,5,0.0,95.2,4.8,0.0,0.549,0.549,0.0,-0.2458,-0.2458
123,6,0.0,69.2,30.8,7.7,1.5262,1.5262,0.0,0.9467,0.9467
123,7,0.0,54.5,45.5,18.2,1.4949,1.4949,0.0,1.1562,1.1562
123,8,0.0,58.3,41.7,33.3,1.9591,1.9591,0.0,1.1289,1.1289
123,9,0.0,86.7,13.3,0.0,0.5665,0.5665,0.0,0.4244,0.4244
123,10,0.0,82.4,17.6,0.0,1.3216,1.3216,0.0,0.527,0.527
123,11,0.0,85.7,14.3,0.0,1.2917,1.2917,0.0,0.2046,0.2046
123,12,0.0,85.0,15.0,0.0,1.1918,1.1918,0.0,0.1092,0.1092
123,13,0.0,91.7,8.3,8.3,0.4138,0.4138,0.0,-0.0931,-0.0931
123,14,0.0,52.6,47.4,21.1,1.9785,1.9785,0.0,1.5035,1.5035
123,15,0.0,86.7,13.3,6.7,0.9056,0.9056,0.0,0.4684,0.4684
123,16,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.1713,-0.1713
123,17,0.0,87.5,12.5,0.0,0.9,0.9,0.0,0.037,0.037
123,18,0.0,95.8,4.2,0.0,0.4972,0.4972,0.0,-0.2952,-0.2952
123,19,0.0,70.6,29.4,11.8,1.8078,1.8078,0.0,1.1033,1.1033
123,20,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,0.0788,0.0788
123,21,0.0,85.7,14.3,0.0,1.1488,1.1488,0.0,0.5489,0.5489
123,22,0.0,90.0,10.0,0.0,0.9219,0.9219,0.0,0.007,0.007
123,23,0.0,92.3,7.7,0.0,0.7732,0.7732,0.0,0.0732,0.0732
123,24,0.0,86.7,13.3,0.0,0.9056,0.9056,0.0,-0.0153,-0.0153
123,25,0.0,94.1,5.9,0.0,0.6402,0.6402,0.0,-0.0472,-0.0472
314,1,0.0,90.7,9.3,4.6,0.7757,0.7757,0.0,-0.3853,-0.3853
314,2,0.0,97.3,2.7,0.0,0.3612,0.3612,0.0,-0.4957,-0.4957
314,3,0.0,95.2,4.8,4.8,0.2762,0.2762,0.0,-0.29,-0.29
314,4,0.0,80.0,20.0,0.0,1.571,1.571,0.0,0.8412,0.8412
314,5,0.0,75.0,25.0,25.0,1.75,1.75,0.0,0.6744,0.6744
314,6,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,0.0579,0.0579
314,7,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.5,-0.5
314,8,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.5,-0.5
314,9,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.5,-0.5
314,10,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.5,-0.5
314,11,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.5,-0.5
314,12,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.5,-0.5
314,13,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.5,-0.5
314,14,0.0,81.2,18.8,0.0,1.3716,1.3716,0.0,0.6316,0.6316
314,15,0.0,83.3,16.7,16.7,1.0409,1.0409,0.0,0.3311,0.3311
314,16,0.0,92.3,7.7,0.0,0.3912,0.3912,0.0,0.0109,0.0109
314,17,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.3011,-0.3011
314,18,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.5,-0.5
314,19,0.0,70.0,30.0,0.0,1.8464,1.8464,0.0,1.3145,1.3145
314,20,0.0,72.2,27.8,0.0,1.5466,1.5466,0.0,0.9107,0.9107
314,21,0.0,85.7,14.3,0.0,1.0892,1.0892,0.0,0.3335,0.3335
314,22,0.0,88.9,11.1,0.0,0.8031,0.8031,0.0,0.0033,0.0033
314,23,0.0,79.2,20.8,0.0,1.3965,1.3965,0.0,0.6431,0.6431
314,24,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.0017,-0.0017
314,25,0.0,75.0,25.0,0.0,1.5,1.5,0.0,1.0579,1.0579
456,1,0.0,89.6,10.4,5.7,0.9869,0.9869,0.0,-0.1741,-0.1741
456,2,0.0,87.1,12.9,5.7,0.91,0.91,0.0,0.0276,0.0276
456,3,0.0,92.9,7.1,0.0,0.7345,0.7345,0.0,-0.1838,-0.1838
456,4,0.0,83.3,16.7,8.3,1.2516,1.2516,0.0,0.4436,0.4436
456,5,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.0631,-0.0631
456,6,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.5,-0.5
456,7,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.5,-0.5
456,8,0.0,50.0,50.0,11.1,1.7472,1.7472,0.0,1.5044,1.5044
456,9,0.0,85.7,14.3,0.0,1.1488,1.1488,0.0,0.8157,0.8157
456,10,0.0,87.5,12.5,0.0,1.0613,1.0613,0.0,0.4283,0.4283
456,11,0.0,93.3,6.7,0.0,0.6998,0.6998,0.0,-0.1735,-0.1735
456,12,0.0,88.9,11.1,0.0,0.5033,0.5033,0.0,0.0605,0.0605
456,13,0.0,94.4,5.6,0.0,0.6144,0.6144,0.0,-0.1996,-0.1996
456,14,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.2593,-0.2593
456,15,0.0,93.8,6.2,6.2,0.3373,0.3373,0.0,-0.2764,-0.2764
456,16,0.0,82.4,17.6,0.0,1.3216,1.3216,0.0,0.5205,0.5205
456,17,0.0,80.0,20.0,0.0,1.2366,1.2366,0.0,0.1522,0.1522
456,18,0.0,86.7,13.3,13.3,0.9056,0.9056,0.0,0.1811,0.1811
456,19,0.0,96.4,3.6,0.0,0.4427,0.4427,0.0,-0.255,-0.255
456,20,0.0,58.3,41.7,16.7,1.4834,1.4834,0.0,0.9746,0.9746
456,21,0.0,77.8,22.2,0.0,1.2244,1.2244,0.0,0.4405,0.4405
456,22,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.0631,-0.0631
456,23,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.5,-0.5
456,24,0.0,75.0,25.0,0.0,1.2988,1.2988,0.0,0.7668,0.7668
456,25,0.0,80.0,20.0,6.7,1.371,1.371,0.0,0.4631,0.4631
789,1,0.0,92.0,8.0,2.7,0.7657,0.7657,0.0,-0.2343,-0.2343
789,2,0.0,93.1,6.9,0.0,0.7876,0.7876,0.0,-0.1988,-0.1988
789,3,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.2295,-0.2295
789,4,0.0,95.8,4.2,4.2,0.4972,0.4972,0.0,-0.2955,-0.2955
789,5,0.0,85.7,14.3,9.5,1.28,1.28,0.0,0.3983,0.3983
789,6,0.0,66.7,33.3,0.0,1.8911,1.8911,0.0,1.0582,1.0582
789,7,0.0,80.0,20.0,0.0,0.7219,0.7219,0.0,0.4717,0.4717
789,8,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.1713,-0.1713
789,9,0.0,76.5,23.5,0.0,1.7034,1.7034,0.0,1.0794,1.0794
789,10,0.0,88.9,11.1,0.0,0.9864,0.9864,0.0,0.2904,0.2904
789,11,0.0,88.2,11.8,0.0,1.0224,1.0224,0.0,0.3608,0.3608
789,12,0.0,83.3,16.7,0.0,1.0409,1.0409,0.0,0.1133,0.1133
789,13,0.0,91.7,8.3,0.0,0.8167,0.8167,0.0,0.1725,0.1725
789,14,0.0,70.0,30.0,0.0,1.761,1.761,0.0,0.9857,0.9857
789,15,0.0,91.7,8.3,0.0,0.9,0.9,0.0,0.0518,0.0518
789,16,0.0,85.7,14.3,4.8,1.1542,1.1542,0.0,0.0899,0.0899
789,17,0.0,92.3,7.7,0.0,0.6219,0.6219,0.0,-0.1283,-0.1283
789,18,0.0,93.8,6.2,0.0,0.6686,0.6686,0.0,-0.28,-0.28
789,19,0.0,60.0,40.0,10.0,1.9406,1.9406,0.0,1.2753,1.2753
789,20,0.0,83.3,16.7,0.0,1.0975,1.0975,0.0,0.3348,0.3348
789,21,0.0,94.1,5.9,0.0,0.6402,0.6402,0.0,-0.119,-0.119
789,22,0.0,80.0,20.0,12.0,1.404,1.404,0.0,0.4977,0.4977
789,23,0.0,81.2,18.8,0.0,1.1863,1.1863,0.0,0.1186,0.1186
789,24,0.0,66.7,33.3,16.7,1.7882,1.7882,0.0,0.9688,0.9688
789,25,0.0,95.7,4.3,0.0,0.5132,0.5132,0.0,0.0068,0.0068
999,1,0.0,91.5,8.5,0.0,0.8456,0.8456,0.0,-0.3154,-0.3154
999,2,0.0,81.0,19.0,2.5,1.4654,1.4654,0.0,0.5162,0.5162
999,3,0.0,90.0,10.0,3.3,1.0138,1.0138,0.0,0.0335,0.0335
999,4,0.0,80.8,19.2,3.8,1.4125,1.4125,0.0,0.4578,0.4578
999,5,0.0,83.3,16.7,0.0,1.0409,1.0409,0.0,0.3846,0.3846
999,6,0.0,95.0,5.0,0.0,0.569,0.569,0.0,-0.2525,-0.2525
999,7,0.0,90.9,9.1,0.0,0.8659,0.8659,0.0,0.142,0.142
999,8,0.0,83.3,16.7,0.0,1.2516,1.2516,0.0,0.6291,0.6291
