window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds
134,4869,3013,1,0,1,3,0.4444,1,0,0,0,0,0,0,0,1,1.9367,0.033,1,48.0
135,4866,3126,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.97,0.0332,2,48.4
136,4865,2986,1,0,1,5,1.2,1,0,0,0,0,0,0,0,3,1.997,0.027,1,47.8
137,4864,3017,5,0,5,5,1.5,2,0,0,0,0,0,0,0,3,1.9853,-0.0117,1,47.9
138,4864,2961,2,0,2,5,0.6667,1,0,0,0,0,0,0,0,3,1.9717,-0.0136,2,48.1
139,4864,2993,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9907,0.019,2,48.0
140,4863,3051,2,0,2,5,0.2667,1,0,0,0,0,0,0,0,3,1.9955,0.0048,1,46.3
141,4863,2933,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9266,-0.0689,1,48.0
142,4862,3015,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9018,-0.0249,1,47.6
143,4860,2960,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9082,0.0065,1,46.8
144,4858,3017,2,0,2,5,0.9143,1,0,0,0,0,0,0,0,1,1.9495,0.0412,1,46.2
145,4855,2991,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9505,0.001,1,47.0
146,4851,2853,3,0,3,5,0.5333,1,0,0,0,0,0,0,0,3,1.9486,-0.0019,1,47.6
147,4850,3064,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9687,0.0201,1,46.8
148,4848,2902,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9532,-0.0155,1,48.2
149,4844,3018,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8512,-0.1019,1,46.1
150,4843,2938,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8496,-0.0016,1,48.1
151,4840,3037,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8339,-0.0157,1,46.2
152,4838,3027,2,0,2,5,0.64,1,0,0,0,0,0,0,0,3,1.9713,0.1374,1,46.1
153,4837,2914,1,0,1,5,0.2667,1,0,0,0,0,0,0,0,3,1.904,-0.0674,1,46.8
154,4837,2931,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9772,0.0732,2,46.6
155,4836,2979,1,0,1,5,0.0,1,0,0,0,0,0,0,0,3,1.9713,-0.006,1,46.5
156,4836,2941,1,0,1,3,0.1111,1,0,0,0,0,0,0,0,1,1.966,-0.0053,1,45.9
157,4836,2970,1,0,1,4,0.375,1,0,0,0,0,0,0,0,1,1.9535,-0.0125,2,46.4
158,4833,2936,3,0,3,5,1.0,1,0,0,0,0,0,0,0,3,1.9539,0.0004,2,46.4
