window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds
1,5000,6058,16,0,16,4,0.6667,1,0,0,0,0,0,0,0,0,1.9994,1.9994,0,17.3
2,5000,3764,3,0,3,5,0.9,1,0,0,0,0,0,0,0,0,1.9995,0.0,0,18.4
3,5000,3529,2,0,2,4,1.0,1,0,0,0,0,0,0,0,0,1.9995,0.0,0,20.4
4,5000,3358,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9995,0.0,0,23.2
5,5000,3325,1,0,1,5,1.6,2,0,0,0,0,0,0,0,0,1.9994,-0.0001,0,25.4
6,5000,3007,3,0,3,5,0.96,1,0,0,0,0,0,0,0,0,1.9992,-0.0003,1,28.3
7,5000,3066,1,0,1,3,0.3333,1,0,0,0,0,0,0,0,0,1.9999,0.0008,0,30.0
8,5000,3115,2,0,2,5,0.5333,2,0,0,0,0,0,0,0,0,1.9979,-0.002,2,32.0
9,5000,3144,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9969,-0.001,2,34.6
10,5000,3119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9894,-0.0075,1,34.7
11,5000,3055,1,0,1,3,1.3333,1,0,0,0,0,0,0,0,0,1.9931,0.0037,1,36.7
12,5000,3093,1,0,1,4,1.0,1,0,0,0,0,0,0,0,0,1.9966,0.0034,1,38.3
13,5000,3063,1,0,1,5,0.6,1,0,0,0,0,0,0,0,3,1.9871,-0.0095,2,39.2
14,5000,3094,1,0,1,5,0.0,1,0,0,0,0,0,0,0,3,1.9583,-0.0287,2,40.9
15,5000,3103,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9023,-0.056,2,42.0
16,5000,3065,1,0,1,4,0.75,1,0,0,0,0,0,0,0,1,1.9426,0.0403,1,42.3
17,5000,2969,1,0,1,5,0.0,1,0,0,0,0,0,0,0,3,1.9686,0.0261,1,44.0
18,5000,3031,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9144,-0.0543,2,43.6
19,5000,3128,1,0,1,4,0.6,1,0,0,0,0,0,0,0,3,1.9314,0.017,1,46.3
20,5000,3096,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9252,-0.0062,1,45.8
21,5000,3070,1,0,1,5,2.0,1,0,0,0,0,0,0,0,3,1.8871,-0.0381,1,45.6
22,5000,3027,2,0,2,5,2.0,1,0,0,0,0,0,0,0,3,1.9505,0.0633,1,46.8
23,5000,3162,1,0,1,5,0.1778,1,0,0,0,0,0,0,0,3,1.952,0.0016,2,47.2
24,5000,3060,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9499,-0.0021,2,46.9
25,5000,3128,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9457,-0.0042,1,48.0
26,4999,2988,1,0,1,5,1.2,1,0,0,0,0,0,0,0,1,1.9003,-0.0454,1,48.4
27,4998,3039,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.877,-0.0233,1,47.9
28,4998,3058,1,0,1,5,1.3333,1,0,0,0,0,0,0,0,1,1.8842,0.0071,1,50.1
