window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds
1,5000,6177,14,0,14,5,0.6,1,0,0,0,0,0,0,0,0,1.9992,1.9992,0,15.2
2,5000,3746,2,0,2,5,1.0,1,0,0,0,0,0,0,0,0,1.9992,0.0,0,16.4
3,5000,3511,4,0,4,5,1.0,1,0,0,0,0,0,0,0,0,1.9992,0.0,0,17.8
4,5000,3340,1,0,1,3,0.0,2,0,0,0,0,0,0,0,0,1.9993,0.0001,0,19.4
5,5000,3222,2,0,2,5,0.4,1,0,0,0,0,0,0,0,0,1.9993,0.0,0,20.4
6,5000,3203,1,0,1,5,0.72,2,0,0,0,0,0,0,0,0,1.9995,0.0001,2,21.8
7,5000,3095,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9975,-0.002,2,23.1
8,5000,3040,1,0,1,5,1.25,1,0,0,0,0,0,0,0,0,1.9976,0.0001,1,24.9
9,5000,3125,1,0,1,5,1.6,1,0,0,0,0,0,0,0,1,1.9899,-0.0077,1,26.3
10,5000,3083,1,0,1,3,0.3333,1,0,0,0,0,0,0,0,0,1.994,0.0041,2,27.1
