window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds
1,5000,6081,12,0,12,7,1.125,1,0,0,0,0,0,0,0,0,1.9997,1.9997,0,17.2
2,5000,3684,5,0,5,5,1.0,2,0,0,0,0,0,0,0,0,1.9998,0.0001,0,18.5
3,5000,3483,1,0,1,5,0.0,2,0,0,0,0,0,0,0,0,1.9998,-0.0,0,20.4
4,5000,3426,1,0,1,4,0.1667,1,0,0,0,0,0,0,0,0,1.9998,0.0,0,23.5
5,5000,3181,1,0,1,4,1.125,1,0,0,0,0,0,0,0,0,1.9997,-0.0,2,25.9
6,5000,3092,1,0,1,5,1.0667,2,0,0,0,0,0,0,0,0,1.9997,-0.0001,2,28.0
7,5000,3108,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9991,-0.0006,2,30.4
8,5000,2968,4,0,4,5,1.5,2,0,0,0,0,0,0,0,0,1.9977,-0.0014,1,33.3
9,5000,3085,1,0,1,5,1.0,1,0,0,0,0,0,0,0,3,1.9923,-0.0054,1,33.8
10,5000,3166,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9917,-0.0006,2,36.0
11,5000,2957,1,0,1,3,0.25,1,0,0,0,0,0,0,0,0,1.9947,0.0029,1,36.5
12,5000,3029,2,0,2,5,0.5,1,0,0,0,0,0,0,0,0,1.9911,-0.0036,1,38.2
13,5000,3045,1,0,1,5,0.48,1,0,0,0,0,0,0,0,3,1.996,0.005,2,38.9
14,5000,3001,1,0,1,4,0.75,1,0,0,0,0,0,0,0,1,1.9276,-0.0684,2,40.6
15,5000,3082,1,0,1,5,0.1778,2,0,0,0,0,0,0,0,1,1.96,0.0324,2,41.2
16,5000,3204,2,0,2,5,1.5,2,0,0,0,0,0,0,0,1,1.9845,0.0245,2,42.3
17,5000,2994,1,0,1,5,0.6,1,0,0,0,0,0,0,0,3,1.9861,0.0015,2,43.3
18,5000,3160,1,0,1,3,0.2667,1,0,0,0,0,0,0,0,1,1.9936,0.0076,2,44.8
19,5000,3091,1,0,1,5,1.6,1,0,0,0,0,0,0,0,1,1.9877,-0.0059,2,45.1
20,5000,3004,1,0,1,5,0.1333,1,0,0,0,0,0,0,0,1,1.9839,-0.0038,2,45.7
21,5000,3063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9785,-0.0054,2,46.2
22,5000,3044,2,0,2,4,0.5,2,0,0,0,0,0,0,0,1,1.9678,-0.0107,1,46.4
23,5000,3138,3,0,3,5,1.3333,2,0,0,0,0,0,0,0,2,1.983,0.0153,1,46.9
24,4998,3055,2,0,2,5,0.2222,1,0,0,0,0,0,0,0,1,1.9699,-0.0131,2,47.9
25,4998,3049,1,0,1,5,0.8,1,0,0,0,0,0,0,0,3,1.9438,-0.0261,2,49.8
26,4998,3106,3,0,3,5,1.6,2,0,0,0,0,0,0,0,3,1.9926,0.0489,2,48.6
27,4996,3102,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9955,0.0029,2,48.4
28,4996,3138,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9984,0.0029,1,49.8
29,4996,3027,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9668,-0.0316,1,49.5
30,4996,3041,3,0,3,5,0.8889,1,0,0,0,0,0,0,0,1,1.9246,-0.0422,1,49.2
31,4993,3013,2,0,2,3,1.3333,2,0,0,0,0,0,0,0,3,1.9837,0.0591,1,50.8
32,4992,3057,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8791,-0.1045,2,50.5
33,4991,3102,1,0,1,3,0.6667,1,0,0,0,0,0,0,0,3,1.9299,0.0508,1,52.0
34,4988,3062,1,0,1,3,0.0,2,0,0,0,0,0,0,0,3,1.9776,0.0477,1,51.4
35,4986,3149,1,0,1,5,0.0,3,0,0,0,0,0,0,0,3,1.8989,-0.0787,2,51.4
36,4986,3042,1,0,1,5,0.9143,1,0,0,0,0,0,0,0,1,1.9288,0.0299,2,54.5
37,4986,3045,1,0,1,3,0.1667,1,0,0,0,0,0,0,0,3,1.9149,-0.0139,2,54.3
38,4986,2981,1,0,1,4,1.3333,1,0,0,0,0,0,0,0,3,1.9194,0.0045,2,54.0
39,4985,3096,2,0,2,4,1.5,1,0,0,0,0,0,0,0,3,1.9374,0.0179,2,53.7
40,4983,3093,2,0,2,3,2.0,1,0,0,0,0,0,0,0,3,1.9544,0.0171,2,51.8
41,4982,3056,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9498,-0.0047,2,53.7
