window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds
1,5000,6028,16,0,16,6,0.8,1,0,0,0,0,0,0,0,0,1.9975,1.9975,0,17.3
2,5000,3710,5,0,5,5,1.6,1,0,0,0,0,0,0,0,0,1.9977,0.0002,0,18.7
3,5000,3515,2,0,2,5,0.2667,2,0,0,0,0,0,0,0,0,1.9977,0.0001,0,20.1
4,5000,3301,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9977,0.0,0,23.5
5,5000,3217,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9977,-0.0,0,25.7
6,5000,3194,3,0,3,5,2.0,1,0,0,0,0,0,0,0,0,1.9973,-0.0004,1,28.9
7,5000,3061,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9945,-0.0028,1,30.7
8,5000,3087,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9944,-0.0001,1,32.3
9,5000,3113,1,0,1,5,0.5333,1,0,0,0,0,0,0,0,3,1.9936,-0.0008,1,35.0
10,5000,3064,2,0,2,5,1.3333,1,0,0,0,0,0,0,0,0,1.9889,-0.0048,1,34.9
11,5000,3053,1,0,1,5,2.0,2,0,0,0,0,0,0,0,0,1.9945,0.0056,2,36.7
12,5000,3083,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.972,-0.0224,2,38.2
13,5000,3240,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9492,-0.0229,1,39.4
14,5000,3009,1,0,1,5,0.32,1,0,0,0,0,0,0,0,3,1.9475,-0.0017,1,40.6
15,5000,3175,4,0,4,5,0.8571,1,0,0,0,0,0,0,0,3,1.9525,0.005,1,41.4
16,5000,3087,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9742,0.0217,2,41.6
17,5000,3174,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9476,-0.0265,1,43.7
18,5000,3070,2,0,2,5,0.75,1,0,0,0,0,0,0,0,3,1.9629,0.0153,1,43.8
19,5000,3063,1,0,1,5,0.9091,1,0,0,0,0,0,0,0,3,1.97,0.0071,1,45.0
20,5000,3030,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9822,0.0123,2,45.2
21,5000,3051,2,0,2,5,1.5,1,0,0,0,0,0,0,0,3,1.9369,-0.0453,1,45.1
22,5000,3090,2,0,2,4,1.0,1,0,0,0,0,0,0,0,3,1.9322,-0.0047,1,47.2
23,5000,3119,2,0,2,5,1.6,1,0,0,0,0,0,0,0,1,1.9386,0.0064,2,47.0
24,5000,3097,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.766,-0.1727,2,47.9
25,5000,3067,3,0,3,5,0.5143,1,0,0,0,0,0,0,0,1,1.9035,0.1376,1,48.2
26,5000,3012,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9788,0.0752,1,48.2
27,4999,3127,2,0,2,5,2.0,1,0,0,0,0,0,0,0,3,1.9908,0.012,1,49.1
28,4999,3183,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9899,-0.0008,1,51.1
29,4999,2954,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9926,0.0027,1,51.3
30,4998,3074,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9837,-0.0089,1,50.3
31,4996,3098,1,0,1,5,0.2667,1,0,0,0,0,0,0,0,3,1.948,-0.0357,1,51.3
32,4996,3132,2,0,2,5,1.0667,2,0,0,0,0,0,0,0,3,1.8973,-0.0507,1,51.6
33,4996,3192,1,0,1,5,1.2,1,0,0,0,0,0,0,0,3,1.8854,-0.0119,2,51.1
34,4994,3119,4,0,4,5,1.5,1,0,0,0,0,0,0,0,1,1.9123,0.027,2,50.7
35,4993,3093,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.8655,-0.0468,2,51.7
36,4991,3001,1,0,1,5,1.0667,1,0,0,0,0,0,0,0,0,1.8834,0.0179,1,51.9
37,4989,3051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9027,0.0192,1,53.8
38,4986,3028,1,0,1,3,0.4444,1,0,0,0,0,0,0,0,0,1.8648,-0.0379,1,50.4
