window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds
1,5000,6036,17,0,17,5,0.6857,1,0,0,0,0,0,0,0,0,1.9993,1.9993,0,17.3
2,5000,3852,2,0,2,4,0.8889,2,0,0,0,0,0,0,0,0,1.9993,-0.0,0,18.6
3,5000,3487,1,0,1,5,0.0,2,0,0,0,0,0,0,0,0,1.9992,-0.0,0,20.5
4,5000,3300,2,0,2,4,1.125,1,0,0,0,0,0,0,0,0,1.9992,-0.0,0,23.4
5,5000,3220,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9992,-0.0,0,25.6
6,5000,3120,1,0,1,3,1.3333,1,0,0,0,0,0,0,0,0,1.9988,-0.0004,1,28.0
7,5000,3033,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9993,0.0006,1,30.2
8,5000,3156,1,0,1,5,0.4,1,0,0,0,0,0,0,0,0,1.9977,-0.0016,1,33.2
9,5000,3055,1,0,1,4,0.5,1,0,0,0,0,0,0,0,0,1.9975,-0.0002,1,34.2
10,5000,3025,2,0,2,5,1.0,1,0,0,0,0,0,0,0,0,1.9921,-0.0054,2,35.2
11,5000,3168,1,0,1,3,0.6667,1,0,0,0,0,0,0,0,0,1.9896,-0.0025,2,37.7
12,5000,3101,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9941,0.0045,2,38.3
13,5000,3078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9957,0.0016,1,39.0
14,5000,3085,1,0,1,5,1.3333,1,0,0,0,0,0,0,0,1,1.9791,-0.0166,1,40.7
15,5000,3180,1,0,1,3,0.8,1,0,0,0,0,0,0,0,1,1.9727,-0.0064,1,40.8
16,5000,3008,1,0,1,5,1.0667,1,0,0,0,0,0,0,0,1,1.9576,-0.0152,2,43.1
17,5000,3085,1,0,1,5,0.8,1,0,0,0,0,0,0,0,3,1.9553,-0.0023,2,43.6
18,5000,3155,1,0,1,4,0.8571,1,0,0,0,0,0,0,0,3,1.9342,-0.0211,2,44.5
19,5000,2973,1,0,1,5,0.8,1,0,0,0,0,0,0,0,3,1.9305,-0.0037,2,45.5
20,5000,3081,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9542,0.0237,2,45.7
21,5000,3121,1,0,1,4,0.0,2,0,0,0,0,0,0,0,3,1.9827,0.0285,1,46.1
22,5000,3140,1,0,1,4,1.5,1,0,0,0,0,0,0,0,1,1.9667,-0.016,1,46.3
23,5000,3108,2,0,2,5,0.6667,1,0,0,0,0,0,0,0,1,1.9742,0.0075,2,47.2
24,5000,3135,1,0,1,5,1.1111,1,0,0,0,0,0,0,0,1,1.9794,0.0052,2,47.8
25,5000,3027,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.976,-0.0034,2,49.2
26,5000,3063,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9911,0.0151,1,48.5
27,5000,2955,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9908,-0.0003,1,48.3
28,4999,3054,1,0,1,5,0.2667,2,0,0,0,0,0,0,0,3,1.9893,-0.0015,1,49.6
