window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds
1,5000,6191,12,0,12,5,0.8889,1,0,0,0,0,0,0,0,0,1.9985,1.9985,0,17.2
2,5000,3701,4,0,4,5,1.5,1,0,0,0,0,0,0,0,0,1.9985,0.0,0,18.5
3,5000,3409,1,0,1,3,0.0,1,0,0,0,0,0,0,0,0,1.9985,0.0,0,20.1
4,5000,3340,2,0,2,5,0.8571,1,0,0,0,0,0,0,0,0,1.9986,0.0,0,23.4
5,5000,3271,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9986,0.0,2,26.1
6,5000,3158,1,0,1,3,0.0,2,0,0,0,0,0,0,0,0,1.9982,-0.0003,1,28.2
7,5000,2977,1,0,1,4,1.5,1,0,0,0,0,0,0,0,0,1.9976,-0.0006,1,30.0
8,5000,3081,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9977,0.0,2,32.2
9,5000,3052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9962,-0.0015,1,34.0
10,5000,3141,2,0,2,5,1.0,1,0,0,0,0,0,0,0,0,1.9936,-0.0026,1,35.5
11,5000,3076,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9959,0.0023,1,36.9
12,5000,3031,1,0,1,5,0.3,1,0,0,0,0,0,0,0,3,1.9925,-0.0033,1,38.4
13,5000,3136,1,0,1,3,0.3333,1,0,0,0,0,0,0,0,1,1.9825,-0.0101,1,39.2
14,5000,3122,1,0,1,4,0.3333,1,0,0,0,0,0,0,0,1,1.9578,-0.0247,2,40.5
15,5000,3073,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9067,-0.0511,2,41.9
16,5000,3085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8458,-0.0609,1,42.0
17,5000,3066,1,0,1,3,0.0,1,0,0,0,0,0,0,0,0,1.9492,0.1034,1,43.6
18,5000,3075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9585,0.0093,1,44.2
19,5000,3009,2,0,2,4,1.0,1,0,0,0,0,0,0,0,1,1.9839,0.0254,1,44.0
20,5000,2992,2,0,2,4,0.75,1,0,0,0,0,0,0,0,1,1.9075,-0.0764,1,45.0
21,5000,3158,1,0,1,3,0.6667,1,0,0,0,0,0,0,0,1,1.8801,-0.0274,2,46.5
22,5000,3080,2,0,2,5,1.6,2,0,0,0,0,0,0,0,3,1.8727,-0.0074,2,46.6
