window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,max_size,max_density_ratio,max_seen_count,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,encap_events_total,dissolve_events_total,hardened_links_count,k_star,entropy,entropy_delta,milestone,physics_seconds
1,5000,6170,17,0,17,7,0.6667,1,0,0,0,0,0,0,0,0,1.9986,1.9986,0,17.4
2,5000,3849,2,0,2,3,0.3333,1,0,0,0,0,0,0,0,0,1.9985,-0.0,0,18.8
3,5000,3474,4,0,4,5,1.5,2,0,0,0,0,0,0,0,0,1.9985,-0.0,0,20.7
4,5000,3457,1,0,1,5,1.6,1,0,0,0,0,0,0,0,0,1.9987,0.0002,0,23.6
5,5000,3228,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9987,0.0,0,26.3
6,5000,3147,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9989,0.0002,1,28.5
7,5000,3099,2,0,2,5,1.5,1,0,0,0,0,0,0,0,0,1.9979,-0.001,1,30.5
8,5000,3165,3,0,3,5,1.0667,2,0,0,0,0,0,0,0,0,1.9959,-0.0021,1,32.1
9,5000,3201,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9825,-0.0134,2,35.1
10,5000,3049,2,0,2,4,1.125,1,0,0,0,0,0,0,0,0,1.9728,-0.0096,1,35.3
11,5000,3146,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9912,0.0183,1,37.6
12,5000,2943,3,0,3,5,1.5,2,0,0,0,0,0,0,0,1,1.9912,0.0001,1,38.4
13,5000,3037,1,0,1,3,0.3333,1,0,0,0,0,0,0,0,3,1.9829,-0.0083,1,39.9
14,5000,3035,2,0,2,5,0.3333,1,0,0,0,0,0,0,0,3,1.9836,0.0007,2,40.3
15,5000,3117,1,0,1,5,1.5,1,0,0,0,0,0,0,0,1,1.9859,0.0023,2,40.7
16,5000,3033,1,0,1,5,0.9,2,0,0,0,0,0,0,0,3,1.9704,-0.0155,2,43.2
17,5000,3044,2,0,2,5,1.4286,1,0,0,0,0,0,0,0,3,1.972,0.0017,2,43.3
18,5000,3051,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9512,-0.0208,2,44.7
19,5000,3043,2,0,2,5,1.5,1,0,0,0,0,0,0,0,3,1.9387,-0.0125,1,45.2
20,5000,3014,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9169,-0.0218,1,45.4
21,5000,3009,1,0,1,5,0.2667,1,0,0,0,0,0,0,0,3,1.9197,0.0029,1,45.5
22,5000,3113,2,0,2,5,2.0,1,0,0,0,0,0,0,0,3,1.93,0.0103,1,46.7
23,5000,3111,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9387,0.0087,2,47.8
24,4998,3078,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9056,-0.0331,1,48.9
25,4996,3062,1,0,1,5,2.0,1,0,0,0,0,0,0,0,3,1.8413,-0.0644,1,49.2
26,4995,3022,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9183,0.077,1,48.6
27,4992,2991,3,0,3,5,1.2,1,0,0,0,0,0,0,0,3,1.8568,-0.0615,1,47.8
28,4990,3179,2,0,2,5,0.96,1,0,0,0,0,0,0,0,3,1.8554,-0.0014,1,51.2
29,4989,3013,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.7275,-0.1278,2,51.2
30,4988,3112,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.958,0.2305,1,49.7
31,4986,3026,1,0,1,5,0.2667,1,0,0,0,0,0,0,0,3,1.9247,-0.0333,1,52.0
32,4984,3106,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9401,0.0154,1,51.7
33,4983,2977,2,0,2,5,0.6667,1,0,0,0,0,0,0,0,1,1.9713,0.0313,1,52.3
34,4982,3051,2,0,2,5,0.6667,1,0,0,0,0,0,0,0,3,1.8567,-0.1147,1,49.4
35,4981,3085,1,0,1,3,0.2222,1,0,0,0,0,0,0,0,3,1.9657,0.109,2,51.7
36,4979,3056,1,0,1,5,0.6,1,0,0,0,0,0,0,0,3,1.9766,0.0109,2,52.3
37,4979,3137,1,0,1,5,1.1429,2,0,0,0,0,0,0,0,3,1.9839,0.0073,2,53.2
38,4979,3162,3,0,3,5,1.125,1,0,0,0,0,0,0,0,3,1.9489,-0.0349,2,51.4
39,4979,3084,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9634,0.0144,2,52.2
40,4978,3044,1,0,1,4,0.5,1,0,0,0,0,0,0,0,1,1.9735,0.0101,1,52.2
41,4977,3072,2,0,2,5,1.125,1,0,0,0,0,0,0,0,3,1.9885,0.015,1,54.2
42,4977,3139,1,0,1,5,0.5333,1,0,0,0,0,0,0,0,3,1.9747,-0.0137,2,56.6
43,4977,3139,1,0,1,5,2.0,1,0,0,0,0,0,0,0,1,1.9941,0.0194,2,52.4
44,4977,3110,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9871,-0.007,2,54.0
45,4976,3047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0129,1,53.3
46,4975,2965,2,0,2,5,0.8,2,0,0,0,0,0,0,0,1,1.9904,-0.0096,1,52.5
47,4975,3005,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9053,-0.085,1,55.8
48,4971,3093,1,0,1,5,2.0,1,0,0,0,0,0,0,0,3,1.8346,-0.0708,1,55.9
49,4969,3077,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.732,-0.1026,1,54.8
50,4967,3187,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.6823,-0.0497,1,50.7
51,4967,2993,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.7099,0.0276,1,47.6
52,4967,3035,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.7773,0.0674,1,46.5
53,4965,2991,1,0,1,5,1.3333,1,0,0,0,0,0,0,0,3,1.9127,0.1354,1,47.1
54,4965,3126,1,0,1,3,0.4444,1,0,0,0,0,0,0,0,3,1.889,-0.0237,1,47.0
55,4964,3050,2,0,2,4,1.5,1,0,0,0,0,0,0,0,1,1.8342,-0.0548,2,48.6
56,4963,3035,1,0,1,5,1.6,1,0,0,0,0,0,0,0,1,1.757,-0.0772,2,47.1
57,4961,3003,1,0,1,3,0.2857,1,0,0,0,0,0,0,0,3,1.778,0.021,2,49.3
58,4958,3128,2,0,2,5,1.0,1,0,0,0,0,0,0,0,3,1.8481,0.0701,2,47.5
59,4958,2968,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.7723,-0.0759,2,49.0
60,4957,3115,1,0,1,5,0.8,1,0,0,0,0,0,0,0,3,1.7895,0.0172,1,47.9
61,4956,3043,3,0,3,5,1.28,1,0,0,0,0,0,0,0,1,1.8611,0.0716,1,48.6
62,4956,3102,2,0,2,3,0.6667,1,0,0,0,0,0,0,0,3,1.9017,0.0406,2,48.3
63,4956,3052,1,0,1,5,0.24,1,0,0,0,0,0,0,0,3,1.9373,0.0356,2,48.1
64,4955,2998,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9794,0.0421,2,48.0
65,4954,2970,1,0,1,4,1.0,1,0,0,0,0,0,0,0,1,1.9621,-0.0172,1,46.6
66,4949,2972,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9853,0.0231,1,48.2
67,4948,3086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9966,0.0113,1,47.9
68,4947,3077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9337,-0.063,1,48.5
69,4947,3076,4,0,4,5,1.0,2,0,0,0,0,0,0,0,1,1.9291,-0.0046,1,48.4
70,4946,3189,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9532,0.0241,1,47.4
71,4946,3072,2,0,2,5,0.32,2,0,0,0,0,0,0,0,1,1.977,0.0238,1,47.7
72,4945,3040,3,0,3,5,1.0,1,0,0,0,0,0,0,0,3,1.9597,-0.0173,1,46.0
73,4945,3064,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9641,0.0043,2,48.9
74,4945,2995,2,0,2,5,1.6,1,0,0,0,0,0,0,0,1,1.981,0.0169,1,48.0
75,4945,3073,2,0,2,5,1.6,2,0,0,0,0,0,0,0,1,1.9586,-0.0224,1,48.9
76,4944,3026,1,0,1,4,0.6667,1,0,0,0,0,0,0,0,3,1.8998,-0.0588,2,48.3
77,4944,2999,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9046,0.0048,2,47.3
78,4944,3041,2,0,2,5,1.125,2,0,0,0,0,0,0,0,3,1.7773,-0.1273,1,48.2
79,4941,3073,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.745,-0.0322,1,47.8
80,4940,2963,1,0,1,5,0.2,1,0,0,0,0,0,0,0,3,1.8909,0.1459,1,48.6
81,4937,3002,1,0,1,3,0.6667,1,0,0,0,0,0,0,0,3,1.9251,0.0342,1,47.7
82,4935,2957,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9363,0.0112,2,48.0
83,4934,3020,2,0,2,4,0.8,2,0,0,0,0,0,0,0,3,1.9406,0.0044,1,48.4
84,4934,3142,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9211,-0.0196,1,47.4
85,4931,3018,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9337,0.0126,1,46.7
86,4930,3004,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.958,0.0244,1,46.2
87,4930,3104,1,0,1,5,0.5333,2,0,0,0,0,0,0,0,3,1.9698,0.0118,1,47.8
88,4930,3039,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9899,0.0201,1,47.7
89,4930,3124,2,0,2,5,1.2,1,0,0,0,0,0,0,0,1,1.9628,-0.0272,1,48.4
90,4929,3029,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9409,-0.0219,1,47.8
91,4929,3089,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9373,-0.0036,1,48.7
92,4929,3121,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.957,0.0197,1,48.1
93,4929,3025,1,0,1,4,1.0,1,0,0,0,0,0,0,0,1,1.9212,-0.0359,1,47.6
94,4929,2923,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.916,-0.0051,1,47.2
95,4929,3077,1,0,1,5,0.75,1,0,0,0,0,0,0,0,0,1.9612,0.0452,1,45.3
96,4929,3042,1,0,1,3,1.3333,2,0,0,0,0,0,0,0,3,1.9575,-0.0037,1,48.8
97,4928,3005,1,0,1,5,0.2286,1,0,0,0,0,0,0,0,3,1.9926,0.0351,2,47.1
98,4928,2862,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8937,-0.099,2,46.8
99,4928,3018,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9329,0.0393,1,48.2
100,4928,2990,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9539,0.021,1,47.3
101,4927,3023,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8908,-0.0631,1,46.8
102,4927,3009,1,0,1,3,0.3333,1,0,0,0,0,0,0,0,1,1.9153,0.0245,1,45.8
103,4927,3014,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9,-0.0153,1,48.6
104,4927,3086,1,0,1,5,1.2,1,0,0,0,0,0,0,0,1,1.9413,0.0413,1,46.9
105,4926,2972,1,0,1,5,0.3,1,0,0,0,0,0,0,0,1,1.9332,-0.0081,1,48.3
106,4924,3009,1,0,1,5,0.2667,1,0,0,0,0,0,0,0,3,1.9809,0.0477,2,48.1
107,4923,2996,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9852,0.0043,2,47.6
108,4923,3048,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.982,-0.0032,1,48.5
109,4923,3064,1,0,1,4,2.0,1,0,0,0,0,0,0,0,1,1.9735,-0.0085,1,47.6
110,4922,3025,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9598,-0.0137,1,48.5
111,4922,3102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9125,-0.0473,1,46.8
112,4921,2948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8391,-0.0735,1,48.5
113,4920,3051,1,0,1,5,0.2,1,0,0,0,0,0,0,0,0,1.9259,0.0868,1,46.7
114,4918,2944,2,0,2,4,1.3333,1,0,0,0,0,0,0,0,3,1.9363,0.0104,1,46.5
115,4918,3085,3,0,3,5,0.48,2,0,0,0,0,0,0,0,1,1.9539,0.0176,2,47.8
116,4917,2928,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9774,0.0235,2,46.8
117,4915,3021,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9544,-0.023,1,47.9
118,4915,3003,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9075,-0.0469,1,45.4
119,4913,2958,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8788,-0.0287,1,48.8
120,4911,2940,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8248,-0.054,1,46.5
121,4911,3024,2,0,2,5,0.6857,1,0,0,0,0,0,0,0,3,1.9899,0.1651,1,46.8
122,4910,3060,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9785,-0.0114,1,47.8
123,4910,2921,2,0,2,5,1.5,1,0,0,0,0,0,0,0,3,1.9911,0.0126,1,47.2
124,4909,3033,1,0,1,3,0.3333,1,0,0,0,0,0,0,0,1,1.9698,-0.0212,1,47.2
125,4909,3050,1,0,1,4,0.2857,1,0,0,0,0,0,0,0,3,1.9698,0.0,2,46.0
126,4909,3108,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9457,-0.0242,2,48.0
