seed,win,tri,bnd_links,bnd_w,ent,n_br,persist_br,br_life,br_max,gk,div,svi,A_isl,B_isl,C_isl,r0_c,r1_c,r2_c,r3_c,isl_0.10,cisl_0.10,mix_0.10,isl_0.15,cisl_0.15,mix_0.15,isl_0.20,cisl_0.20,mix_0.20,isl_0.25,cisl_0.25,mix_0.25,isl_0.30,cisl_0.30,mix_0.30
11,1,0,2130,59.7253,1.5841,5,0,1.0,1,0,0,0.8165,0,0,1,A,B,A,B,3,1,0,1,1,0,1,1,0,1,0,0,0,0,0
11,2,0,2054,57.3053,1.5847,7,0,1.0,1,0,0,0.0,0,0,0,A,B,A,B,4,0,0,3,0,0,3,0,0,3,0,0,0,0,0
11,3,0,2064,56.3037,1.584,1,0,1.0,1,4,1,0.0,0,0,0,A,B,A,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4,0,2034,55.2786,1.5691,0,0,0,0,4,1,0.0,0,0,0,A,B,A,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,5,0,2033,56.4852,1.512,7,0,1.0,1,3,1,0.0,0,0,0,A,B,A,C,3,0,1,2,0,0,1,0,0,0,0,0,0,0,0
11,6,0,2022,56.9687,1.5514,7,0,1.0,1,4,1,0.0,0,0,1,A,B,A,C,4,1,0,4,1,0,3,1,0,3,1,0,2,1,0
11,7,0,2066,56.962,1.4249,2,0,1.0,1,4,1,0.0,0,0,0,C,B,C,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,8,1,2058,57.7349,1.5512,3,0,1.0,1,1,1,0.0,0,0,0,A,B,A,B,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
11,9,0,2024,56.2888,1.5557,8,0,1.0,1,4,1,0.0,0,0,0,A,C,A,B,2,0,1,2,0,1,1,0,0,1,0,0,1,0,0
11,10,0,2032,57.45,1.5622,9,0,1.0,1,4,1,0.0,0,0,0,A,B,A,B,3,0,1,3,0,0,1,0,0,0,0,0,0,0,0
11,11,0,2062,55.7118,1.5843,2,0,1.0,1,4,1,0.0,0,0,0,A,B,A,B,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,12,0,2070,56.8108,1.5567,5,0,1.0,1,1,1,0.0,0,0,0,A,B,A,B,3,0,1,2,0,1,2,0,1,1,0,1,1,0,1
11,13,0,2002,56.0183,1.5243,7,0,1.0,1,1,1,0.0,0,0,0,A,B,A,B,3,0,0,2,0,0,2,0,0,1,0,0,0,0,0
11,14,1,2086,60.4942,1.5691,8,0,1.0,1,3,1,2.0,0,0,0,A,B,A,B,4,1,1,2,0,1,2,0,1,2,0,1,2,0,1
11,15,1,2043,58.0461,1.5695,5,0,1.0,1,4,0,2.0,0,0,0,C,B,A,B,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0
11,16,0,1998,53.4799,1.5433,0,0,0,0,4,0,0.0,0,0,0,A,B,A,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,17,0,2090,56.152,1.2886,0,0,0,0,4,0,0.0,0,0,0,A,B,A,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,18,0,2100,55.8357,1.5219,0,0,0,0,4,0,0.0,0,0,0,A,B,A,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,19,0,2105,56.2897,1.542,2,0,1.0,1,1,1,0.0,0,0,0,A,B,A,B,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
11,20,0,2101,58.0936,1.2088,4,0,1.0,1,4,0,0.0,0,0,0,C,B,C,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,21,0,2015,56.292,1.5613,2,0,1.0,1,4,0,0.0,0,0,0,A,B,C,B,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
11,22,0,2054,58.5574,1.5462,2,0,1.0,1,4,0,0.0,0,0,0,A,B,A,C,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
11,23,0,2059,56.3629,1.571,3,0,1.0,1,4,0,0.8165,0,1,0,A,B,A,B,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0
11,24,0,2085,57.2373,1.5746,5,0,1.0,1,4,0,0.0,0,0,0,A,B,A,B,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
11,25,0,2029,56.6714,1.5715,4,0,1.0,1,4,0,0.0,0,0,0,A,B,C,B,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
