N,plb,rate,n_seeds,policy,dominant_k,agree_pct,med_sw_100,med_dom_frac,time_stable_count,mean_margin,mean_islands_strong,mean_islands_mid,mean_none_ratio,mean_n_C
2000,0.007,0.001,10,hyst_0.01,4,70.0,8.5,0.52,4,0.0214,0.46,0.92,0.9378,87.6
2000,0.007,0.002,10,hyst_0.01,4,90.0,6.5,0.64,6,0.045,0.42,0.86,0.9409,86.7
