seed,label_id,birth_window,death_window,lifespan,alive,phase_sig,n_core,last_social,last_stability,last_spread,last_familiarity,last_partners,last_st_mean,last_st_std,last_fam_max,last_att_nodes,trajectory_type
2,17,3,69,66,False,-1.7236,4,0.7246,0.6658,0.8399,8.0673,50,28.9,14.5,28.69,907,social|stable|dead
2,32,5,,64,True,-1.0912,3,0.6957,0.6487,0.7682,3.8052,48,17.3,9.4,27.26,450,social|stable|focused_att
2,33,5,,64,True,-1.7418,5,0.7971,0.6621,0.8361,10.9548,55,29.4,15.0,62.6,944,social|stable|deep_conn
2,37,8,,61,True,2.4816,5,0.8986,0.6063,0.8517,13.9038,62,59.8,38.8,62.02,1856,social|stable|wide_att|deep_conn
2,52,10,,59,True,0.3662,4,0.8406,0.6306,0.8327,10.8179,58,29.0,17.0,46.96,971,social|stable|deep_conn
2,53,10,,59,True,-0.056,4,0.7391,0.6145,0.8243,6.5856,51,31.5,19.8,35.11,995,social|stable
2,54,10,45,35,False,3.0155,5,0.8333,0.643,0.8428,14.4475,35,42.1,23.4,47.44,1704,social|stable|deep_conn|dead
2,59,12,,57,True,2.1414,5,0.971,0.6499,0.8262,9.3588,67,41.0,22.1,51.14,1540,social|stable
2,74,14,,55,True,-0.3584,4,0.8551,0.6422,0.8531,9.4258,59,36.3,20.2,57.79,1058,social|stable|wide_att
2,91,16,24,8,False,-0.756,2,0.2381,0.6661,0.7315,8.1932,10,6.8,3.4,33.69,141,stable|focused_att|dead
2,102,18,,51,True,-0.7674,5,0.971,0.6443,0.8641,14.0505,67,56.6,31.3,72.33,1836,social|stable|wide_att|deep_conn
2,104,18,,51,True,1.0137,5,0.7391,0.7255,0.8468,4.7525,51,16.1,6.1,40.16,438,social|stable
2,109,18,21,3,False,-0.0799,2,0.1379,0.5713,0.7822,10.7557,4,7.5,5.6,12.86,133,isolated|stable|focused_att|deep_conn|dead
2,111,19,,50,True,-1.629,5,0.9275,0.6696,0.8319,9.3432,64,35.6,17.6,60.8,1328,social|stable
2,112,19,41,22,False,1.2871,2,0.1633,0.7005,0.7289,2.2123,8,2.1,0.9,16.46,20,stable|focused_att|dead
2,114,20,,49,True,-2.2611,4,0.5942,0.7073,0.8304,6.8703,41,16.6,6.9,51.24,474,social|stable
2,115,20,45,25,False,1.4321,4,0.9286,0.6282,0.8281,6.7137,39,25.9,15.4,53.99,905,social|stable|dead
2,116,20,20,0,False,-1.9155,2,0.2105,0.6534,0.8464,15.5805,4,7.1,3.8,27.37,89,stable|deep_conn|dead
2,117,20,23,3,False,2.8289,2,0.2,0.6222,0.7902,4.8881,8,9.3,5.6,15.08,159,stable|focused_att|dead
2,119,20,20,0,False,2.6096,2,0.1579,0.6991,0.795,19.7917,3,8.0,3.5,23.45,114,stable|focused_att|deep_conn|dead
2,120,20,22,2,False,-2.0202,2,0.3235,0.7003,0.8022,6.8915,11,7.7,3.3,21.98,168,stable|dead
2,121,20,29,9,False,1.1842,2,0.32,0.7025,0.7855,2.3204,16,7.1,3.0,13.8,109,stable|focused_att|dead
2,122,20,21,1,False,-2.009,2,0.1034,0.7181,0.7927,21.7197,3,9.7,3.8,34.77,193,isolated|stable|focused_att|deep_conn|dead
2,124,20,20,0,False,-1.8709,2,0.1579,0.6314,0.8457,10.0059,3,7.1,4.2,15.76,100,stable|deep_conn|dead
2,125,20,25,5,False,-2.0344,4,0.7778,0.6179,0.8524,7.3741,35,30.1,18.6,33.58,1007,social|stable|wide_att|dead
2,127,20,22,2,False,-1.696,2,0.0882,0.6607,0.7762,15.9824,3,6.6,3.4,33.1,119,isolated|stable|focused_att|deep_conn|dead
2,128,20,23,3,False,-2.3977,2,0.225,0.6249,0.7288,10.9073,9,6.1,3.7,19.78,104,stable|focused_att|deep_conn|dead
2,131,20,24,4,False,-3.0708,2,0.3095,0.667,0.7767,3.3228,13,7.5,3.8,14.94,169,stable|focused_att|dead
2,132,20,22,2,False,-0.6434,2,0.0588,0.6935,0.7615,8.2863,2,6.4,2.8,12.7,119,isolated|stable|focused_att|dead
2,133,20,22,2,False,2.3735,2,0.1176,0.6965,0.7164,12.1847,4,5.9,2.6,17.66,120,isolated|stable|focused_att|deep_conn|dead
2,134,20,22,2,False,-1.3334,2,0.1765,0.6519,0.7333,11.3467,6,7.0,3.7,20.62,158,stable|focused_att|deep_conn|dead
2,136,20,22,2,False,-3.0981,2,0.2647,0.7213,0.7512,10.0041,9,7.8,3.0,17.26,178,stable|focused_att|deep_conn|dead
2,137,20,21,1,False,1.8498,2,0.069,0.6629,0.8089,34.0883,2,7.9,4.0,34.52,97,isolated|stable|deep_conn|dead
2,138,20,21,1,False,-2.3707,2,0.069,0.6884,0.7929,15.1859,2,5.3,2.4,26.66,61,isolated|stable|focused_att|deep_conn|dead
2,139,21,26,5,False,-2.0654,3,0.5111,0.6508,0.7826,6.7468,23,14.8,7.9,24.36,447,social|stable|focused_att|dead
2,140,21,,48,True,-0.4339,5,0.9275,0.6657,0.8638,10.0675,64,44.2,22.2,50.13,1627,social|stable|wide_att|deep_conn
2,141,21,,48,True,1.6916,5,0.9565,0.6677,0.861,13.8941,66,49.7,24.7,61.79,1813,social|stable|wide_att|deep_conn
2,142,21,23,2,False,-0.2562,2,0.2,0.6192,0.7533,11.7165,8,8.7,5.3,21.43,172,stable|focused_att|deep_conn|dead
2,143,21,23,2,False,-0.9935,2,0.225,0.6724,0.7323,11.8915,9,6.4,3.1,45.19,156,stable|focused_att|deep_conn|dead
2,146,21,23,2,False,-1.7038,2,0.2,0.6527,0.7784,15.7903,8,7.1,3.8,45.19,146,stable|focused_att|deep_conn|dead
2,148,21,26,5,False,2.9197,2,0.1333,0.6708,0.7999,6.7312,6,8.2,4.0,19.78,154,isolated|stable|focused_att|dead
2,149,22,,47,True,0.4085,5,0.8986,0.6713,0.8582,11.7135,62,46.1,22.6,46.37,1779,social|stable|wide_att|deep_conn
2,150,22,23,1,False,-1.903,2,0.1,0.6914,0.8474,24.8885,4,8.1,3.6,48.04,102,isolated|stable|deep_conn|dead
2,152,22,23,1,False,-1.4316,2,0.1,0.7074,0.8611,19.7842,4,6.2,2.6,46.51,79,isolated|stable|wide_att|deep_conn|dead
2,155,22,23,1,False,-2.2613,2,0.15,0.6685,0.8364,22.9298,6,8.1,4.0,48.04,97,stable|deep_conn|dead
2,156,22,23,1,False,2.2756,2,0.05,0.6839,0.8374,22.6214,2,9.1,4.2,35.63,129,isolated|stable|deep_conn|dead
2,158,22,26,4,False,-3.0834,2,0.1111,0.651,0.792,5.0506,5,6.4,3.4,10.48,119,isolated|stable|focused_att|dead
2,159,22,24,2,False,-0.8528,2,0.119,0.6915,0.7795,12.6444,5,7.9,3.5,28.99,136,isolated|stable|focused_att|deep_conn|dead
2,160,23,,46,True,0.2428,3,0.5507,0.6629,0.8127,6.3844,38,16.9,8.6,24.27,485,social|stable
2,161,23,26,3,False,-0.0576,2,0.2222,0.6934,0.803,4.0154,10,7.7,3.4,10.02,131,stable|dead
2,162,23,24,1,False,-0.1714,2,0.0952,0.6846,0.8265,24.0647,4,8.8,4.1,37.16,127,isolated|stable|deep_conn|dead
2,163,23,25,2,False,0.6024,2,0.2,0.6069,0.7481,12.5762,9,6.9,4.5,27.98,140,stable|focused_att|deep_conn|dead
2,164,24,,45,True,-2.6484,5,0.9275,0.7083,0.8769,16.4937,64,69.3,28.5,65.73,2069,social|stable|wide_att|deep_conn
2,167,25,26,1,False,2.3186,2,0.0667,0.733,0.7969,8.8017,3,8.3,3.0,12.02,109,isolated|stable|focused_att|dead
2,170,26,,43,True,-2.1659,4,0.8551,0.6262,0.8318,6.2963,59,30.7,18.3,39.87,1075,social|stable
2,171,26,27,1,False,0.2339,2,0.0625,0.6382,0.7917,21.2482,3,7.2,4.1,35.84,85,isolated|stable|focused_att|deep_conn|dead
