seed,label_id,birth_window,death_window,lifespan,alive,phase_sig,n_core,last_social,last_stability,last_spread,last_familiarity,last_partners,last_st_mean,last_st_std,last_fam_max,last_att_nodes,trajectory_type
4,330,55,57,2,False,-1.7019,2,0.1455,0.7316,0.7106,8.0206,8,5.8,2.1,14.57,160,isolated|stable|focused_att|dead
4,332,55,58,3,False,-1.608,2,0.1346,0.6951,0.7898,4.3155,7,8.0,3.5,11.48,138,isolated|stable|focused_att|dead
4,335,55,57,2,False,-1.3101,2,0.0909,0.6296,0.7129,16.1339,5,5.9,3.5,31.23,106,isolated|stable|focused_att|deep_conn|dead
4,336,55,56,1,False,1.7986,2,0.037,0.6678,0.8211,23.9793,2,8.8,4.4,32.78,105,isolated|stable|deep_conn|dead
4,338,56,,13,True,1.7858,5,0.8393,0.6643,0.87,14.4045,47,52.7,26.6,53.86,1693,social|stable|wide_att|deep_conn
4,339,56,59,3,False,2.0326,2,0.1569,0.6893,0.7851,12.7254,8,7.1,3.2,38.52,140,stable|focused_att|deep_conn|dead
4,340,56,57,1,False,2.1797,2,0.0909,0.6791,0.7856,14.4589,5,6.0,2.8,42.05,70,isolated|stable|focused_att|deep_conn|dead
4,342,58,61,3,False,2.5069,2,0.1321,0.6536,0.7033,3.5032,7,5.8,3.1,9.33,135,isolated|stable|focused_att|dead
4,344,58,64,6,False,2.6142,2,0.2364,0.6523,0.7154,3.3916,13,6.0,3.2,12.5,120,stable|focused_att|dead
4,345,58,60,2,False,-2.4122,2,0.1538,0.597,0.763,13.9123,8,7.0,4.7,36.87,152,stable|focused_att|deep_conn|dead
4,346,59,61,2,False,0.0364,4,0.4151,0.6221,0.8324,10.4626,22,21.7,13.2,33.25,724,stable|deep_conn|dead
4,348,59,61,2,False,1.2565,2,0.1321,0.6888,0.7178,11.6735,7,5.6,2.5,22.95,121,isolated|stable|focused_att|deep_conn|dead
4,352,59,60,1,False,-0.6833,2,0.0769,0.6465,0.7517,27.4525,4,8.5,4.7,43.9,117,isolated|stable|focused_att|deep_conn|dead
4,353,59,60,1,False,-0.0771,2,0.0577,0.6406,0.7627,36.0279,3,7.4,4.2,39.83,96,isolated|stable|focused_att|deep_conn|dead
4,354,60,,9,True,-3.0312,5,0.875,0.7242,0.8541,13.1664,49,46.9,17.8,68.89,1587,social|stable|wide_att|deep_conn
4,355,61,64,3,False,-2.5137,3,0.4182,0.6458,0.8089,11.5774,23,16.3,8.9,49.12,438,stable|deep_conn|dead
4,358,61,63,2,False,3.0991,2,0.1731,0.629,0.7719,12.6839,9,8.2,4.8,30.08,158,stable|focused_att|deep_conn|dead
4,359,61,62,1,False,-2.4844,2,0.0962,0.6828,0.8344,28.6824,5,7.9,3.7,59.93,99,isolated|stable|deep_conn|dead
4,360,62,65,3,False,-0.343,2,0.193,0.6715,0.749,14.9695,11,6.3,3.1,41.49,108,stable|focused_att|deep_conn|dead
4,361,62,65,3,False,-0.0937,2,0.1579,0.6461,0.7461,10.2481,9,5.8,3.2,41.49,110,stable|focused_att|deep_conn|dead
4,366,62,63,1,False,2.4245,2,0.0577,0.6608,0.8121,38.6631,3,7.8,4.0,79.19,96,isolated|stable|deep_conn|dead
4,367,62,63,1,False,-1.4276,2,0.0962,0.6135,0.8306,28.425,5,7.1,4.5,36.35,80,isolated|stable|deep_conn|dead
4,368,62,64,2,False,1.6672,2,0.0727,0.7,0.7215,14.9462,4,6.0,2.6,29.1,131,isolated|stable|focused_att|deep_conn|dead
4,369,63,,6,True,-2.2321,5,0.75,0.6801,0.8308,18.5546,42,46.3,21.8,75.35,1739,social|stable|deep_conn
4,370,63,,6,True,2.3887,5,0.7857,0.6585,0.849,18.2887,44,47.4,24.6,54.94,1654,social|stable|deep_conn
4,371,63,65,2,False,-0.7637,2,0.1228,0.6998,0.7923,23.2205,7,7.9,3.4,42.08,163,isolated|stable|focused_att|deep_conn|dead
4,374,63,66,3,False,3.0394,2,0.125,0.751,0.7412,5.1782,7,6.7,2.2,8.64,152,isolated|stable|focused_att|dead
4,375,63,64,1,False,-2.4598,2,0.1091,0.5684,0.7604,20.784,6,7.1,5.4,37.6,81,isolated|stable|focused_att|deep_conn|dead
4,376,63,64,1,False,-1.8506,2,0.0545,0.7045,0.8115,28.7299,3,8.1,3.4,39.96,105,isolated|stable|deep_conn|dead
4,377,63,64,1,False,-2.1869,2,0.0909,0.6442,0.8179,15.8086,5,7.0,3.9,39.96,90,isolated|stable|deep_conn|dead
4,379,64,,5,True,1.0364,5,0.6964,0.6835,0.8581,22.1027,39,47.4,21.9,75.35,1649,social|stable|wide_att|deep_conn
4,380,64,,5,True,2.5735,3,0.5179,0.7389,0.8231,11.1569,29,20.1,7.1,39.92,529,social|stable|deep_conn
4,381,64,,5,True,1.9563,5,0.75,0.7032,0.8689,19.5565,42,57.4,24.2,68.89,1936,social|stable|wide_att|deep_conn
4,382,64,65,1,False,0.4553,2,0.1228,0.6501,0.8273,24.5558,7,10.0,5.4,56.06,131,isolated|stable|deep_conn|dead
4,383,64,66,2,False,-2.316,2,0.1786,0.7,0.7891,12.6587,10,7.8,3.3,26.48,145,stable|focused_att|deep_conn|dead
4,386,66,,3,True,-1.8765,2,0.1607,0.6362,0.7427,7.9357,9,5.0,2.8,24.26,108,stable|focused_att
4,387,66,67,1,False,-0.6801,2,0.0377,0.6776,0.8511,51.5456,2,7.3,3.5,52.72,81,isolated|stable|wide_att|deep_conn|dead
4,389,66,,3,True,0.0086,2,0.2321,0.6424,0.8128,5.6437,13,7.5,4.2,27.48,148,stable
4,392,68,,1,True,2.5608,4,0.3036,0.6489,0.8957,19.8976,17,32.1,17.4,45.02,795,stable|wide_att|deep_conn
4,393,68,,1,True,0.7429,2,0.0893,0.6318,0.8223,35.1646,5,7.6,4.4,69.89,85,isolated|stable|deep_conn
4,396,68,69,1,False,1.3973,2,0.0893,0.6283,0.8459,26.1119,5,7.5,4.4,59.45,87,isolated|stable|deep_conn|dead
4,397,68,69,1,False,0.5656,2,0.1071,0.6371,0.8202,14.5355,6,7.7,4.4,33.65,98,isolated|stable|deep_conn|dead
4,398,68,,1,True,0.3811,2,0.0714,0.6853,0.8325,14.5466,4,6.9,3.2,25.54,85,isolated|stable|deep_conn
4,399,68,,1,True,1.923,2,0.1429,0.6923,0.8556,21.8623,8,8.3,3.7,40.34,111,isolated|stable|wide_att|deep_conn
4,401,68,69,1,False,-0.6474,2,0.0893,0.6343,0.7959,16.0082,5,7.5,4.3,59.45,92,isolated|stable|focused_att|deep_conn|dead
4,405,69,,0,True,-0.3401,2,0,0,0,0,0,0,0,0,0,isolated|focused_att
4,406,69,,0,True,-0.2024,2,0,0,0,0,0,0,0,0,0,isolated|focused_att
4,407,69,,0,True,-0.3277,2,0,0,0,0,0,0,0,0,0,isolated|focused_att
