window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop
1,5000,5968,8,6,0,1.9983,0,18.3,0,0,6.53,1.0,5968.0,490,1.0,306,472,166,1706,0.001189,0.0082,398.8581,0,0.0,0.0,0.0014,0,0,0,0,0.05,0.015625,63,0.6875,0.05,0.2914,84,158,64,2058,1387,1384,1.0,0.0,0,0
2,5000,3973,8,5,0,1.9982,0,17.2,388,3560,5.45,0.8575,4644.7,413,1.0,296,24,34,1855,0.001294,0.0112,397.4976,1,0.9,0.0095,0.0016,3,0,0,0,0.04559,0.015625,64,0.6573,0.0919,0.2867,87,144,65,1269,1345,697,1.0,0.0,0,0
3,5000,3502,0,0,1,1.9982,0,16.9,241,3270,4.95,0.8631,4085.3,232,1.0,243,9,62,1811,0.001293,0.0133,273.3728,2,1.9,0.0105,0.0019,0,0,0,0,0.053384,0.015625,63,0.7073,0.1281,0.2898,86,98,59,941,1273,609,1.0,0.0,0,0
4,5000,3248,0,0,3,1.9982,0,16.8,73,3183,4.72,0.87,3759.6,65,1.0,171,2,74,1591,0.001543,0.0196,110.3327,3,2.9,0.0156,0.0027,0,0,0,0,0.060423,0.015625,63,0.7414,0.1879,0.2921,74,55,42,892,1223,544,1.0,0.0,0,0
5,5000,3229,0,0,0,1.9983,0,16.7,2,3222,4.65,0.9013,3582.7,7,1.0,152,2,21,1308,0.001922,0.0214,15.7658,4,3.8,0.0171,0.004,0,0,0,0,0.066381,0.015625,61,0.7646,0.2543,0.2969,63,51,38,800,1326,501,1.0,0.0,0,0
6,5000,3330,1,5,0,1.9982,1,16.7,9,3321,4.75,0.9486,3510.5,9,1.0,138,5,19,1256,0.001938,0.0279,17.8971,5,4.8,0.0225,0.0048,1,0,0,0,0.053648,0.015625,61,0.7087,0.3079,0.298,56,50,32,852,1350,533,1.0,0.0,0,0
7,5000,3230,3,5,0,1.9972,1,16.8,9,3211,4.62,0.9388,3440.4,19,1.0,129,4,13,1239,0.001999,0.0316,45.5696,6,5.6,0.0198,0.0052,3,0,0,0,0.060827,0.015625,60,0.7431,0.3687,0.3109,52,45,32,849,1242,548,1.0,0.0,0,0
8,5000,3292,2,3,0,1.9946,2,16.8,3,3277,4.63,0.9661,3407.4,15,1.0,122,5,12,1195,0.002093,0.0341,35.443,7,6.4,0.0229,0.0056,0,0,0,0,0.065693,0.015625,55,0.7622,0.4344,0.3299,50,39,33,857,1257,540,1.0,0.0,0,0
9,5000,3188,1,3,0,1.9957,2,16.7,3,3177,4.59,0.9478,3363.5,11,1.0,118,5,9,1147,0.001932,0.028,29.0237,8,7.1,0.0182,0.005,0,0,0,0,0.063613,0.015625,55,0.7544,0.4904,0.3352,49,36,33,761,1297,546,1.0,0.0,0,0
10,5000,3182,1,3,1,1.9917,2,16.7,5,3177,4.51,0.9554,3330.5,5,1.0,111,4,11,1093,0.002023,0.0254,14.8368,9,7.9,0.0174,0.0048,0,0,0,0,0.062147,0.015625,55,0.7486,0.5526,0.3427,49,32,30,805,1239,495,1.0,0.0,0,0
11,5000,3232,2,5,0,1.9892,2,16.8,8,3214,4.64,0.9752,3314.1,18,1.0,103,7,15,1059,0.002151,0.0398,53.4125,10,8.6,0.0202,0.0061,1,0,0,0,0.073864,0.015625,52,0.7885,0.6009,0.3459,47,26,30,810,1309,518,1.0,0.0,0,0
12,5000,3189,2,5,1,1.9898,2,16.8,6,3168,4.6,0.9679,3294.9,21,1.0,95,5,13,1026,0.002217,0.0323,60.9756,11,9.2,0.0176,0.0067,1,0,0,0,0.061584,0.015625,48,0.7463,0.6624,0.3519,43,21,31,837,1198,547,1.0,0.0,0,0
13,5000,3171,1,4,1,1.9845,2,16.8,0,3161,4.59,0.9676,3277.2,10,1.0,90,1,6,999,0.002431,0.0437,32.6797,12,10.0,0.024,0.0088,0,0,0,0,0.059375,0.015625,48,0.7368,0.7156,0.3591,41,19,30,817,1279,478,1.0,0.0,0,0
14,5000,3218,2,5,1,1.968,2,16.8,8,3206,4.67,0.9843,3269.3,12,1.0,88,7,9,1000,0.002204,0.0295,36.6972,13,10.3,0.0189,0.0066,1,0,0,0,0.091445,0.015625,47,0.8291,0.7687,0.3666,41,16,31,850,1271,521,1.0,0.0,0,0
15,5000,3252,1,5,3,1.9911,2,16.7,0,3247,4.63,0.9954,3267.1,5,1.0,85,1,4,997,0.002203,0.0453,14.4928,14,11.3,0.0185,0.0071,1,0,0,0,0.07932,0.015625,46,0.803,0.8027,0.3729,40,14,31,868,1269,531,1.0,0.0,0,0
16,5000,3142,1,5,1,1.9846,2,16.7,0,3142,4.54,0.9661,3252.4,0,1.0,78,1,8,966,0.002317,0.0449,0.0,15,12.5,0.0243,0.0084,1,0,0,0,0.086538,0.015625,44,0.8194,0.8284,0.3814,37,12,29,801,1234,523,1.0,0.0,0,0
17,5000,3210,1,3,1,1.9518,2,16.7,0,3205,4.65,0.9884,3247.7,5,1.0,78,4,4,926,0.002159,0.0386,18.1818,16,13.0,0.024,0.0077,0,0,0,0,0.066667,0.015625,43,0.7656,0.8951,0.3886,34,13,31,842,1253,525,1.0,0.0,0,0
18,5000,3135,2,5,1,1.9846,2,16.8,1,3124,4.54,0.9688,3235.8,11,1.0,76,3,5,942,0.00231,0.0456,36.2319,17,13.9,0.0197,0.009,1,0,0,0,0.063158,0.015625,43,0.7526,0.9547,0.3925,33,13,30,792,1218,540,1.0,0.0,0,0
19,5000,3157,1,5,2,1.981,2,16.8,2,3141,4.59,0.978,3227.9,16,1.0,71,3,8,910,0.002432,0.0453,54.7445,18,14.8,0.0241,0.0086,1,0,0,0,0.069686,0.015625,42,0.7758,1.014,0.3991,32,11,28,828,1244,512,1.0,0.0,0,0
20,5000,3125,3,5,3,1.9571,2,16.9,10,3106,4.52,0.9711,3218.1,19,1.0,72,9,8,936,0.002366,0.0473,62.7063,19,14.2,0.0231,0.0094,1,0,0,0,0.085174,0.015625,42,0.8166,1.0676,0.4053,34,8,30,785,1251,510,1.0,0.0,0,0
21,5000,3187,0,0,3,1.9775,2,16.8,0,3182,4.57,0.9912,3215.2,5,1.0,68,0,4,902,0.002262,0.0401,17.301,20,15.3,0.0227,0.0084,0,1,0,0,0.080268,0.015625,40,0.8053,1.1311,0.4117,33,6,29,819,1261,519,1.0,0.0,0,0
22,5000,3157,1,3,3,1.9896,1,16.8,1,3151,4.54,0.9836,3209.6,6,1.0,65,2,5,863,0.002297,0.0403,20.9205,21,16.6,0.0239,0.0085,0,0,0,0,0.084677,0.015625,39,0.8155,1.2158,0.4194,30,6,29,794,1293,491,1.0,0.0,0,0
23,5000,3244,3,5,1,1.9893,1,16.8,3265,0,4.69,1.0181,3215.8,9,1.0,64,5,6,886,0.002226,0.0521,32.2581,22,16.6,0.0208,0.0093,1,0,0,0,0.114583,0.015625,40,0.8636,1.3304,0.4252,28,6,30,856,1268,538,1.0,0.0,0,0
24,5000,3085,3,5,1,1.963,2,16.8,5,3074,4.53,0.9631,3203.3,11,1.0,63,5,6,906,0.002502,0.0456,36.0,23,17.0,0.0242,0.0091,1,0,0,0,0.095057,0.015625,38,0.8356,1.4255,0.4313,27,7,29,811,1233,463,1.0,0.0,0,0
25,5000,3200,1,5,2,1.9622,2,16.6,1,3194,4.58,0.9991,3203.0,6,1.0,63,2,2,901,0.002263,0.0436,17.301,24,18.0,0.0225,0.0083,1,0,0,0,0.087248,0.015625,38,0.8209,1.506,0.4347,27,7,29,839,1226,536,1.0,0.0,0,0
26,4998,3155,1,3,1,1.9341,2,16.6,6,3144,4.59,0.9864,3198.4,11,1.0,69,10,4,948,0.00204,0.0319,36.9004,25,16.9,0.0192,0.0074,0,0,0,0,0.092199,0.015625,40,0.8305,1.5982,0.4372,30,6,33,788,1297,516,1.0,0.0,0,0
27,4996,3216,5,5,1,1.9989,2,16.6,3214,0,4.65,1.0098,3201.7,19,1.0,70,8,7,987,0.002149,0.0439,52.0312,26,16.8,0.0211,0.0089,1,0,0,0,0.112853,0.015625,42,0.8615,1.7111,0.4387,29,6,35,833,1285,512,1.0,0.0,0,0
28,4993,3256,1,5,1,1.9775,2,16.7,3270,0,4.64,1.0221,3209.2,10,1.0,66,1,5,949,0.002172,0.0347,32.7869,27,18.0,0.0201,0.0076,1,0,0,0,0.078864,0.015625,38,0.8019,1.7899,0.4414,28,5,33,809,1320,531,1.0,0.0,0,0
29,4990,3046,0,0,3,1.9733,2,16.5,3,3038,4.53,0.9538,3193.6,8,1.0,68,7,5,963,0.002146,0.033,30.0752,28,18.3,0.0193,0.0071,0,0,0,0,0.069597,0.015625,42,0.7755,1.8595,0.4413,29,6,33,788,1229,497,1.0,0.0,0,0
30,4989,3249,0,0,3,1.9242,1,16.5,3291,0,4.71,1.0295,3203.6,7,1.0,67,2,3,953,0.001914,0.041,21.4286,29,19.1,0.0198,0.0082,0,0,0,0,0.075085,0.015625,42,0.7919,1.9141,0.4417,28,5,34,862,1328,489,1.0,0.0,0,0
31,4987,3243,0,0,3,1.8837,1,16.5,3256,0,4.64,1.0148,3208.6,0,1.0,63,0,4,923,0.001888,0.0356,0.0,30,21.1,0.0233,0.0082,0,1,0,0,0.083004,0.015625,40,0.8118,1.9853,0.4445,27,4,32,838,1306,519,1.0,0.0,0,0
32,4986,3213,0,0,3,1.9597,1,16.5,3216,0,4.6,1.0021,3209.3,0,1.0,61,0,2,899,0.001857,0.0455,0.0,31,22.7,0.0225,0.0098,0,0,0,0,0.094156,0.015625,38,0.8341,2.0794,0.4479,27,4,30,809,1274,559,1.0,0.0,0,0
33,4983,3278,3,5,3,1.9574,1,16.5,3324,0,4.72,1.0376,3222.0,19,1.0,63,10,8,961,0.001927,0.0348,36.9536,32,21.9,0.0222,0.0084,2,0,0,0,0.066456,0.015625,39,0.7649,2.1396,0.448,27,4,32,827,1304,564,1.0,0.0,0,0
34,4980,3235,0,0,3,1.9668,1,16.6,3222,0,4.66,1.0042,3223.4,15,1.0,61,5,7,903,0.002015,0.0336,53.7634,33,21.4,0.0215,0.0079,0,0,0,0,0.07047,0.015625,37,0.7783,2.21,0.4474,23,4,34,829,1305,499,1.0,0.0,0,0
35,4976,3184,0,0,3,1.9197,1,16.7,10,3169,4.57,0.9889,3219.7,15,1.0,58,0,3,893,0.002016,0.0397,56.6038,34,22.8,0.022,0.0087,0,0,0,0,0.061372,0.015625,37,0.7454,2.2642,0.4471,22,4,32,813,1248,551,1.0,0.0,0,0
36,4976,3130,2,4,3,1.9408,1,16.6,7,3118,4.59,0.9747,3211.1,12,1.0,58,3,3,913,0.002082,0.0426,40.8922,35,23.4,0.0238,0.0103,0,0,0,0,0.078014,0.015625,38,0.7997,2.3422,0.4486,23,4,31,830,1224,481,1.0,0.0,0,0
37,4974,3184,4,5,1,1.9526,1,16.5,1,3169,4.67,0.9923,3208.6,15,1.0,58,5,5,945,0.002286,0.0377,49.2958,36,23.1,0.0225,0.009,3,0,0,0,0.089041,0.015625,39,0.8245,2.4073,0.4482,23,5,30,792,1244,545,1.0,0.0,0,0
38,4971,3214,2,4,3,1.9626,2,16.6,3203,0,4.64,1.0021,3209.3,13,1.0,57,2,3,956,0.002345,0.0439,45.7746,37,24.3,0.021,0.0099,0,0,0,0,0.074324,0.015625,38,0.7898,2.4816,0.448,22,5,30,799,1253,531,1.0,0.0,0,0
39,4969,3196,0,0,3,1.9174,2,20.8,1,3190,4.69,0.9963,3208.0,6,1.0,55,1,3,940,0.002207,0.0401,16.0772,38,25.6,0.0243,0.0103,0,0,0,0,0.064815,0.015625,38,0.7589,2.531,0.4488,21,5,29,837,1230,522,1.0,0.0,0,0
40,4967,3153,0,0,3,1.9742,1,16.4,0,3153,4.59,0.9845,3202.8,0,1.0,54,0,1,920,0.002049,0.0581,0.0,39,26.3,0.0261,0.0128,0,0,0,0,0.073643,0.015625,36,0.7878,2.6046,0.4513,20,5,29,816,1253,514,1.0,0.0,0,0
41,4967,3231,1,4,1,1.9785,1,16.4,3248,0,4.69,1.0139,3207.5,4,1.0,51,1,4,903,0.001903,0.0368,13.8408,40,26.0,0.0238,0.008,0,0,0,0,0.070234,0.015625,35,0.7775,2.638,0.4526,17,5,29,809,1292,519,1.0,0.0,0,0
42,4966,3131,1,4,3,1.9772,1,16.4,13,3118,4.48,0.9784,3200.2,13,1.0,53,7,5,951,0.001941,0.0353,31.807,41,26.0,0.024,0.0092,0,0,0,0,0.076923,0.015625,37,0.7969,2.6829,0.4537,17,5,31,768,1265,505,1.0,0.0,0,0
43,4965,3203,0,0,3,1.9852,2,16.5,3199,0,4.6,1.0008,3200.4,4,1.0,51,0,2,927,0.001801,0.033,14.9254,42,27.9,0.0225,0.0077,0,0,0,0,0.058608,0.015625,36,0.7334,2.7159,0.4546,17,5,29,804,1279,541,1.0,0.0,0,0
44,4964,3180,2,5,3,1.9158,1,16.3,8,3167,4.64,0.9942,3198.5,13,1.0,53,2,0,941,0.001957,0.049,43.6242,43,27.8,0.0219,0.0097,1,0,0,0,0.071895,0.015625,35,0.7827,2.7584,0.4555,19,5,29,823,1231,508,1.0,0.0,0,0
45,4961,3245,0,0,3,1.93,1,16.4,3271,0,4.75,1.0219,3205.9,5,1.0,53,0,0,941,0.001993,0.0516,16.4474,44,28.8,0.0243,0.012,0,0,0,0,0.070968,0.015625,35,0.7798,2.8293,0.457,19,5,29,804,1286,514,1.0,0.0,0,0
46,4960,3200,2,5,3,1.9183,1,16.4,3,3182,4.62,0.9983,3205.3,18,1.0,56,5,2,989,0.002062,0.0539,55.7276,45,27.4,0.0231,0.0102,2,0,0,0,0.095808,0.015625,35,0.8369,2.8862,0.4585,22,5,29,806,1267,531,1.0,0.0,0,0
47,4959,3051,3,5,0,1.8044,1,16.7,5,3037,4.44,0.9562,3190.6,14,1.0,54,5,7,979,0.001896,0.0397,38.2322,46,28.0,0.0228,0.0084,1,2,0,0,0.079422,0.015625,34,0.8033,2.9295,0.4603,20,4,30,764,1225,529,1.0,0.0,0,0
