window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop
1,5000,6070,21,5,0,1.9994,0,18.5,0,0,6.73,1.0,6070.0,560,1.0,349,519,170,1923,0.001034,0.0077,398.8604,0,0.0,0.0064,0.0012,2,0,0,0,0.032097,0.015625,63,0.5132,0.0321,0.2684,89,153,107,2125,1373,1394,1.0,0.0,0,0
2,5000,4063,2,4,0,1.9994,0,17.6,440,3635,5.45,0.861,4749.3,428,1.0,320,16,45,1987,0.001138,0.0095,371.9512,1,1.0,0.0074,0.0014,0,0,0,0,0.040513,0.015625,63,0.6143,0.0676,0.2754,90,131,99,1294,1308,703,1.0,0.0,0,0
3,5000,3598,2,5,0,1.9994,0,17.3,273,3343,5.09,0.8659,4187.7,255,1.0,275,2,47,1890,0.001199,0.0109,264.7975,2,2.0,0.0082,0.0017,2,0,0,0,0.043697,0.015625,63,0.6424,0.1113,0.2879,85,108,82,934,1340,628,1.0,0.0,0,0
4,5000,3352,1,5,0,1.9994,0,17.1,84,3272,4.78,0.8722,3859.0,80,1.0,189,1,87,1724,0.001323,0.0177,121.0287,3,2.9,0.0133,0.0027,1,1,0,0,0.043038,0.015625,63,0.6369,0.1442,0.2988,75,54,60,918,1270,496,1.0,0.0,0,0
5,5000,3238,1,3,0,1.9993,0,17.0,5,3220,4.63,0.887,3652.7,18,1.0,168,4,25,1360,0.001855,0.0401,37.8947,4,3.8,0.021,0.0046,0,0,0,0,0.062124,0.015625,60,0.7485,0.1823,0.3126,66,49,53,838,1288,512,1.0,0.0,0,0
6,5000,3269,0,0,1,1.9996,0,17.0,4,3261,4.66,0.9227,3543.0,8,1.0,148,4,24,1254,0.001807,0.0306,17.4292,5,4.7,0.0224,0.0045,0,0,0,0,0.042857,0.015625,61,0.6354,0.2231,0.3186,58,43,47,839,1328,505,1.0,0.0,0,0
7,5000,3269,3,5,0,1.999,1,16.8,9,3260,4.67,0.9408,3474.5,9,1.0,117,3,34,1235,0.001958,0.033,20.4082,6,5.6,0.0206,0.0049,2,0,0,0,0.047423,0.015625,60,0.6705,0.2458,0.3144,47,31,39,810,1312,530,1.0,0.0,0,0
8,5000,3139,1,4,0,1.9916,1,16.6,0,3139,4.58,0.9232,3400.0,0,1.0,102,1,16,1005,0.002411,0.0365,0.0,7,6.5,0.0178,0.0062,0,0,0,0,0.050562,0.015625,54,0.691,0.2767,0.3191,41,26,35,778,1259,507,1.0,0.0,0,0
9,5000,3230,1,3,0,1.9949,2,16.6,3,3227,4.56,0.9596,3366.0,3,1.0,98,1,5,984,0.002357,0.0343,9.4637,8,7.4,0.0213,0.0063,0,0,0,0,0.049844,0.015625,54,0.6865,0.3114,0.3273,39,24,35,814,1293,534,1.0,0.0,0,0
10,5000,3207,1,4,1,1.9932,2,16.6,7,3200,4.58,0.961,3337.1,7,1.0,93,2,7,952,0.002292,0.0282,20.2312,9,8.2,0.0184,0.0063,0,0,0,0,0.062147,0.015625,54,0.7486,0.3574,0.3257,37,24,32,775,1320,505,1.0,0.0,0,0
11,5000,3187,0,0,3,1.9977,2,16.7,3,3184,4.6,0.9622,3312.1,3,1.0,84,0,9,903,0.002288,0.0265,10.2041,10,9.2,0.0188,0.0064,0,0,0,0,0.046358,0.015625,52,0.6629,0.4038,0.3281,33,22,29,852,1260,531,1.0,0.0,0,0
12,5000,3250,0,0,3,1.9819,1,16.6,3,3247,4.6,0.9841,3302.5,3,1.0,79,0,5,853,0.002386,0.0406,11.3208,11,10.2,0.0185,0.0071,0,0,0,0,0.04797,0.015625,48,0.6743,0.448,0.3346,30,20,29,815,1289,546,1.0,0.0,0,0
13,5000,3090,1,5,0,1.9871,1,16.4,7,3078,4.52,0.9443,3272.2,12,1.0,78,5,6,885,0.00241,0.0451,35.5872,12,11.0,0.0243,0.008,1,0,0,0,0.059028,0.015625,49,0.7353,0.4932,0.3374,30,18,30,806,1220,507,1.0,0.0,0,0
14,5000,3276,2,5,3,1.9612,1,16.4,3265,0,4.62,1.0015,3272.9,13,1.0,76,3,5,875,0.00237,0.0365,37.1517,13,11.6,0.0289,0.0086,1,0,0,0,0.06079,0.015625,46,0.743,0.5205,0.344,30,15,31,843,1256,559,1.0,0.0,0,0
15,5000,3128,1,3,3,1.9408,2,16.3,4,3114,4.6,0.961,3254.8,14,1.0,73,3,6,850,0.002522,0.049,49.8221,14,12.2,0.028,0.0088,0,0,0,0,0.083916,0.015625,45,0.8138,0.5555,0.3512,29,12,32,798,1236,498,1.0,0.0,0,0
16,5000,3152,1,3,3,1.9785,2,24.2,0,3142,4.53,0.972,3242.7,10,1.0,74,4,3,857,0.00217,0.0356,37.7358,15,12.8,0.0236,0.0079,0,0,0,0,0.05694,0.015625,46,0.7256,0.6089,0.358,31,11,32,803,1291,491,1.0,0.0,0,0
17,5000,3221,1,3,3,1.8656,2,24.2,4,3213,4.64,0.994,3240.3,8,1.0,70,5,9,839,0.002273,0.0359,23.7288,16,13.3,0.0245,0.0082,0,0,0,0,0.065359,0.015625,46,0.7609,0.6579,0.3631,30,10,30,807,1289,538,1.0,0.0,0,0
18,5000,3257,2,3,3,1.8463,2,24.2,3252,0,4.63,1.0054,3242.4,8,1.0,72,8,6,867,0.002295,0.04,22.2222,17,13.6,0.0219,0.0079,0,0,0,0,0.064615,0.015625,44,0.7582,0.6856,0.3675,30,11,31,856,1272,513,1.0,0.0,0,0
19,5000,3134,1,5,3,1.8288,2,23.8,4,3125,4.54,0.9698,3231.5,9,1.0,69,1,4,853,0.002149,0.0335,34.3511,18,14.8,0.0231,0.0074,1,0,0,0,0.070632,0.015625,42,0.7788,0.7339,0.3739,28,11,30,746,1277,535,1.0,0.0,0,0
