window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop
20,5000,3264,2,5,3,1.9125,1,16.6,3266,0,4.65,1.0067,3256.1,12,1.0,78,2,2,940,0.001976,0.0372,37.7358,19,15.5,0.024,0.0082,2,0,0,0,0.058824,0.015625,42,0.7344,0.7705,0.3471,35,14,29,833,1317,528,1.0,0.0,0,0
21,5000,3173,3,3,3,1.8769,2,16.6,15,3153,4.57,0.9768,3248.2,20,1.0,82,9,5,989,0.001846,0.0335,52.4781,20,15.4,0.0203,0.0065,0,0,0,0,0.061453,0.015625,42,0.7457,0.8152,0.3526,37,13,32,788,1308,460,1.0,0.0,0,0
22,5000,3225,3,5,3,1.9704,2,16.7,12,3203,4.64,0.9935,3246.0,22,1.0,83,3,2,1016,0.001883,0.0334,62.6959,21,16.0,0.0154,0.0067,1,0,0,0,0.045593,0.015625,44,0.6573,0.8547,0.3538,36,13,34,834,1287,535,1.0,0.0,0,0
23,5000,3203,1,5,3,1.9761,2,16.6,12,3183,4.61,0.988,3241.9,20,1.0,81,1,3,1016,0.002043,0.0343,57.6923,22,16.8,0.0187,0.0078,1,0,0,0,0.05296,0.015625,44,0.705,0.8952,0.3549,35,13,33,813,1262,506,1.0,0.0,0,0
24,4999,3220,2,5,3,1.9747,2,20.1,11,3204,4.68,0.9939,3239.8,16,1.0,77,2,6,1017,0.002017,0.0379,48.7805,23,17.2,0.0199,0.0077,2,0,0,0,0.06414,0.015625,42,0.7564,0.9379,0.3555,31,11,35,782,1265,513,1.0,0.0,0,0
25,4999,3135,1,3,3,1.9819,2,16.9,10,3125,4.57,0.9706,3229.8,10,1.0,76,5,6,1021,0.002084,0.0364,25.3165,24,18.0,0.0199,0.008,0,0,0,0,0.069697,0.015625,45,0.7758,0.9864,0.3543,30,11,35,803,1252,517,1.0,0.0,0,0
26,4999,3081,3,4,1,1.9942,2,16.6,8,3064,4.49,0.9581,3215.7,17,1.0,81,9,4,1044,0.001847,0.0404,48.1586,25,17.1,0.019,0.007,0,0,0,0,0.061995,0.015625,47,0.748,1.0187,0.3528,30,13,38,804,1219,473,1.0,0.0,0,0
27,4998,3138,2,5,2,1.972,2,16.7,4,3129,4.56,0.9781,3208.3,9,1.0,77,2,6,1038,0.002043,0.0346,27.027,26,18.1,0.0197,0.0078,1,0,0,0,0.066282,0.015625,48,0.7643,1.0821,0.3523,30,12,35,778,1232,527,1.0,0.0,0,0
28,4998,3167,1,5,1,1.9737,2,16.7,4,3158,4.62,0.9883,3204.3,9,1.0,73,1,5,1029,0.002041,0.041,25.4237,27,19.4,0.0214,0.0083,1,0,0,0,0.071038,0.015625,44,0.78,1.1504,0.3557,29,11,33,774,1300,557,1.0,0.0,0,0
29,4997,3205,0,0,0,1.9798,2,16.7,3198,0,4.59,1.0002,3204.4,7,1.0,70,3,6,1013,0.001963,0.0401,14.7929,28,20.4,0.0189,0.0076,0,0,0,0,0.108883,0.015625,44,0.8565,1.202,0.3589,27,10,33,810,1299,532,1.0,0.0,0,0
