window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop
1,5000,5886,14,5,0,1.9987,0,19.6,0,0,6.44,1.0,5886.0,621,1.0,388,591,203,2128,0.000932,0.0082,413.1737,0,0.0,0.0079,0.0011,2,0,0,0,0.030194,0.015625,64,0.4825,0.0302,0.2371,88,205,95,2026,1318,1427,1.0,0.0,0,0
2,5000,4165,4,4,0,1.9987,0,18.4,449,3709,5.6,0.8798,4745.3,456,1.0,362,21,47,2215,0.001048,0.0084,355.7467,1,1.0,0.0075,0.0012,0,0,0,0,0.032954,0.015625,64,0.5259,0.056,0.2179,88,182,92,1335,1339,755,1.0,0.0,0,0
3,5000,3604,1,3,0,1.9986,0,18.3,306,3327,5.15,0.8672,4189.2,277,1.0,306,5,61,2101,0.001057,0.0094,272.6378,2,1.9,0.0074,0.0015,0,0,0,0,0.031177,0.015625,64,0.4988,0.0872,0.2174,80,142,84,944,1337,627,1.0,0.0,0,0
4,5000,3346,3,5,0,1.9988,0,18.1,112,3244,4.76,0.8729,3861.9,102,1.0,217,13,102,1936,0.00122,0.0107,142.6554,3,2.8,0.0083,0.002,2,0,0,0,0.036773,0.015625,63,0.5751,0.1239,0.2199,66,88,63,892,1270,510,1.0,0.0,0,0
5,5000,3390,4,5,0,1.9989,0,18.2,32,3346,4.81,0.9156,3705.6,44,1.0,153,7,71,1628,0.00159,0.0262,76.9231,4,3.6,0.0162,0.0037,2,0,0,0,0.046225,0.015625,62,0.662,0.1565,0.2221,50,57,46,922,1323,504,1.0,0.0,0,0
6,5000,3287,3,4,0,1.9989,2,18.1,11,3265,4.76,0.9168,3586.3,22,1.0,117,7,43,1347,0.001877,0.0301,45.7666,5,4.4,0.0174,0.0044,0,0,0,0,0.048096,0.015625,58,0.6751,0.2045,0.2268,40,42,35,883,1272,544,1.0,0.0,0,0
7,5000,3235,1,5,0,1.9988,2,17.8,8,3222,4.62,0.9247,3498.5,13,1.0,107,4,14,1096,0.002363,0.034,35.3261,6,5.3,0.0194,0.0058,1,0,0,0,0.060209,0.015625,54,0.7405,0.249,0.243,39,37,31,820,1318,529,1.0,0.0,0,0
8,5000,3248,3,5,0,1.9985,2,17.9,9,3229,4.75,0.9434,3442.8,19,1.0,106,8,9,1059,0.002447,0.039,51.6304,7,5.9,0.0201,0.0062,1,0,0,0,0.051948,0.015625,51,0.6992,0.2906,0.2592,41,35,30,839,1256,536,1.0,0.0,0,0
9,5000,3267,0,0,3,1.9977,2,17.8,6,3256,4.64,0.9587,3407.6,11,1.0,97,1,10,1013,0.002361,0.0299,31.1526,8,6.9,0.0157,0.0059,0,0,0,0,0.086567,0.015625,49,0.8195,0.3127,0.2794,38,30,29,853,1261,552,1.0,0.0,0,0
10,5000,3208,2,5,0,1.9952,1,17.7,4,3194,4.61,0.9515,3371.3,14,1.0,88,3,12,973,0.002556,0.0432,41.6667,9,7.8,0.0243,0.0077,1,1,0,0,0.052469,0.015625,49,0.7022,0.3528,0.2925,34,26,28,790,1220,545,1.0,0.0,0,0
