window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop
1,5000,6048,13,6,0,1.9997,0,18.4,0,0,6.65,1.0,6048.0,619,1.0,380,586,206,2119,0.000973,0.0111,398.19,0,0.0,0.0101,0.0012,2,0,0,0,0.03821,0.015625,64,0.5911,0.0382,0.2767,123,150,107,2190,1326,1413,1.0,0.0,0,0
2,5000,4065,1,5,0,1.9998,0,17.1,482,3565,5.43,0.861,4732.7,500,1.0,361,11,30,2133,0.001056,0.0067,398.7241,1,1.0,0.0061,0.0012,1,0,0,0,0.034314,0.015625,64,0.5446,0.0676,0.2523,116,138,107,1292,1271,765,1.0,0.0,0,0
3,5000,3602,3,4,0,1.9998,0,16.8,317,3302,5.13,0.8684,4182.3,300,1.0,312,8,57,2081,0.001053,0.0114,271.9855,2,1.9,0.0072,0.0015,0,0,0,0,0.033619,0.015625,63,0.5352,0.099,0.242,111,105,96,1000,1336,584,1.0,0.0,0,0
4,5000,3413,1,4,0,1.9997,0,16.7,121,3304,4.86,0.8845,3883.4,109,1.0,232,10,90,1888,0.00114,0.0118,140.2597,3,2.8,0.009,0.0021,0,0,0,0,0.04086,0.015625,62,0.6176,0.1398,0.249,96,63,73,932,1280,512,1.0,0.0,0,0
5,5000,3259,0,0,3,1.9997,0,16.7,21,3233,4.63,0.8877,3676.9,26,1.0,206,0,26,1536,0.001495,0.0174,43.3333,4,3.9,0.0131,0.0028,0,0,0,0,0.039432,0.015625,59,0.6038,0.1793,0.2608,83,54,69,851,1262,519,1.0,0.0,0,0
6,5000,3293,0,0,3,1.9999,1,16.7,3,3290,4.63,0.9231,3567.2,3,1.0,189,0,17,1470,0.001455,0.0221,5.8366,5,4.9,0.0104,0.0031,0,0,0,0,0.042357,0.015625,59,0.6311,0.2216,0.2693,76,50,63,840,1272,509,1.0,0.0,0,0
7,5000,3284,1,6,0,1.9986,1,16.7,5,3275,4.66,0.9392,3496.4,9,1.0,174,2,17,1408,0.001516,0.0236,18.3299,6,5.8,0.0131,0.0038,0,0,0,0,0.03937,0.015625,59,0.6031,0.2571,0.2752,73,43,58,847,1313,490,1.0,0.0,0,0
8,5000,3247,0,0,3,1.9941,1,16.6,0,3247,4.66,0.9436,3441.0,0,1.0,154,0,20,1302,0.001556,0.0319,0.0,7,6.8,0.0135,0.0045,0,0,0,0,0.040426,0.015625,56,0.6135,0.2975,0.2763,67,34,53,823,1290,509,1.0,0.0,0,0
9,5000,3123,0,0,3,1.9933,1,16.6,0,3123,4.5,0.9247,3377.4,0,1.0,138,0,16,1219,0.001575,0.031,0.0,8,7.8,0.0146,0.0046,0,0,0,0,0.056848,0.015625,56,0.7251,0.344,0.2879,61,28,49,770,1253,543,1.0,0.0,0,0
10,5000,3206,2,3,0,1.9928,1,16.7,3,3200,4.64,0.9581,3346.2,6,1.0,133,4,9,1228,0.001589,0.0288,12.3457,9,8.6,0.012,0.0047,0,0,0,0,0.043165,0.015625,56,0.638,0.3872,0.2964,58,28,47,838,1273,507,1.0,0.0,0,0
11,5000,3152,2,4,0,1.994,1,16.6,4,3148,4.55,0.9512,3313.9,4,1.0,128,2,7,1202,0.001796,0.0366,10.0251,10,9.4,0.0122,0.0058,0,0,0,0,0.04878,0.015625,56,0.6797,0.4335,0.3007,57,23,48,815,1244,531,1.0,0.0,0,0
12,5000,3185,0,0,1,1.9907,2,16.6,0,3185,4.61,0.9669,3294.0,0,1.0,119,0,9,1140,0.001624,0.0257,0.0,11,10.4,0.0137,0.005,0,0,0,0,0.041131,0.015625,55,0.6201,0.4669,0.3065,55,19,45,775,1265,527,1.0,0.0,0,0
13,5000,3140,1,4,3,1.9912,1,16.7,4,3131,4.55,0.9596,3272.0,9,1.0,114,7,12,1095,0.001671,0.027,25.3521,12,10.8,0.0144,0.0053,0,0,0,0,0.06469,0.015625,56,0.7585,0.5316,0.3082,52,20,42,827,1215,518,1.0,0.0,0,0
14,5000,3284,1,3,1,1.9624,1,16.7,3284,0,4.68,1.0055,3274.8,9,1.0,103,3,14,1037,0.001858,0.025,25.9366,13,11.6,0.0157,0.0057,0,0,0,0,0.047222,0.015625,55,0.6691,0.5733,0.3095,49,17,37,856,1291,513,1.0,0.0,0,0
15,5000,3163,0,0,3,1.9329,2,16.7,0,3159,4.55,0.97,3260.9,4,1.0,94,0,9,993,0.00178,0.0254,11.7302,14,12.8,0.0207,0.0058,0,0,0,0,0.067797,0.015625,53,0.7695,0.6128,0.3141,44,16,34,811,1183,529,1.0,0.0,0,0
16,5000,3256,2,5,3,1.9872,1,16.7,10,3246,4.69,0.9987,3260.3,10,1.0,91,5,8,962,0.001959,0.0318,29.6736,15,13.1,0.021,0.0064,1,0,0,0,0.057803,0.015625,50,0.7297,0.6706,0.3178,45,15,31,824,1267,571,1.0,0.0,0,0
17,5000,3087,2,5,1,1.9986,1,16.7,10,3072,4.48,0.9525,3241.0,15,1.0,85,2,8,952,0.002295,0.0406,49.1803,16,13.9,0.0224,0.0082,2,0,0,0,0.065625,0.015625,49,0.7619,0.7206,0.3209,45,12,28,793,1223,502,1.0,0.0,0,0
18,5000,3190,2,3,3,1.9784,2,16.7,13,3177,4.54,0.9859,3235.7,13,1.0,81,2,6,928,0.00219,0.0346,42.4837,17,14.6,0.0252,0.008,0,0,0,0,0.091195,0.015625,48,0.8287,0.7521,0.3238,44,10,27,775,1287,529,1.0,0.0,0,0
19,5000,3185,0,0,1,1.9713,2,16.7,13,3172,4.54,0.9859,3230.6,13,1.0,75,0,6,878,0.002396,0.0392,43.9189,18,15.4,0.0234,0.0088,0,0,0,0,0.084967,0.015625,43,0.8161,0.7946,0.3278,40,9,26,839,1271,503,1.0,0.0,0,0
20,5000,3175,0,0,0,1.9338,1,16.7,6,3169,4.51,0.9844,3225.3,6,1.0,74,3,4,874,0.00222,0.0467,20.6897,19,15.8,0.0344,0.0087,0,0,0,0,0.076667,0.015625,44,0.7962,0.8246,0.3331,40,8,26,833,1253,537,1.0,0.0,0,0
21,5000,3101,0,0,3,1.9531,1,16.7,3,3098,4.52,0.965,3213.5,3,1.0,68,0,6,819,0.002182,0.0481,11.4068,20,16.5,0.0204,0.0083,0,0,0,0,0.059259,0.015625,41,0.7363,0.8727,0.3379,39,5,24,763,1249,504,1.0,0.0,0,0
22,5000,3152,1,4,3,1.9205,1,16.7,10,3142,4.59,0.9827,3207.6,10,1.0,69,4,3,852,0.002087,0.042,32.6087,21,16.8,0.021,0.0087,0,0,0,0,0.059441,0.015625,43,0.7371,0.9007,0.3402,38,6,25,821,1219,525,1.0,0.0,0,0
23,5000,3214,1,3,3,1.8476,1,16.7,3210,0,4.62,1.0032,3208.7,9,1.0,69,3,3,839,0.002247,0.0425,35.4331,22,16.8,0.0251,0.0089,0,0,0,0,0.069498,0.015625,44,0.7752,0.9393,0.3426,37,6,26,789,1296,561,1.0,0.0,0,0
24,5000,3248,0,0,3,1.9051,2,18.6,3265,0,4.61,1.0178,3214.7,7,1.0,63,0,6,806,0.002031,0.0465,28.1124,23,18.2,0.0287,0.0097,0,1,0,0,0.062016,0.015625,43,0.748,1.0013,0.3471,33,5,25,823,1284,515,1.0,0.0,0,0
25,5000,3143,4,5,1,1.9285,1,16.6,20,3118,4.6,0.9798,3207.9,25,1.0,62,4,5,851,0.002484,0.0487,98.0392,24,19.1,0.0257,0.0102,2,0,0,0,0.074906,0.015625,43,0.7914,1.0238,0.3491,31,5,26,825,1245,536,1.0,0.0,0,0
26,5000,3234,0,0,3,1.9525,1,21.2,3236,0,4.56,1.0121,3212.0,15,1.0,59,0,3,800,0.002572,0.0492,63.0252,25,20.2,0.0299,0.0111,0,0,0,0,0.077869,0.015625,39,0.7993,1.0525,0.3534,30,4,25,827,1231,572,1.0,0.0,0,0
27,5000,3288,0,0,3,1.9606,1,21.0,3343,0,4.72,1.0401,3225.6,12,1.0,57,0,2,778,0.002374,0.057,46.1538,26,21.1,0.0326,0.0113,0,0,0,0,0.087452,0.015625,37,0.8213,1.0905,0.3594,28,4,25,834,1324,543,1.0,0.0,0,0
28,5000,3069,1,4,3,1.9383,1,24.0,2,3062,4.43,0.9559,3210.7,7,1.0,58,3,2,795,0.002218,0.0437,28.9256,27,21.6,0.0306,0.011,0,0,0,0,0.06746,0.015625,38,0.7684,1.1143,0.3631,29,3,26,743,1225,533,1.0,0.0,0,0
29,4998,3201,2,5,3,1.9587,1,20.9,0,3186,4.6,0.9973,3209.8,15,1.0,55,2,5,788,0.002416,0.0473,56.1798,28,22.0,0.0259,0.0103,2,0,0,0,0.050909,0.015625,36,0.6931,1.1616,0.3633,29,2,24,841,1289,508,1.0,0.0,0,0
30,4996,3171,2,3,1,1.9875,2,16.7,7,3156,4.58,0.9891,3206.1,15,1.0,57,7,5,816,0.002342,0.0498,53.2787,29,21.7,0.0289,0.0103,0,0,0,0,0.068966,0.015625,39,0.7734,1.1846,0.3645,29,3,25,809,1294,519,1.0,0.0,0,0
31,4995,3127,1,3,2,1.9439,2,16.7,5,3119,4.5,0.9776,3198.6,8,1.0,56,3,4,797,0.0024,0.056,30.837,30,22.4,0.0249,0.011,0,0,0,0,0.068966,0.015625,39,0.7734,1.2233,0.3657,28,3,25,742,1280,504,1.0,0.0,0,0
32,4994,3199,1,3,1,1.9716,2,16.6,3193,0,4.61,1.0004,3198.7,7,1.0,55,3,4,790,0.00239,0.0486,25.0,31,22.7,0.027,0.0106,0,0,0,0,0.060729,0.015625,40,0.7427,1.28,0.3675,27,3,25,810,1288,512,1.0,0.0,0,0
33,4992,3214,1,3,3,1.9574,2,16.7,3217,0,4.59,1.0077,3201.3,9,1.0,55,5,5,797,0.002161,0.0456,34.4828,32,23.0,0.024,0.0107,0,0,0,0,0.06639,0.015625,39,0.7646,1.3215,0.3704,28,3,24,785,1273,512,1.0,0.0,0,0
34,4992,3154,3,5,3,1.846,2,16.7,13,3136,4.55,0.9866,3196.8,18,1.0,61,8,2,841,0.002162,0.0494,70.8661,33,21.6,0.0235,0.0086,2,0,0,0,0.04943,0.015625,42,0.6839,1.3557,0.3693,28,3,30,785,1284,522,1.0,0.0,0,0
35,4992,3166,2,5,3,1.8399,2,16.8,10,3153,4.62,0.9913,3193.9,13,1.0,58,3,6,864,0.002257,0.0369,42.2535,34,22.6,0.0207,0.0084,1,0,0,0,0.060403,0.015625,43,0.7413,1.3692,0.3679,27,2,29,797,1254,542,1.0,0.0,0,0
36,4989,3209,3,5,3,1.9373,2,16.7,3223,0,4.58,1.0111,3197.6,10,1.0,58,6,6,895,0.002367,0.0446,32.5733,35,22.8,0.0257,0.0089,2,0,0,0,0.070064,0.015625,40,0.777,1.4138,0.3696,27,3,28,791,1289,535,1.0,0.0,0,0
37,4988,3149,1,3,3,1.8713,2,16.7,0,3144,4.48,0.9862,3193.0,5,1.0,56,1,3,846,0.002667,0.046,19.3798,36,23.3,0.0279,0.0101,0,0,0,0,0.068966,0.015625,39,0.7734,1.4329,0.3704,26,3,27,733,1319,523,1.0,0.0,0,0
38,4987,3151,2,5,3,1.9191,2,16.7,0,3136,4.47,0.9881,3189.0,15,1.0,55,5,6,844,0.002426,0.0496,59.0551,37,21.8,0.0252,0.0096,1,0,0,0,0.072519,0.015625,40,0.7845,1.4688,0.3715,21,4,30,741,1253,538,1.0,0.0,0,0
39,4986,3144,1,3,3,1.9354,2,16.9,3,3133,4.53,0.9872,3184.7,11,1.0,51,2,6,844,0.002234,0.0441,29.8295,38,24.4,0.026,0.0095,0,0,0,0,0.066176,0.015625,39,0.7639,1.524,0.3745,20,3,28,810,1280,487,1.0,0.0,0,0
40,4986,3271,1,3,0,1.9299,2,17.0,3320,0,4.71,1.0403,3198.2,7,1.0,52,3,2,830,0.002228,0.044,22.8137,39,24.8,0.0237,0.009,0,0,0,0,0.069597,0.015625,39,0.7755,1.5845,0.3756,21,3,28,855,1265,553,1.0,0.0,0,0
41,4985,3139,1,5,1,1.9571,2,16.9,5,3134,4.55,0.9832,3192.6,5,1.0,52,1,1,824,0.002297,0.0549,21.645,40,25.0,0.0256,0.0114,1,0,0,0,0.07173,0.015625,39,0.7822,1.6394,0.3764,20,3,29,762,1248,523,1.0,0.0,0,0
42,4984,3091,0,0,1,1.9486,2,16.7,0,3091,4.5,0.9711,3182.9,0,1.0,49,0,3,819,0.002145,0.0496,0.0,41,27.3,0.0284,0.0111,0,0,0,0,0.057851,0.015625,38,0.7299,1.6766,0.3783,19,2,28,777,1217,532,1.0,0.0,0,0
43,4983,3163,2,4,3,1.8911,1,16.7,7,3151,4.58,0.9943,3181.0,12,1.0,54,9,4,849,0.001944,0.0427,44.4444,42,24.9,0.0202,0.0087,0,0,0,0,0.074733,0.015625,40,0.7909,1.7015,0.3795,23,4,27,811,1260,516,1.0,0.0,0,0
44,4980,3058,0,0,3,1.904,1,16.5,6,3052,4.49,0.9649,3169.3,6,1.0,52,2,4,844,0.002159,0.0588,21.645,43,26.0,0.0226,0.0114,0,0,0,0,0.092437,0.015625,39,0.831,1.7435,0.3806,21,5,26,786,1241,489,1.0,0.0,0,0
45,4979,3111,1,3,3,1.918,1,16.5,4,3102,4.53,0.9833,3163.8,9,1.0,51,4,5,841,0.001954,0.0433,34.0909,44,26.3,0.0233,0.0084,0,1,0,0,0.061372,0.015625,38,0.7454,1.7796,0.3808,20,6,25,769,1239,514,1.0,0.0,0,0
46,4975,3119,0,0,3,1.9142,1,16.5,0,3119,4.51,0.9872,3159.5,0,1.0,47,0,4,803,0.002008,0.0498,0.0,45,29.4,0.0244,0.0109,0,0,0,0,0.072398,0.015625,36,0.7842,1.7977,0.3802,19,4,24,815,1236,516,1.0,0.0,0,0
47,4971,3083,0,0,3,1.9261,1,16.5,0,3083,4.46,0.978,3152.2,0,1.0,44,0,3,771,0.001788,0.0536,0.0,46,30.2,0.0252,0.0122,0,1,0,0,0.075893,0.015625,33,0.7941,1.8456,0.3829,18,4,22,769,1213,523,1.0,0.0,0,0
48,4968,3165,1,5,3,1.899,1,16.7,3181,0,4.59,1.0097,3155.4,5,1.0,45,1,0,776,0.002118,0.0539,20.8333,47,30.5,0.0266,0.0104,1,0,0,0,0.06639,0.015625,32,0.7646,1.8996,0.3845,19,4,22,760,1264,550,1.0,0.0,0,0
49,4967,3172,2,5,3,1.7413,1,16.5,3175,0,4.59,1.0079,3158.0,8,1.0,45,2,2,785,0.002068,0.0657,29.6296,48,30.9,0.0248,0.0116,1,1,0,0,0.069343,0.015625,32,0.7747,1.9336,0.3865,20,3,22,805,1246,535,1.0,0.0,0,0
50,4966,3221,1,3,3,1.9373,2,16.5,3256,0,4.63,1.0297,3167.9,6,1.0,44,5,6,809,0.002065,0.052,6.1826,49,32.3,0.0293,0.012,0,0,0,0,0.064,0.015625,33,0.7559,1.9688,0.3884,19,2,23,816,1299,518,0.0007,0.9993,2847.9,1.7
