window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral,lw_edge_oo,lw_edge_op,lw_edge_pp,thaw_mean_jaccard,thaw_mean_pressure,thaw_mean_add,thaw_mean_drop
1,5000,6092,14,4,0,1.9988,0,18.5,0,0,6.68,1.0,6092.0,619,1.0,394,598,204,2082,0.000917,0.0061,408.0422,0,0.0,0.0,0.0011,0,0,0,0,0.032405,0.015625,64,0.5178,0.0324,0.2411,107,206,81,2070,1439,1445,1.0,0.0,0,0
2,5000,4091,3,5,0,1.9988,0,17.6,463,3622,5.47,0.8627,4779.3,469,1.0,361,10,43,2103,0.001055,0.0078,398.8095,1,1.0,0.0078,0.0012,1,0,0,0,0.033613,0.015625,64,0.5352,0.066,0.2374,104,180,77,1281,1310,775,1.0,0.0,0,0
3,5000,3597,4,5,0,1.9988,0,17.1,263,3349,5.07,0.8633,4204.7,248,1.0,286,10,85,2076,0.001097,0.012,247.2582,2,1.9,0.0084,0.0017,3,0,0,0,0.033466,0.015625,64,0.5331,0.0955,0.2412,93,125,68,955,1364,598,1.0,0.0,0,0
4,5000,3241,0,0,1,1.9988,0,16.9,86,3174,4.69,0.8526,3828.4,67,1.0,242,2,46,1730,0.001358,0.0136,99.4065,3,2.9,0.0112,0.0025,0,0,0,0,0.044898,0.015625,62,0.652,0.123,0.2514,81,101,60,878,1212,528,1.0,0.0,0,0
5,5000,3245,0,0,0,1.9987,0,17.0,14,3234,4.64,0.8936,3634.9,11,1.0,215,0,27,1620,0.00146,0.0226,18.9003,4,3.9,0.0153,0.0031,0,0,0,0,0.045234,0.015625,62,0.6546,0.1682,0.2594,75,90,50,850,1263,531,1.0,0.0,0,0
6,5000,3292,1,4,3,1.999,1,16.9,4,3288,4.7,0.9307,3537.0,4,1.0,199,1,17,1559,0.001412,0.0238,7.0053,5,4.9,0.0149,0.0034,0,0,0,0,0.04584,0.015625,60,0.6591,0.214,0.2658,71,81,47,820,1290,524,1.0,0.0,0,0
7,5000,3237,2,3,0,1.9992,1,16.9,4,3228,4.61,0.935,3462.0,9,1.0,180,7,26,1484,0.001479,0.0209,18.0,6,5.7,0.0143,0.0037,0,0,0,0,0.047529,0.015625,58,0.6713,0.2444,0.2708,67,67,46,846,1302,480,1.0,0.0,0,0
8,5000,3250,0,0,1,1.9949,2,16.8,0,3245,4.69,0.9517,3414.9,5,1.0,163,0,17,1408,0.001451,0.0154,10.1626,7,6.7,0.0115,0.0035,0,0,0,0,0.046154,0.015625,58,0.6615,0.2733,0.2748,59,62,42,859,1247,511,1.0,0.0,0,0
9,5000,3227,3,5,0,1.9862,1,16.8,10,3207,4.6,0.9555,3377.3,20,1.0,148,3,18,1347,0.001642,0.0275,44.1501,8,7.6,0.0172,0.0044,3,0,0,0,0.054968,0.015625,58,0.7157,0.318,0.2781,55,52,41,862,1246,505,1.0,0.0,0,0
10,5000,3263,0,0,1,1.9882,1,16.7,5,3253,4.62,0.9721,3356.5,10,1.0,139,0,9,1291,0.001571,0.0267,22.6757,9,8.5,0.015,0.0043,0,0,0,0,0.042316,0.015625,58,0.6308,0.3448,0.2778,51,48,40,854,1267,533,1.0,0.0,0,0
11,5000,3075,0,0,0,1.9951,1,16.7,0,3070,4.52,0.9291,3309.6,5,1.0,129,0,10,1215,0.001628,0.0318,12.5628,10,9.5,0.0182,0.0048,0,0,0,0,0.07824,0.015625,55,0.8003,0.3863,0.2824,49,43,37,837,1196,490,1.0,0.0,0,0
12,5000,3120,0,0,3,1.9882,1,16.7,0,3120,4.54,0.9511,3280.4,0,1.0,122,0,7,1171,0.00157,0.0277,0.0,11,10.5,0.0144,0.0048,0,0,0,0,0.050378,0.015625,54,0.6898,0.4367,0.2847,45,42,35,819,1244,569,1.0,0.0,0,0
13,5000,3159,1,4,3,1.9867,1,16.7,4,3155,4.58,0.9681,3263.1,4,1.0,117,1,6,1140,0.001626,0.0325,11.2045,12,11.4,0.017,0.0051,0,0,0,0,0.056911,0.015625,54,0.7254,0.4692,0.2881,45,38,34,822,1269,504,1.0,0.0,0,0
14,5000,3133,0,0,3,1.9889,1,16.7,4,3129,4.58,0.9653,3245.7,4,1.0,106,0,11,1065,0.001767,0.0323,11.2045,13,12.3,0.02,0.006,0,0,0,0,0.056604,0.015625,53,0.724,0.5123,0.2924,40,33,33,788,1210,554,1.0,0.0,0,0
15,5000,3190,2,4,3,1.9459,1,16.6,12,3178,4.56,0.9849,3238.8,12,1.0,103,3,6,1057,0.001735,0.0358,33.8462,14,13.0,0.02,0.0066,0,0,0,0,0.056716,0.015625,53,0.7245,0.5422,0.2937,39,31,33,803,1233,550,1.0,0.0,0,0
16,5000,3249,0,0,3,1.9075,1,16.6,3241,0,4.58,1.0036,3240.3,11,1.0,95,0,8,984,0.001793,0.0307,34.4828,15,14.0,0.0197,0.0065,0,0,0,0,0.06135,0.015625,51,0.7453,0.6035,0.2992,38,27,30,808,1335,530,1.0,0.0,0,0
17,5000,3123,1,5,3,1.8968,1,16.6,14,3104,4.56,0.9677,3227.3,19,1.0,94,5,6,986,0.00203,0.0459,60.1266,16,14.3,0.0214,0.0076,1,0,0,0,0.04893,0.015625,50,0.6807,0.6402,0.2999,38,26,30,817,1200,513,1.0,0.0,0,0
18,5000,3213,2,3,3,1.8513,1,16.7,9,3190,4.64,0.996,3225.8,23,1.0,96,10,8,1007,0.001801,0.0268,71.875,17,14.1,0.0208,0.0059,0,0,0,0,0.050595,0.015625,54,0.6912,0.673,0.2989,37,26,33,789,1269,549,1.0,0.0,0,0
19,5000,3116,1,5,1,1.8203,2,16.7,4,3098,4.47,0.9693,3214.8,18,1.0,88,1,9,963,0.002059,0.0334,62.2837,18,15.1,0.0227,0.0074,1,0,0,0,0.073579,0.015625,52,0.7876,0.7098,0.2993,34,23,31,780,1241,525,1.0,0.0,0,0
20,5000,3198,0,0,3,1.7353,2,16.7,6,3192,4.64,0.9953,3213.2,6,1.0,81,2,9,919,0.002129,0.0387,16.5017,19,15.6,0.0237,0.0075,0,0,0,0,0.087097,0.015625,49,0.8206,0.7519,0.3024,34,19,28,892,1214,495,1.0,0.0,0,0
21,5000,3222,0,0,3,1.8333,1,16.7,3228,0,4.64,1.0042,3214.6,0,1.0,72,0,9,847,0.002191,0.0418,0.0,20,16.6,0.0262,0.0086,0,0,0,0,0.057034,0.015625,46,0.726,0.8087,0.3049,30,17,25,856,1259,518,1.0,0.0,0,0
22,5000,3225,2,5,3,1.8391,1,16.7,3225,0,4.69,1.0057,3216.6,10,1.0,69,2,5,842,0.002566,0.0543,36.63,21,16.9,0.029,0.0099,2,0,0,0,0.083333,0.015625,44,0.8125,0.8704,0.3117,29,13,27,807,1291,545,1.0,0.0,0,0
23,5000,3150,1,5,1,1.9343,1,16.6,1,3139,4.53,0.9812,3210.2,11,1.0,67,2,4,853,0.002476,0.0455,38.9105,22,17.4,0.0309,0.0103,1,0,0,0,0.083333,0.015625,45,0.8125,0.9392,0.3167,28,12,27,763,1243,551,1.0,0.0,0,0
24,5000,3228,2,5,1,1.9467,2,16.6,3224,0,4.7,1.0092,3213.3,19,1.0,66,4,5,841,0.002417,0.0556,71.6981,23,17.0,0.0251,0.0105,1,0,0,0,0.074074,0.015625,44,0.7891,0.983,0.3218,27,9,30,817,1277,542,1.0,0.0,0,0
25,5000,3176,0,0,1,1.9612,2,20.3,3,3159,4.63,0.9895,3209.8,17,1.0,68,7,5,864,0.002283,0.0393,64.1509,24,16.7,0.0239,0.0081,0,0,0,0,0.060714,0.015625,45,0.7426,1.0437,0.3254,28,8,32,815,1262,498,1.0,0.0,0,0
26,5000,3239,2,5,1,1.9924,1,17.8,3250,0,4.66,1.0141,3214.6,10,1.0,65,2,5,864,0.002422,0.0524,35.9712,25,17.5,0.0245,0.0088,1,0,0,0,0.087413,0.015625,42,0.8213,1.0927,0.3291,24,8,33,800,1260,539,1.0,0.0,0,0
27,4999,3172,2,5,3,1.9713,1,18.3,7,3160,4.55,0.988,3210.5,12,1.0,63,5,7,871,0.002508,0.0435,44.7761,26,17.8,0.0258,0.009,1,0,0,0,0.057971,0.015625,41,0.7305,1.1398,0.3347,23,9,31,766,1271,556,1.0,0.0,0,0
